,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,432,345,87,10000.0,0.334116616779887,0.3868842790046515,0.6221738919079552,0.387100351771892,0.65680387572919,0.8246222716598501,0.6800018909174517,0.19079493635261302,0.4727752036728293,0.22351639320788524,432,345,87,100000000.0,-0.4568869071027918,-0.150281196149463,-0.5162371973526593,0.2665008439305285,0.002975365574434563,0.568008892198193,0.32263410161621836,-0.8455026006438662,-0.1726022027029181,0.029791520377899228
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,492,393,99,10000.0,0.2770804228933598,0.2738827245782467,0.5281452063216238,0.27893735896051053,0.6171225670333413,0.8059821692579301,0.6496072571617186,0.06295440728930635,0.3693405881036024,0.13641247002071485,492,393,99,100000000.0,-0.44834134105998985,-0.13161741530400306,-0.5458682331018746,0.2979721279097625,0.002433973999948158,0.5167552074294878,0.26703594440549294,-0.04818987060894364,-0.24566555133781107,0.06035156311411068
2,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,414,331,83,100000.0,0.37531481462227295,0.4269019634641975,0.6619586424563868,0.43818924432270256,0.5630763482465136,0.767683386732814,0.5893377822655632,0.2798773397855311,0.551689842815396,0.30436168266567637,414,331,83,100000000.0,-0.48485325837900756,-0.1581452064881268,-0.529866640249657,0.28075865644945946,0.006991988052606923,0.5618772379605151,0.31570603053813734,-0.8583717553232921,-0.14036702101320583,0.01970290058812177
3,ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,True,492,393,99,10000.0,0.330855612875407,0.32811173913815084,0.5732903291549903,0.3286618015026372,0.534380364337062,0.747440681155497,0.5586675718461933,0.04986387443191065,0.392655101638128,0.15417802884244863,492,393,99,1000000.0,-0.40838887143875385,-0.09070038561139127,-0.20684890397002478,0.042786469073600536,0.13620621902385355,0.49479236607832194,0.24481948552938415,-0.11391475320772826,-0.20103786255675718,0.04041622218138959
4,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,499,399,100,100000.0,0.2634205205445244,0.2813593143169295,0.5399131674768217,0.2915062284148545,0.44389526683420955,0.7048155276873619,0.4967649280692144,0.37961111406276715,0.6247538370391078,0.39031735689508806,499,399,100,1000000.0,-0.4077609986860051,-0.07189983059501337,-0.11199621606210401,0.012543152412229485,0.2715957335480226,0.6628056032689161,0.43931126772467183,-0.1671894695910885,-0.36043909893476056,0.1299163440409021
5,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,499,399,100,10000.0,0.34284925483105755,0.3683891242037334,0.6074757077146021,0.36902673546335674,0.5480765203075411,0.7486054391597238,0.5604101035395229,0.265353492655528,0.5392827199913379,0.2908258520812558,499,399,100,100000000.0,-0.44365110627744775,-0.12809044073209286,-0.5396657860535641,0.2912391606368112,0.009087759152412223,0.49723274140034124,0.2472403991204986,-0.0443810243575109,-0.2382496447902734,0.05676289324269145
6,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,432,345,87,10000.0,0.2325533227911707,0.28735944556592863,0.5434770699931019,0.29536732560828693,0.6506178887556009,0.8269146661629871,0.6837878651154444,0.17260187695934148,0.45525335995595545,0.20725562175118675,432,345,87,100000000.0,-0.4570540088835596,-0.1504253880558044,-0.5165022878510382,0.2667746133553568,0.0021714346509845717,0.5665125907052692,0.3209365154275958,-0.8473831738394668,-0.21791276681587418,0.047485973941349555
7,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,432,345,87,10000.0,0.2848204691196422,0.3356595080063449,0.5810215935453268,0.3375860921659509,0.649213545360288,0.8255323593067923,0.6815036762626387,0.1834251778476811,0.46267791445872497,0.21407085252787522,432,345,87,100000000.0,-0.4574089589343238,-0.15063582140508824,-0.5167410695573345,0.26702133296725794,0.0019634448048723163,0.5309745569763576,0.28193398015623927,-0.8470316971146936,-0.10059603967696747,0.010119563198690012
8,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,276,220,56,100000.0,0.18880616138494327,0.22336649074656245,0.48861209773425646,0.2387417820522706,0.44088092944546675,0.723667964242473,0.5236953224708453,0.4088467556703891,0.7269364320561358,0.5284365762505049,276,220,56,1000000.0,-0.4585552536431826,-0.08618512727322969,-0.14642155391331468,0.021439271450389718,0.2549768929960444,0.6597805042462158,0.4353103137833908,-0.7885744017545155,-0.05415540347743492,0.0029328077258037703
9,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,True,492,393,99,100000.0,0.3467965051084563,0.3465261446970742,0.5957233897247305,0.3548863570651231,0.4579254407301242,0.6978075691991574,0.4869354036316369,0.2308620922260065,0.4954924908406663,0.2455128084794878,492,393,99,100000000.0,-0.4475446159913387,-0.13047732200111972,-0.5447429412604458,0.2967448720530815,0.007272988545821701,0.5989296061973579,0.3587166731797222,-0.04771922591317401,-0.38070316271087956,0.14493489809806645
