split,random_state,country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,2016-2022,True,True,False,False,504,403,101,[0.09999999999999999],[0.3577375281464688],0.39734744290222457,0.6453910342330199,0.41652958706836707,0.7367724070886805,0.8614895270341159,0.7421642051894646,0.5006631998151139,0.7138816853138273,0.5096270606265104,-0.5556255641087207,0.18802896914168207,0.03535489323648363,0.05831368378190005,0.497163065328056,0.24717111352638887
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,2016-2022,True,True,True,False,504,403,101,[0.09999999999999999],[0.3271456358616211],0.368164989282155,0.6237066789603746,0.38901002137977975,0.7299384976257379,0.8577056328640578,0.7356589526467339,0.4920304889847873,0.7083572209595981,0.5017699524856049,-0.5983957377412319,0.17825859654375675,0.03177612724174985,0.061386669513311065,0.4981144779111683,0.24811803310471578
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,False,False,False,504,403,101,[1.0],[0.5720532280470197],0.5965026537867386,0.7756253971113938,0.6015947566442073,0.7604967412376425,0.8728302863285216,0.7618327087323289,0.6355997448045341,0.8001455328889909,0.6402328738022073,-0.13769483948196393,0.34225988665365253,0.11714183001217109,0.33119911715084516,0.5929621668315269,0.35160413129353957
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,False,True,False,504,403,101,[1.0],[0.4953697464051244],0.5148266197617539,0.7190755707773306,0.5170696764887438,0.6967599709632111,0.8366621904882893,0.7000036209926624,0.5901023853448438,0.773894630795008,0.5989128995733417,-0.14612818151819962,0.35692369361596554,0.12739452306446364,0.242236470593716,0.5646359212160594,0.3188137235275081
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,True,False,False,504,403,101,[1.0],[0.5937065552750249],0.6117225853391084,0.7824232357499876,0.6121861198414807,0.7511708631011079,0.8678217738142111,0.7531146311060438,0.6941400416283183,0.8427211263312949,0.7101788967650864,0.03580937527716288,0.4017330058340387,0.16138940797645177,0.46017450477107835,0.6802706627538246,0.4627681746035278
0,670487,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,2016-2022,True,True,True,False,504,403,101,[1.0],[0.5213079474115097],0.5380893243368609,0.7339889915483289,0.5387398397141328,0.6983517116286428,0.8374371350053547,0.7013009550859766,0.6133920354599532,0.7896234852112297,0.6235052483971291,-0.06133633611348288,0.38290484556059157,0.14661612075378047,0.35073292310118376,0.6413514216306693,0.4113316460276805
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,True,False,False,648,518,130,[1.0],[0.5640255662954446],0.5854694042647088,0.7697714371701367,0.5925480654829778,0.7984220309105743,0.8950889192874795,0.8011841734312279,0.656381363656412,0.8103052653266648,0.6565946230161166,-0.3892592724707573,0.2553121923488083,0.06518431556195489,0.3345910115062125,0.5820885701917807,0.3388271035479116
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,False,False,648,518,130,[10.0],[0.5474836729555307],0.5678440809124148,0.7562584613417956,0.5719268603510602,0.7270680514398131,0.8540048277320844,0.7293242457897072,0.6447719221397639,0.8040775989490181,0.646540785131618,-0.1997500220912245,0.28157613038299933,0.07928511720146385,0.31300220246256205,0.5713433954529247,0.3264332755276771
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,True,True,False,504,403,101,[1.0],[0.27958376603078133],0.3125709109218128,0.5911123046035491,0.34941375665371904,0.7130923642972218,0.8475288796639738,0.7183052018644707,0.39155487896788743,0.6337846163421965,0.40168293991202525,-0.49332831391451415,0.33817232700107025,0.11436052274931878,0.00955060136498298,0.5509887336237809,0.3035885845803378
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,False,True,False,504,403,101,[1.0],[0.2586502812248759],0.2926042086670274,0.5774333800492146,0.33342930839506074,0.702886303826456,0.8416204616840008,0.7083250015251907,0.3768319291125489,0.6210088739711679,0.38565202155093786,-0.4847950993218788,0.34051631302100677,0.11595135943342026,0.009557330173671552,0.5459281005392007,0.29803749095833965
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,False,False,False,504,403,101,[10.0],[0.3811444924776673],0.4075632218313795,0.6443483984378369,0.41518485856940535,0.6312596542640436,0.7983561841422577,0.6373725967581866,0.48745216276684245,0.701805425251369,0.4925308549122549,-0.11817902817295178,0.38887471280259944,0.1512235422573042,0.3767060358200548,0.6536837598235442,0.427302457857045
0,670487,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,2016-2022,True,True,False,False,504,403,101,[10.0],[0.31222348918512477],0.33829312617366136,0.5955133397278889,0.354636137793864,0.6060734552444831,0.7822186780193661,0.6118660602423647,0.4709316023390584,0.6940778794346683,0.48174410272052587,-0.18659509188006718,0.37182266326530866,0.13825209291770713,0.3456100601168638,0.6282126702679636,0.3946511590852051
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,True,False,648,518,130,[1.0],[0.5186277440816005],0.5358303164981182,0.7390167581566799,0.5461457688364086,0.7867985660169081,0.8889827170005812,0.7902902711257354,0.6216133102443254,0.7893790004749464,0.6231192063908254,-0.3751961151580194,0.30999950544526267,0.09609969337630744,0.4190635933912126,0.6763367872842546,0.4574314498339871
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,True,True,False,648,518,130,[1.0],[0.5329782678900862],0.5493386719237545,0.7452625580661342,0.555416280455278,0.7875433452761201,0.8894856305075474,0.7911846868794091,0.6475340606754475,0.8059186973369609,0.649504946717304,-0.36440588403509144,0.30004364238439063,0.0900261873352921,0.3709038291520447,0.6319333427999563,0.39933974974232705
