,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,504,403,101,10.0,0.3486051566042267,0.36718894537435176,0.6173702788208062,0.38114606117127997,0.6050742935094977,0.7809226919387211,0.6098402507848187,0.21778338291077448,0.48583197695220764,0.23603270982929042,100000.0,-0.0256217243023803,0.04089219198067651,0.23206055659149935,0.05385210192555647,0.1723254733919254,0.5573840277878117,0.31067695443296406,0.23400519519678553,0.4877084742212409,0.23785955582721083
1,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.4304950611671744,0.4521710309637512,0.6884799004069931,0.4740045732644232,0.7606472443692391,0.8739699868431158,0.763823537902556,0.4345013111017644,0.6723160355687456,0.45200885168287486,100000.0,-0.013230581129120567,0.048418242749119544,0.23755965433775025,0.056434589369071385,0.3342299952850476,0.6598702996142992,0.435428812313065,0.22300647412971908,0.4767338943145291,0.22727520598829662
2,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,0.1,0.6728531907667823,0.6804873343938109,0.826414488143438,0.6829609062133806,0.8473194044919604,0.9213527268136624,0.8488908472069713,0.5970418781337088,0.7761148756374174,0.6023543001856839,10.0,0.3109152496975593,0.3911985684552537,0.6468415372365234,0.41840397429450865,0.43898368236174157,0.682711887698505,0.46609552160485607,0.3249077166606843,0.5779347421219773,0.33400856615159635
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,504,403,101,0.01,0.5543933180335919,0.5639174791941914,0.7646155904409342,0.5846370011453385,0.8678720038006351,0.9331645155663808,0.8707960131122382,0.6237954323242598,0.7986163746931588,0.6377881139280438,1000.0,0.1978025035359205,0.26604411577256315,0.5172234417891769,0.26752008873624206,0.44747012913511486,0.6953070927577089,0.48345195323917717,0.13920466822059607,0.39770434607031335,0.15816874688321556
4,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,504,403,101,1.0,0.6404716171954008,0.6597430488472005,0.8124670927691714,0.6601027768327894,0.8595615024742304,0.9305248478124795,0.865876492396438,0.7600354029359933,0.8718843251576048,0.760182276455532,1000000.0,-0.04951742084396787,0.0025787280471395446,0.062461784192399665,0.0039014744844979086,0.363549758913556,0.6064263496312353,0.36775291752706524,0.030913180877946367,0.19550250796410296,0.03822123062025414
5,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.6605778109180334,0.6774020113987682,0.8256108956425078,0.6816333510036239,0.914008381876018,0.9580519282884012,0.9178634972971239,0.8021477031349044,0.8956999404320453,0.8022783832899695,100000.0,-0.013144751671980212,0.04849302654701859,0.23768836423217582,0.056495758491367475,0.5777436320492274,0.7630498922159524,0.5822451380107766,0.2230051113904623,0.4767328126963065,0.22727417470133168
6,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,497,397,100,100.0,0.4416762752411434,0.4511036919339726,0.6791232375720095,0.4612083718102881,0.6817613420824133,0.8287703052641865,0.6868602188876929,0.6312076740097949,0.8013965395667647,0.6422364136295851,1000000.0,-0.02486945169412618,0.02446325714715547,0.1826868555583432,0.03337448719379495,0.4077642171479886,0.6681589544735764,0.44643638844322275,0.20453547420960239,0.5280466709884334,0.27883328674196683
7,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,0.1,0.5764566619725627,0.5829447051099346,0.7681806145814442,0.5901014566187253,0.8191306770430462,0.9067564152679779,0.8222071966296336,0.5343568149246971,0.7313692269338864,0.5349009461058706,10000.0,0.12347016524326758,0.19204099248101314,0.44133662311671956,0.19477801490406937,0.36883937154852164,0.6465305699111529,0.41800177782964015,0.08045809714985697,0.2837611435615895,0.08052038659538101
8,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,504,403,101,1.0,0.3192400832933255,0.3377226730286744,0.5939415224446393,0.35276653208385594,0.5885933803140768,0.7703005354374431,0.5933629148952116,0.44375164828796054,0.6676014210493589,0.4456916573871234,1000000.0,-0.049527068850731486,0.0025702691942760536,0.06241753020834915,0.0038959480773101784,0.07911275656564198,0.4582216142431197,0.2099670477595704,0.03091327825710588,0.1955025979907418,0.0382212658211296
9,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,1.0,0.7480245861678684,0.7471963831923591,0.8672559090090346,0.7521328117110869,0.919104001152309,0.9594694920388555,0.9205817061532993,0.6835076175774213,0.8542516300736657,0.7297458474835149,1000.0,0.38827638109506957,0.4601551310711367,0.6798112696708605,0.4621433623715074,0.445706489483753,0.6718674659777405,0.45140589183935026,0.18406047039156725,0.45103313639392717,0.2034308901253429
10,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1.0,0.5075151526344921,0.5139664527005308,0.729727379242612,0.5325020480162909,0.7959179108681766,0.894799167885864,0.8006655508492346,0.6532536947318677,0.812404338294245,0.66000080887931,1.0,0.4262827158394047,0.507055643868465,0.7206284070219952,0.5193053010070583,0.3527559227295165,0.6267659583555054,0.39283556655329516,0.41432564644360714,0.6585264475635065,0.4336570821406117
11,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,0.1,0.5661870375531256,0.5691076770242113,0.7669177288262797,0.5881628027880591,0.8196137071304032,0.9066463205731118,0.8220075506087617,0.5634724692192932,0.7738788827613144,0.5988885251839002,1.0,0.4076115293994305,0.4756306715553691,0.6958298890114895,0.4841792344417417,0.2123547087084695,0.6276523415160756,0.3939474618106124,0.2403509153617619,0.5981362744872957,0.35776700285754154
12,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,True,497,397,100,1.0,0.5192741805229407,0.5304883655031839,0.7595276431639258,0.5768822407301478,0.9531977217881931,0.977308011024248,0.9551309484121717,0.8011191354631538,0.8952434660275587,0.8014608634650365,1000000.0,-0.024860124468382754,0.02447145106634052,0.1827282748586785,0.03338962243282876,0.689935030848991,0.8335388856205541,0.6947870738415552,0.20453536208232848,0.5280467307245033,0.27883334982883606
13,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,1.0,0.7375632236950471,0.7383633145323213,0.8610301344828226,0.7413728924875076,0.9098554026579838,0.955311097490722,0.9126192929889276,0.7456404193556123,0.8715274379972372,0.7595600751820282,1.0,0.39331395323621254,0.48004188759552024,0.7482213967651873,0.5598352585772478,0.4577912927420358,0.6774321799510532,0.45891435843323614,0.524620218519307,0.7262006476429291,0.5273673806370097
14,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1.0,0.7527205492746345,0.7569947723093945,0.8702265582433829,0.7572942626721239,0.8884947286841424,0.9446625144189834,0.892387266148396,0.7822240896740227,0.8869230397426581,0.7866324784263566,1.0,0.29376229128573034,0.3962809121116432,0.6802432084331682,0.46273082261945075,0.47778355806109485,0.6918855622826398,0.4787056312951646,0.5115679582815871,0.7162775205538309,0.5130534864507436
15,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,1.0,0.6816247459902083,0.6868371559149072,0.8327259337552103,0.693432480748487,0.9222436108179465,0.9613087532116154,0.9241145190012704,0.7966534718159402,0.8958250453085211,0.8025025118020139,1.0,0.31759501658421485,0.4329677198853884,0.699431743907079,0.4892047643848977,0.5926852199418586,0.7699465391831104,0.592817673200049,0.6715044405556836,0.8203909285835066,0.6730412757021083
16,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,False,376,300,76,1000.0,0.5337467998603646,0.535377622788856,0.7319368833428743,0.5357316011976804,0.6514613446362674,0.8112289811465008,0.6580924598519897,0.5287125889500512,0.7392267525168288,0.5464561916365769,1000.0,0.30891994521038185,0.39939105244076534,0.6394276135176378,0.40886767292886156,0.179744903273247,0.4806269832895895,0.23100229706605138,0.22434642931755355,0.5197054249059075,0.2700937286766299
