year,district,split,observed,predicted
2020,Mungwi,val,-0.016711330922902445,-0.06896371181354108
2021,Mungwi,val,0.0017811565889718217,-0.03460988153333774
2017,Mwense,val,0.014688105906800697,0.0480384246602239
2018,Mwense,val,0.003138693611094534,-0.015245190351756562
2019,Mwense,val,0.007101354800846171,0.014856301092623493
2020,Mwense,val,-0.09119929499621493,-0.02357062917230706
2021,Mwense,val,0.019596316188457696,-0.00690165524858936
2017,Mwinilunga,val,-0.015477834120109168,0.00702554811250484
2018,Mwinilunga,val,-0.009439418595545312,-0.03103185142126552
2019,Mwinilunga,val,0.04455539335719794,-0.012619818477045212
2020,Mwinilunga,val,-0.05030456214735357,0.02600360464632675
2021,Mwinilunga,val,0.011404513245912518,-0.03098519062862551
2017,Namwala,val,0.03473484024854889,0.0285694546052915
2018,Namwala,val,-0.09380961556396841,-0.055197632693620706
2019,Namwala,val,-0.19312256636596004,-0.12721353440851152
2020,Namwala,val,0.14707350064399277,0.008722247818420575
2021,Namwala,val,0.012190710288998985,0.03639982166306294
2017,Nchelenge,val,0.0007825991067405003,0.0906576867989632
2018,Nchelenge,val,-0.012657735216592247,0.02592789083806537
2019,Nchelenge,val,-0.09028571993745071,0.011529482566049501
2020,Nchelenge,val,0.030605240865464234,0.024812241740459914
2021,Nchelenge,val,0.023311400489963163,0.038442766006710254
2017,Ndola,val,-0.05123559632608554,0.06131090547004857
2018,Ndola,val,0.031308227848429016,0.059350209344538433
2019,Ndola,val,-0.024136210614493114,0.031839106071663154
2020,Ndola,val,-0.060093917555792964,-0.007984799478621955
2021,Ndola,val,0.019317402001094885,0.050933513788277644
2017,Nyimba,val,0.02803649069835784,0.0765465187223221
2018,Nyimba,val,0.01780243890217348,-0.016535772076635223
2019,Nyimba,val,-0.07063121950296164,-0.03635587414515236
2020,Nyimba,val,0.05482825191210294,0.006103884625100113
2021,Nyimba,val,-0.037289162951090304,0.02348037660249227
2017,Petauke,val,0.010511677029865718,-0.0448766063270456
2018,Petauke,val,-0.04265895063060693,0.011614128445920462
2019,Petauke,val,-0.024166866884346327,-0.08319536542845812
2020,Petauke,val,-0.0027512563733458895,-0.019336424826354764
2021,Petauke,val,0.057222942483706185,0.011779420655649188
2017,Samfya,val,0.01160763516836738,0.06556478785484406
2018,Samfya,val,0.010481176639091316,0.011508836743053738
2019,Samfya,val,-0.06691981839586769,-0.004099466608553987
2020,Samfya,val,-0.04933325206634864,-0.022012642758984985
2021,Samfya,val,0.06352281240036273,0.04578215428977918
2017,Senanga,val,0.046578912724365734,-0.030792500677951265
2018,Senanga,val,0.021741300816232295,0.053807745403871614
2019,Senanga,val,-0.14532719662210475,-0.08912621161788915
2020,Senanga,val,-0.010545672263687467,-0.008486003938909433
2021,Senanga,val,0.03733137984076276,0.00562413771343993
2017,Serenje,val,-0.04033799415470807,-0.007825745441184926
2018,Serenje,val,-0.01671299864337239,0.02137063381441094
2019,Serenje,val,-0.01563954426908165,0.042378564417955775
2020,Serenje,val,0.043923845920246896,-0.08316109578148398
2021,Serenje,val,0.02963142113710704,-0.011475255329771719
2017,Sesheke,val,0.0022422862013455613,0.02081126706980984
2018,Sesheke,val,-0.005594782646794028,0.03783954881086891
2019,Sesheke,val,-0.1384098047077499,-0.11902324604705164
2020,Sesheke,val,0.13571320535388554,0.09946365977176141
2021,Sesheke,val,0.005724436678255229,-0.03885759413934841
2017,Shangombo,val,0.04216703896506521,0.009330970623726257
2018,Shangombo,val,-0.0221275975306863,0.06292990280526949
2019,Shangombo,val,-0.15835491091276274,-0.14952567025696778
2020,Shangombo,val,0.07107168665151262,-0.03266374229215264
2021,Shangombo,val,0.07412376423798991,0.05914151299457779
2017,Siavonga,val,0.07372408774234931,0.07778138478591862
2018,Siavonga,val,-0.05006534160341386,0.018552461559824505
2019,Siavonga,val,-0.21114262226355143,-0.1429859745526727
2020,Siavonga,val,-0.0552889854068396,-0.1307281578580359
2021,Siavonga,val,0.13102791236552105,0.003771359541723104
2017,Sinazongwe,val,0.08766055858020985,0.12748946244722054
2018,Sinazongwe,val,-9.332230232353411e-05,0.14940699783062777
2019,Sinazongwe,val,-0.20594351613941903,-0.06223577927249618
2020,Sinazongwe,val,-0.02114249690259415,-0.012666092703153574
2021,Sinazongwe,val,0.015272830989983693,0.09897315670720357
2017,Solwezi,val,-0.09545347831536466,-0.02631224115804269
2018,Solwezi,val,0.014923579245328278,-0.012081203536350947
2019,Solwezi,val,0.0377610073585552,-0.027202257788628434
2020,Solwezi,val,0.027622444934275014,0.00955341715791578
2021,Solwezi,val,0.05467880567423006,-0.017862192406493782
2017,Zambezi,val,-0.04031641085570159,-0.01896078257235804
2018,Zambezi,val,-0.017917294497497904,-0.014783110125151962
2019,Zambezi,val,-0.09715912548939759,-0.11973288200436669
2020,Zambezi,val,-0.006902940244633449,-0.04636998825752962
2021,Zambezi,val,0.16347783253790105,-0.05548142627382156
2016,Chadiza,val,-0.04500869153683784,-0.0010920088364614238
2018,Chadiza,val,-0.14227036031162804,-0.03900965849749297
2019,Chadiza,val,-0.008177799096902083,0.07430440801903604
2020,Chadiza,val,0.05563018980761636,0.10319691719933045
2021,Chadiza,val,0.05452728745231439,0.10513889113013673
2016,Chama,val,-0.11642532291242169,-0.0711193873430011
2018,Chama,val,-0.043836185457490184,0.017883124618220326
2019,Chama,val,-0.017122818128681383,0.008174197057745337
2020,Chama,val,0.06215156054406096,0.0466159838288457
2021,Chama,val,0.06571082492852626,0.031090152283279174
2016,Chavuma,val,0.06421685499050533,0.03195789355067304
2018,Chavuma,val,-0.03871561926978212,0.04959868407908461
2019,Chavuma,val,-0.15688900928295585,-0.14288847189873582
2020,Chavuma,val,0.020765888502522145,0.0076112825314648205
2021,Chavuma,val,0.12304610059548338,0.05026833808197966
2016,Chibombo,val,0.09182583199266792,0.09224955954584517
2018,Chibombo,val,0.012249962681184723,0.02092471815029965
2019,Chibombo,val,-0.15218726589584697,-0.1187493365552032
2020,Chibombo,val,-0.01458371625716881,-0.0734377531522283
2021,Chibombo,val,0.039036597466846734,-0.0014416916437633748
2016,Chiengi,val,0.0649594197716385,-0.009426468831919865
2018,Chiengi,val,-0.04033033135808156,-0.02743377408465529
2019,Chiengi,val,-0.014224826206661156,-0.04086448054001958
2020,Chiengi,val,0.04911110621528597,0.014118244787199027
2021,Chiengi,val,-0.015442112714791345,-0.0428547499800109
2016,Chililabombwe,val,-0.00961735252386009,-0.00972123405530619
2018,Chililabombwe,val,-0.018182574832474874,-0.002619126966513721
2019,Chililabombwe,val,-0.008046739459111052,-0.09841457738527726
2020,Chililabombwe,val,0.0019528593796006577,-0.07059426201581667
2021,Chililabombwe,val,0.12251069499143918,0.007360866708771787
2016,Chilubi,val,-0.04678806177930883,-0.01795109110909783
2018,Chilubi,val,-0.004252398685485326,0.03694786009381468
2019,Chilubi,val,0.053913051604069784,0.02495486326489793
2020,Chilubi,val,-0.07179418558608508,0.003032813316403218
2021,Chilubi,val,-0.002857167735820898,0.012949210732262682
2016,Chingola,val,0.0031081262542749233,0.0024431381303071536
2018,Chingola,val,-0.07320735090563657,0.020039339575520905
2019,Chingola,val,-0.05937810115219566,-0.04987600561346348
2020,Chingola,val,-0.007916342904599305,0.0056546514141144295
2021,Chingola,val,0.1913712602062546,0.06455851854145297
2016,Chinsali,val,-0.019616539804436783,-0.029564930147505754
2018,Chinsali,val,-0.00835722040516429,-0.0011381043105246867
2019,Chinsali,val,-0.0500104368714408,-0.007818666468033265
2020,Chinsali,val,-0.01728867621466823,-0.01941012737118912
2021,Chinsali,val,0.028550987081559898,-0.006920393396150188
2016,Chipata,val,-0.0278419219882296,-0.01266437191536606
2018,Chipata,val,-0.02797152360163213,-0.014317059896701057
2019,Chipata,val,-0.04748836788119465,-0.03089851424514175
2020,Chipata,val,0.04348630170907841,0.015157212920582742
2021,Chipata,val,0.05130519243434972,-0.00955592216604764
2016,Choma,val,0.0770342262082171,0.1401699264996209
2018,Choma,val,-0.02750872955904954,0.07546098588853897
2019,Choma,val,-0.3001630538629537,-0.017214156701443047
2020,Choma,val,0.05999103323829014,0.08076012934252276
2021,Choma,val,0.08072057258733473,0.03639955243497253
2016,Chongwe,val,0.0836814189990896,0.06564654553499291
2018,Chongwe,val,-0.0032454558291505897,-0.014834920784515076
2019,Chongwe,val,-0.25472122135480657,-0.11615798309495914
2020,Chongwe,val,0.04390074716583675,0.014261569443620288
2021,Chongwe,val,0.05541265157069836,0.006755346454457065
2016,Gwembe,val,0.14734181466759766,0.15956705056794365
2018,Gwembe,val,-0.06468779210532538,0.02618021784512877
2019,Gwembe,val,-0.3178981005293946,-0.07417588697723423
2020,Gwembe,val,-0.012257303072055414,-0.010787819605023558
2021,Gwembe,val,0.10655692532023314,0.13335554483798345
2016,Isoka,val,0.020317363399267818,0.015234738106374764
2018,Isoka,val,0.0024858513235125335,0.04929815898999146
2019,Isoka,val,-0.01596019848335606,-0.011386843465064578
2020,Isoka,val,-0.04588476689976706,-0.041085128875080576
2021,Isoka,val,0.03795036698570642,0.017145280167608544
2016,Itezhi-Tezhi,val,0.006207286509726295,0.1457627284979794
2018,Itezhi-Tezhi,val,0.024681655291172666,0.04228461552290698
2019,Itezhi-Tezhi,val,-0.17432656490304568,-0.04092572507614262
2020,Itezhi-Tezhi,val,-0.08345212021139065,-0.0396429286370478
2021,Itezhi-Tezhi,val,0.11839843281076307,0.1374383051573056
2016,Kabompo,val,0.057189046743903016,0.04846157007719133
2018,Kabompo,val,-0.03120810295419052,0.0316573271742043
2019,Kabompo,val,-0.039176993640744784,-0.025337195096257675
2020,Kabompo,val,0.024030893468514614,-0.010732338706520487
2021,Kabompo,val,-0.005185021447468019,-0.01787960370443363
2016,Kabwe,val,0.01662874097992839,0.11583039522568687
2018,Kabwe,val,-0.11163104287007775,0.025201490056835446
2019,Kabwe,val,-0.05326998584509346,-0.03145553382035753
2020,Kabwe,val,-0.04359991997020157,0.04017688730489051
2021,Kabwe,val,0.10282780358350396,0.11804269824027724
2016,Kafue,val,0.10616896172014662,0.12160586797429082
2018,Kafue,val,-0.022702568022281988,0.04710677237622774
2019,Kafue,val,-0.2688443727420989,-0.06238445600689944
2020,Kafue,val,0.0002884655163847838,0.03479240636554391
2021,Kafue,val,0.09420630322591222,0.07925229093256553
2016,Kalabo,val,-0.015259962513880315,-0.05968545673263771
2018,Kalabo,val,0.038598443829940376,0.07759703362651174
2019,Kalabo,val,-0.10878659022366097,-0.13751545841703008
2020,Kalabo,val,0.002612291179727305,-0.03532997337835468
2021,Kalabo,val,0.059765374830681395,0.007171977248329775
2016,Kalomo,val,0.06349244739308868,0.13738375364665592
2018,Kalomo,val,0.02630596399457119,0.0817850623290246
2019,Kalomo,val,-0.2762795135684883,-0.07978369110997882
2020,Kalomo,val,0.03036021034544578,0.002085913127352116
2021,Kalomo,val,0.05721859991909439,0.045383272045918154
2016,Kalulushi,val,-0.0002018892905314429,0.0051886091585062735
2018,Kalulushi,val,-0.07598909493075501,-0.026543271244280235
2019,Kalulushi,val,-0.021637039739426767,0.013977193392740653
2020,Kalulushi,val,0.06327595057251756,0.031109871965859483
2021,Kalulushi,val,0.04505269059552908,0.016163178846111362
2016,Kaoma,val,0.09144223168140142,0.1528130145146516
2018,Kaoma,val,0.047794117807854586,0.07144631179071995
2019,Kaoma,val,-0.19278199271633187,-0.08274369911817764
