split,random_state,variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
7,146316,pre,2009,False,True,936,748,188,[0.1],[0.06741059155505982],0.07959836436251755,0.28436089070145326,0.08086111616052385,0.12863350811991703,0.36094696155508965,0.13028270905585138,0.09555924117856807,0.3095476412014358,0.09581974217337283,,,,,,
8,772246,pre,2009,False,True,936,748,188,[0.1],[0.10822743712559382],0.11223052439977588,0.3351457848908197,0.1123226971300836,0.1383986395043032,0.37427356710273235,0.1400807030318035,0.05182112340358813,0.25012630757908366,0.06256316974314637,,,,,,
9,107473,pre,2009,False,True,936,748,188,[0.1],[0.10067503199698638],0.10149322995930166,0.31903703497274016,0.10178462968419744,0.13105759054774013,0.3642508256128911,0.13267866395967282,0.084668056270912,0.2970734625254109,0.08825264213683671,,,,,,
0,670487,pre,2016,False,True,432,345,87,[0.1],[0.05214931736010127],0.09976873600716407,0.3163520602550459,0.10007862602761221,0.1588504828879873,0.40658095432926067,0.16530807242329235,0.1317828575131721,0.39074415889632574,0.15268099771159707,,,,,,
2,26225,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.5372391666719419, 0.638273371543597]",0.6453788529393782,0.8078341191030106,0.6525959639869371,0.8118134912899891,0.9011394050449665,0.8120522273247962,0.728401372945682,0.8540199363286927,0.7293500516468643,-0.5632585028308197,-0.3044048199392511,0.0926622944022479,0.18139806318446283,0.45034445764384734,0.202810130530531
1,116739,pre,2016,False,True,432,345,87,[0.1],[0.07028231712539401],0.0942868408056603,0.3106130026970431,0.09648043744447332,0.16599459438139974,0.4153687604590121,0.1725312071652562,0.12280116360607685,0.383199729423754,0.1468420326304383,,,,,,
2,26225,pre,2016,False,True,432,345,87,[0.1],[0.007507483003201187],0.09158680091403026,0.30360027567187636,0.09217312738803932,0.14746889751586223,0.39379306125276303,0.15507297509082238,0.18733557685629176,0.45207157177311763,0.20436870600541704,,,,,,
5,256787,pre,2016,False,True,432,345,87,[1.0],[0.05309782549499391],0.07028057352622863,0.2840981347735666,0.08071175018181961,0.09918843057735727,0.3666285144526696,0.13441646760977136,0.03214524477125802,0.24846584251515336,0.06173527489676499,,,,,,
5,256787,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.531936089651057, 0.6489335925144735]",0.6504445439007804,0.8120662891774397,0.6594516580184172,0.8006368898563754,0.8949418662431365,0.8009209439547481,0.8012589129238401,0.8982631032422398,0.8068766026463787,-0.44331974714543976,-0.2465608883957738,0.06079227168651323,-0.8136418285609306,-0.17288360211728734,0.02988873988104852
4,288389,pre,2016,False,True,432,345,87,[0.1],[0.10891129961185438],0.11383275955125227,0.3385402627232651,0.11460950948473736,0.17994182875463072,0.43241347481973647,0.18698141320567888,0.0807678403767701,0.2913816464384397,0.08490326388117589,,,,,,
6,234053,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.5481587636525008, 0.6838398418109434]",0.6881465651132158,0.8337899271111504,0.6952056425520176,0.8276824514555619,0.9099221035108993,0.8279582344576998,0.642709993019183,0.8327911408678214,0.6935410843079275,-0.4327313432562694,-0.18770080712185777,0.035231592994196856,0.22176382383418902,0.4959451494637714,0.24596159127664255
7,146316,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.5318972100636626, 0.6478885923150112]",0.6545143338039383,0.8147455862664913,0.6638103703407287,0.8126404215023701,0.9016246026663481,0.8129269241332502,0.7329610211453388,0.8680539678240473,0.7535176910550722,-0.4439247074156276,-0.1841954948707582,0.03392798033068351,-0.10556815963337063,0.036136497282571636,0.0013058464358533073
8,772246,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.5318569235252462, 0.6447160381746457]",0.6580694848589935,0.815919801557029,0.6657251225728616,0.8221211153068048,0.9068316779493948,0.8223436921325149,0.6644798612814122,0.8419698273641654,0.7089131901916425,-0.530482221080661,-0.27221816639650204,0.07410273011627368,0.2254323719578497,0.5088888655283632,0.25896787745874456
3,777572,pre,2016,False,True,432,345,87,[0.01],[0.14255457828470958],0.173237038177664,0.41873546230037895,0.17533938738791208,0.21588587795198944,0.4648351249593803,0.21607169339600268,-0.2510860687733585,0.06793832523520645,0.004615616035764689,,,,,,
6,234053,pre,2016,False,True,432,345,87,[0.1],[0.11441456993531003],0.13962181167134946,0.3736898362502954,0.13964409371677258,0.18686350442824895,0.43985601292914467,0.19347331210992388,0.002418930890423443,0.271678001909743,0.07380893672167033,,,,,,
9,107473,pre,2016,True,False,432,345,87,"[0.1, 0.01]","[0.5271032432956323, 0.6309282314308353]",0.6569645337630822,0.8136397378085026,0.6620096229410889,0.8170751253118267,0.9040398699528387,0.8172880864643455,0.7081193423108145,0.8423167635946974,0.7094975302326454,-0.5885158813880293,-0.3362882841457413,0.11308981005368685,0.20235064992738172,0.5493527603425638,0.3017884552959943
7,146316,pre,2016,False,True,432,345,87,[0.1],[0.13637280279886818],0.15310574892872675,0.39171823773595693,0.15344317777496366,0.2018397983623368,0.45683265593168076,0.2086960755255934,-0.1473213847087047,0.07346791252964313,0.005397534171463294,,,,,,
8,772246,pre,2016,False,True,432,345,87,[0.1],[0.1045817637839382],0.11790347919952326,0.34342657507841945,0.11794181247009328,0.15771816656059923,0.4037042211792702,0.1629770981979611,0.13218137657693418,0.3818115364959602,0.14578004940140596,,,,,,
9,107473,pre,2016,False,True,432,345,87,[0.1],[0.06067560767091531],0.07321873471628038,0.2756629755225767,0.07599007607396072,0.13480859524399869,0.37573730325497234,0.14117852105731904,0.1984890712659111,0.501958197209607,0.2519620317459187,,,,,,
0,670487,pre,2009,False,False,936,748,188,[0.01],[0.3000733474353819],0.30195003794739383,0.5495930499322956,0.3020525205338828,0.3357841772100778,0.5800674149917389,0.33647820593519817,0.32612070072686916,0.5730414683669678,0.32837652446817056,-0.015049404678626477,0.2787700897971639,0.07771276296551882,0.0422199970172491,0.29557199714629157,0.08736280549704739
1,116739,pre,2009,False,False,936,748,188,[0.01],[0.29683397895016794],0.30222497235752743,0.549859126282641,0.30234505875630935,0.33121619897284793,0.5760383913191449,0.33182022827354835,0.345560170057598,0.5896436401464105,0.3476796223651096,0.023766202047195484,0.3021784540039456,0.09131181806421466,-0.17601460039804517,0.1664157047896005,0.027694186800619462
2,26225,pre,2009,False,False,936,748,188,[0.01],[0.31140236988216996],0.31769900936263906,0.5637379741867111,0.317800503540137,0.347648575718131,0.5900279926892229,0.3481330321568737,0.2761499849510589,0.530807470262342,0.2817565704863071,-0.049329088689947787,0.23494832487528536,0.05520071536170263,0.11082388122922548,0.3623466496965343,0.13129509454630295
4,288389,pre,2009,False,False,936,748,188,[0.01],[0.2948591388922789],0.29766040941645555,0.5459100098942252,0.2980177389027131,0.33460430214290504,0.5787892857424419,0.3349970372902461,0.3168121064440371,0.5628624111983895,0.31681409394006493,-0.09154174324226982,0.20097145753697876,0.040389526744537656,0.175106299968374,0.41916571463900076,0.1756998963288242
3,777572,pre,2009,False,False,936,748,188,[0.01],[0.3172819534300946],0.3186081846031429,0.5644628869948113,0.3186183507945171,0.3451722407844626,0.5880922395953964,0.34585248227232906,0.2903426608419347,0.5390310694906341,0.2905544938762168,-0.011466313292506136,0.2626383686855583,0.06897891270581125,-0.012445958252080613,0.28899497850588185,0.08351809760161512
5,256787,pre,2009,False,False,936,748,188,[0.01],[0.28918336249282034],0.29550504473432215,0.5438557045134995,0.2957790273318749,0.3349159020969025,0.5793124139853296,0.3356028729975099,0.339633251069282,0.5835455372057022,0.3405253939926916,-0.018484984969636242,0.2616094416391225,0.06843949995473343,-0.1936010560828636,0.16996709365681453,0.028888812926144362
6,234053,pre,2009,False,False,936,748,188,[0.01],[0.29960437267846574],0.298940683839122,0.5471615516807062,0.29938576363763814,0.3344327154607948,0.5786780491563831,0.3348682845754373,0.32083620212215724,0.5664938077240618,0.32091523418970624,-0.06743617947407565,0.2141960917137674,0.04587996570545266,-0.02409092075520336,0.28481882126826374,0.08112176094864317
8,772246,pre,2009,False,False,936,748,188,[0.01],[0.2970621621901063],0.30030312522981584,0.5482207267528342,0.3005459652414057,0.3325551086560352,0.5771752714578999,0.33313129398250046,0.3333391817945892,0.5805155527891451,0.33699830703008676,-0.0085430608639947,0.2776990985054024,0.0771167893107132,-0.11708141155717144,0.2323956788471447,0.054007751546825224
7,146316,pre,2009,False,False,936,748,188,[0.01],[0.25572928745945706],0.28566504057828734,0.5349555936844271,0.2861774872142579,0.3327220867762988,0.5771903536217158,0.3331487043139613,0.3264548567889224,0.5773718959941998,0.3333583062839371,-0.03147576615422265,0.25656584263314663,0.06582603160605656,-0.025687003722384638,0.3092909975114129,0.09566092114160483
9,107473,pre,2009,False,False,936,748,188,[0.01],[0.32087570942681903],0.32508323880748935,0.570177834537941,0.32510276299837565,0.3509580346859529,0.5929500857833079,0.3515898042304322,0.2616095037648619,0.5195209859908394,0.26990205488489394,-0.02514459288193449,0.26212586409096067,0.06870996862543279,0.01905735507108597,0.32929494520115893,0.10843516093503426
0,670487,pre,2016,False,False,432,345,87,[0.01],[0.2983911782586645],0.3243178748515322,0.5703952819214682,0.32535077763827114,0.3720530856700599,0.6100227740942303,0.37212778491362036,0.4652942584846097,0.6865739345138282,0.47138376755379846,-0.3481619387627759,-0.1266535065373458,0.016041110718205496,-0.21008225376246026,-0.1415668325733862,0.02004116808486116
1,116739,pre,2016,False,False,432,345,87,[0.01],[0.35494804485177245],0.3649466943013968,0.6048405946955098,0.3658321449916179,0.40426350306472403,0.6359142146778511,0.40438688842934817,0.3204538316423372,0.5970673694291839,0.35648944363708557,-0.28736213498273244,-0.06043634988896729,0.0036525523879016764,-0.34373335816093187,-0.009404350515675758,8.844180862169089e-05
3,777572,pre,2016,True,False,432,345,87,"[0.1, 1.0000000000000002e-08]","[0.523427514252834, 0.663299864375106]",0.6707031321614747,0.8223043113377757,0.6761843804446935,0.8161636760875659,0.9034415091397157,0.816206560436647,0.71917098417339,0.8559580433037965,0.732664171896464,-0.3791759592863224,-0.13009549138490092,0.01692483687867883,-0.20607111923095922,-0.045452635565400926,0.002065942079841149
3,777572,pre,2016,False,False,432,345,87,[0.1],[0.34740665452869546],0.35852794200885063,0.5989454574825412,0.35873566103897064,0.39531153744582237,0.6312120399960672,0.39842863943599677,0.323949437014198,0.5752138728645271,0.33087099953580834,-0.285121217198514,-0.1574495987880487,0.024790376158517508,-0.4054442343141833,-0.40433594193726374,0.1634875539422943
4,288389,pre,2016,True,False,432,345,87,"[0.1, 1.0000000000000003e-09]","[0.5317240378095043, 0.6243909607496045]",0.6302763204347757,0.8025631496964705,0.6441076092507193,0.8247202452119953,0.9081526752180293,0.8247412815056635,0.6711318705818672,0.8224071157178138,0.6763534639832935,-0.6176433150848026,-0.25333633842159003,0.0641793003648584,0.07352989841320323,0.2848970223361126,0.08116631333598343
2,26225,pre,2016,False,False,432,345,87,[0.01],[0.35079009529869537],0.36611076805672205,0.6057713853274469,0.36695897128153415,0.40252812567262997,0.6345256671214261,0.40262282223589085,0.3496093177982186,0.5941452599191632,0.35300858988441003,-0.32421927153911856,-0.1205722387182999,0.0145376647495427,-0.19512552062376098,0.06685955855517761,0.004470200570193224
6,234053,pre,2016,False,False,432,345,87,[0.1],[0.3264580545448772],0.33144809522975704,0.575719139804364,0.33145252793707675,0.37309924867463706,0.6132782116482154,0.37611016488243326,0.4168260179844929,0.6595828921919533,0.4350495916723019,-0.2931451580078217,-0.1286510442767534,0.01655109119349916,-0.07674179184536589,-0.03515965735074704,0.0012362015050219404
4,288389,pre,2016,False,False,432,345,87,[0.01],[0.35841765192337394],0.36799058748944524,0.6070805231190732,0.3685467615505276,0.40416764694613727,0.6357774733476232,0.40421299561628776,0.33016956354351457,0.5851088547177161,0.3423523718690774,-0.3336832992877421,-0.1922697312345158,0.03696764954899294,-0.44702650883634276,-0.3661463116455107,0.13406312153161146
5,256787,pre,2016,False,False,432,345,87,[0.01],[0.33009170910254987],0.3354889464092238,0.5800342440652444,0.3364397242883395,0.37791478375308296,0.6148041972234104,0.3779842009235221,0.43185182135462785,0.6794739149179942,0.4616848010539857,-0.26793099587851876,-0.1462837893418628,0.021398947024214496,-0.8159170607154349,-0.08207724354527969,0.0067366739079911565
7,146316,pre,2016,False,False,432,345,87,[0.01],[0.3417012500156226],0.3495707757491572,0.5933057492453082,0.35201171208753657,0.3941813884435682,0.6279010273872414,0.3942597001939533,0.36872394439546186,0.6097478329476569,0.37179241978436367,-0.3534816125132252,-0.08820861862770887,0.007780760400208589,-0.5755674472119365,-0.23866316811141652,0.056960107812978264
8,772246,pre,2016,False,False,432,345,87,[0.01],[0.3599744957976846],0.37696947667903347,0.6146626071427049,0.3778101206194672,0.41288255959274467,0.6426170496132808,0.4129566724536778,0.30263623159555064,0.5801180871462419,0.33653699503421475,-0.30682195822391223,-0.10920703120487171,0.011926175664581824,-0.07991819510152509,-0.060190129016823885,0.0036228516310619044
9,107473,pre,2016,False,False,432,345,87,[0.01],[0.31922229120943146],0.3420206317133041,0.5868009321927585,0.3443353340222904,0.39833202835713477,0.6311836518955108,0.3983928024201534,0.36030790550389313,0.6058811876041224,0.3670920134925817,-0.3809105422537735,-0.19237162652579526,0.037006842692180054,-0.3026646385313967,-0.13910692158917057,0.01935073563401565
2,26225,tmp,2009,True,True,936,748,188,"[0.01, 1000000000.0]","[0.28514448601470566, 0.346041696964383]",0.36161058014262226,0.6015610295751378,0.3618756723034998,0.3861425898020845,0.6214850807803802,0.38624370563259575,0.42373067861107094,0.6531808276737352,0.42664519364054576,,,,,,
0,670487,tmp,2009,True,True,936,748,188,"[0.01, 1000000000.0]","[0.279847510036543, 0.3437938478913031]",0.354770090718172,0.5961099904994875,0.3553471207732991,0.3822451512474132,0.6183361090344258,0.38233954373583334,0.4166373868783476,0.65899435618584,0.4342735614847898,,,,,,
3,777572,tmp,2009,True,True,936,748,188,"[0.01, 1000000000.0]","[0.29814746046632623, 0.35103300344474064]",0.3650329384949256,0.6045593981494009,0.36549206589076577,0.3917575653217016,0.6259720517001275,0.3918410095096671,0.39003357658302484,0.6256533779713995,0.39144214936702293,,,,,,
1,116739,tmp,2009,True,True,936,748,188,"[0.01, 1000000000.0]","[0.3300065486757121, 0.39155532065042875]",0.3989378454486553,0.6316925789754939,0.3990355143327106,0.4178705546077589,0.6464996256938523,0.4179617660222912,0.26568758612234566,0.5394413003886833,0.2909969165650337,,,,,,
2,26225,tmp,2016,True,True,432,345,87,"[0.1, 1000000000.0]","[0.20466819889292004, 0.33872314576185036]",0.4230331194350301,0.6513708294548145,0.424283957464653,0.4549187001738395,0.6768680251954511,0.4581503235319898,0.47697575950366033,0.6999400513842929,0.48991607553184663,,,,,,
