variables,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
['pre'],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.3250009242275994, 0.6005759481906308]]",0.6225042175983362,0.7946213819246585,0.631423140611854,0.8021483593883654,0.8969280037384855,0.8044798438903046,0.6943057222527076,0.8347197352892265,0.6967570364813164,-0.6270658845575332,-0.37154439205718365,0.1380452352691422
['pre'],2016,False,False,432,345,87,[[0.01]],[[0.31781598189700205]],0.34339674801677256,0.5875691396388579,0.3452374938559477,0.39433688023624036,0.6280253708908748,0.3944158664826209,0.37723308886613827,0.6143212261278055,0.37739056887117034,-0.32945135627408084,-0.13791425732522383,0.019020342373568054
['tmp'],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.6192899462388841, 0.7594750722874657]]",0.7723960200499589,0.8797388660845273,0.7739404724996899,0.8734556434231371,0.9352085609721548,0.8746150525156086,0.8177378280642872,0.9051966115732238,0.8193809056036458,0.02103283584426241,0.3234199897030272,0.10460048973950622
['tmp'],2016,False,False,432,345,87,[[0.01]],[[0.6151863495642378]],0.6322157896042766,0.7951511231480733,0.6322653086436425,0.6570213133479359,0.8109163129745931,0.6575852666483082,0.6490200984194759,0.8082629436751899,0.6532889861184832,0.2894676258817762,0.5406865182067613,0.2923419109705504
['ndvi'],2016,True,False,432,345,87,"[[0.01, 0.001]]","[[0.25744743523510616, 0.7632153019026009]]",0.7764226269253276,0.8812346443290366,0.7765744983657237,0.8756850168542756,0.937197148645085,0.8783384954284775,0.8046025853748684,0.8986765575262268,0.8076195550471896,0.03728173415687308,0.30315817385605015,0.09190487837573513
['ndvi'],2016,False,False,432,345,87,[[0.01]],[[0.244861108267257]],0.2711041050526384,0.5222069030850431,0.27270004962967165,0.31740996478254,0.5635449550051936,0.31758291631180574,0.32405180734528516,0.58832469342579,0.34612594489454973,0.29614978509388945,0.5574050885687913,0.31070043276238213
"['pre', 'tmp']",2016,True,False,432,345,87,"[[0.1, 0.01, 0.01]]","[[0.5052548383406703, 0.6738933818363734, 0.7620092430843887]]",0.7745782391130203,0.8808257543372069,0.7758540095037095,0.8452761142048969,0.9220974074867383,0.850263628893764,0.8010934207130294,0.8982634056148269,0.806877145866747,0.16500118324672552,0.4561451456365856,0.2080683938878219
"['pre', 'tmp']",2016,False,False,432,345,87,"[[0.1, 0.01]]","[[0.5009054966917378, 0.6709133958104069]]",0.686912869954318,0.8288839799804615,0.6870486522682501,0.7244842285384894,0.8518681544551323,0.7256793525747931,0.7224174163812459,0.8531951226342113,0.7279419172868068,0.3087432028844822,0.5707043358111927,0.32570343891369463
"['pre', 'ndvi']",2016,True,False,432,345,87,"[[0.01, 0.001, 0.0001]]","[[0.40933173229183684, 0.4629392954787267, 0.7744741073719098]]",0.7862715037037097,0.8914451231754867,0.7946744076333587,0.9036745007102013,0.9506710929835016,0.9037755270344455,0.8002538754213916,0.8952002067001028,0.8013834100759067,0.11093688121836587,0.43781499270761415,0.19168196783956823
"['pre', 'ndvi']",2016,False,False,432,345,87,"[[0.01, 0.001]]","[[0.40261554193944293, 0.4559516999439376]]",0.4838366285025504,0.697934341172832,0.4871123445883551,0.5626753941662718,0.750237567763665,0.5628564080839399,0.4915286985268935,0.7070571338295228,0.49992979049921976,0.10502599425057257,0.4185603595772269,0.1751927746094175
"['tmp', 'ndvi']",2016,True,False,432,345,87,"[[0.01, 0.001, 0.0001]]","[[0.6500788785199176, 0.6599605512837583, 0.801892387350429]]",0.8133758054857949,0.904969595896628,0.818969969497306,0.9139230173035661,0.9560469857249632,0.914025838913788,0.8384771350232201,0.9176627046884954,0.8421048395762047,0.23956331621797478,0.5264648070148723,0.27716519302520676
"['tmp', 'ndvi']",2016,False,False,432,345,87,"[[0.01, 0.001]]","[[0.6462135434654712, 0.6561010687076301]]",0.6722924060716869,0.8202249039719355,0.6727688930957708,0.7211177560859752,0.8494396481600416,0.7215477158662552,0.7018693562882307,0.8431197971299156,0.71085099231239,0.3730185261378923,0.6232117820806866,0.38839292532418523
"['pre', 'tmp', 'ndvi']",2016,True,False,432,345,87,"[[0.01, 0.001, 0.1, 1e-05]]","[[0.5526166611355222, 0.6862443448242248, 0.6867996440232578, 0.789459606038657]]",0.8008242642681632,0.8988451422111143,0.8079225896765183,0.9096410354709212,0.9537847864381981,0.9097054188409591,0.835635235509805,0.9145089889767748,0.8363266909193228,0.17439336404469596,0.4823365499416788,0.2326485474096416
"['pre', 'tmp', 'ndvi']",2016,False,False,432,345,87,"[[0.01, 0.001, 0.1]]","[[0.5488000942253141, 0.6834571163021461, 0.6840148087344894]]",0.7006043249726832,0.8374849387535631,0.7013810226390593,0.7576465669047459,0.8704810948386298,0.7577373364714596,0.7515038115579408,0.8715831514968045,0.7596571899731017,0.2988238680537664,0.5850836430657033,0.34232286938303524
