split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6850196825974468, 0.6850196825974468, 0.6937205717549222, 0.6937205717549222]]",0.6960488143557296,0.8357066003569712,0.6984055218802063,0.9957338030232253,0.9981505424222267,0.9963045053377854,0.38976127448360587,0.7373046927829146,0.543618209999708,,,,,,
1,116739,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.6213440382090161, 0.6213440382090161, 0.6245732910101423, 0.6245732910101423]]",0.6287098007239025,0.7986596027642198,0.6378571610875013,0.9949248231257208,0.9978979020493219,0.9958002229144381,0.696153388169833,0.835464648105754,0.6980011782344714,,,,,,
2,26225,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[100.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.623201999000584, 0.623201999000584, 0.635676642658811, 0.635676642658811]]",0.6600754573680623,0.814479272006551,0.6633764845283213,0.989908454643542,0.9956138079742761,0.9912468546290387,0.5905100999912785,0.8017079861592915,0.6427356950715868,,,,,,
3,777572,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.6092191574616159, 0.6092191574616159, 0.6121565667362435, 0.6121565667362435]]",0.6391049479696014,0.8042037201711043,0.6467436235370438,0.992764506832174,0.9969414122326734,0.9938921794244773,0.819430615867886,0.905369376359172,0.8196937076489961,,,,,,
4,288389,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999]]","[[0.45084323065725435, 0.45084323065725435, 0.4532693160345243, 0.4532693160345243]]",0.5408233913126429,0.7400264520499062,0.5476391497335722,0.9941194355601987,0.9975221399053723,0.9950504196013932,0.7551938253997095,0.8700675816690769,0.7570175966714758,,,,,,
5,256787,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6415516985571952, 0.6415516985571952, 0.6581248486154502, 0.6581248486154502]]",0.6703393745519837,0.8209726825975335,0.6739961455713905,0.9942895948238252,0.9975550117490739,0.995116001465695,0.7567207275334178,0.8730030170249896,0.7621342677347344,,,,,,
6,234053,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 1.0, 0.09999999999999999]]","[[0.6162218201098926, 0.6162218201098926, 0.6162218201098926, 0.6162218201098926]]",0.6304582728716752,0.8020767780328266,0.6433271578595202,0.9941745324372212,0.9975337828002714,0.995073647827819,0.7489273404175927,0.8858583527886895,0.7847450212054903,,,,,,
7,146316,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[10.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.5954636126910658, 0.5954636126910658, 0.617213673229559, 0.617213673229559]]",0.6350463986433316,0.8019792478115436,0.6431707139203693,0.995076708467328,0.9978646450723913,0.9957338498854493,0.6887464583351084,0.8358088566560243,0.6985764448646506,,,,,,
8,772246,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.5474628975025361, 0.5474628975025361, 0.561996124002597, 0.561996124002597]]",0.5859211236676398,0.7763822302035082,0.6027693673757731,0.9990239152547914,0.9996020967301373,0.9992043517872868,0.7018653079510518,0.8408417139820561,0.7070147879722818,,,,,,
9,107473,ndvi,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,282,225,57,"[[1.0, 1.0, 0.009999999999999998, 0.09999999999999999]]","[[0.6668955507733573, 0.6668955507733573, 0.6830449054894322, 0.6830449054894322]]",0.6832898280828346,0.8336365423364843,0.694949884718729,0.9988052629109581,0.999497328885253,0.9989949104487555,0.8413933844281364,0.9187791268846688,0.8441550839989543,,,,,,
