country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,504,403,101,1.0,0.21734056425774764,0.22856055914325912,0.4912872692466787,0.24136318092385858,0.4607119868099385,0.6820965658715427,0.46525572517375174,0.05987090229361758,0.41181835586199916,0.16959435822488017,504,3024,504,100000.0,-0.07273103365768963,-0.2890897258557473,-0.09384239836672026,-0.16934780452934645,0.028678678898909734,0.0818034996228294,0.47980116658515776,0.0656815450514745,0.2872668509592726,0.08252224366005695,-0.12548052629334427,-0.3864382591797762,0.14933452815789588
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,497,397,100,10.0,0.2744918780964493,0.26996537409237775,0.5503114950805873,0.30284274161783126,0.6123381719539496,0.7867938871943524,0.6190446209263993,0.41078400587859165,0.649336968335169,0.4216384984467082,497,2982,497,100000000.0,-0.10722148813502863,-0.5438941224264215,-0.11881722709891607,-0.3471750350042137,0.12053050493017702,0.02442944878607034,0.5630270219839252,0.01601177289417033,0.13220477170589262,0.017478101661807185,-0.12846025175660358,-0.24335317950493768,0.05922076997516242
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,504,403,101,1.0,0.21964747902837897,0.23084433557887596,0.4935647400840557,0.24360615265424146,0.46313014338433567,0.6838460706840304,0.46764544838998784,0.04734543941970193,0.412534825183264,0.17018498198898618,504,3024,504,100000.0,-0.07262826392649302,-0.2878172711515552,-0.09373521167285426,-0.16890337523855015,0.028528350166974473,0.0820304345451578,0.4794513077935877,0.06588235329050973,0.2876813678548017,0.08276056941080973,-0.12526078691418818,-0.3867973475840704,0.1496121880980722
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,648,518,130,10.0,0.18492313506769403,0.21404665511725773,0.4905102676366385,0.24060032265696674,0.48809894392448205,0.7035662318404721,0.4950054425862009,0.11965522648530269,0.3810537066567148,0.14520192735682164,648,5184,648,100000000.0,-0.08452369234330437,-0.5639656222791203,-0.09091845590134917,-0.373035700437633,0.13915563380099547,0.009899832610571924,0.5647543531031931,0.005008645921928623,0.07077234001911305,0.00500872411178095,-0.08452559736644538,-0.5639698478484456,0.3180619892821989
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,504,403,101,0.1,0.4205578774766988,0.44069907924844653,0.6691496441434738,0.4477612462573376,0.7076099158415743,0.8437064961515254,0.7118406516482839,-0.0885730515892511,0.3749928859380548,0.14061966450415098,504,3024,504,100000000.0,-0.10799840602570665,-0.5464842779809812,-0.11922479745842529,-0.35236313686901666,0.12415978022417337,0.016390946348020186,0.5467148925338475,0.008297354223885889,0.09108988730625513,0.008297367569466259,-0.10763632699029135,-0.5458535360037424,0.2979560827677889
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,490,392,98,100.0,0.30620883626949774,0.31150246139629967,0.5602882962447362,0.31392297490882926,0.4778770199704787,0.6985313467927335,0.4879460424520702,0.239979841124502,0.49718233625105507,0.24719027548005718,490,2940,490,100000000.0,-0.10949541060234536,-0.5488628440253622,-0.12109298206827668,-0.35280347641878224,0.12447029297317823,0.019031744329046307,0.544171634696698,0.01071809291379322,0.10418666624788898,0.01085486142384901,-0.11128670496061255,-0.5356645851216928,0.2869365477535953
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,648,518,130,100.0,0.19445018649175586,0.22315976738110355,0.4745830591813891,0.22522908006196588,0.37492234418827985,0.6208888978293484,0.38550302344774307,0.031941107542606484,0.299580063786861,0.08974821461853968,648,5184,648,100000000.0,-0.08452124043873432,-0.5639457561825847,-0.09091621126570915,-0.3730199807927546,0.13914390607062702,0.009891213740218618,0.5645437211933009,0.0049999512069989205,0.07071066904562914,0.004999998716880495,-0.08452258531615175,-0.5639467621264759,0.318035950512936
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,504,403,101,0.1,0.21327473648096484,0.21799291188491476,0.5056324121878306,0.2556641362548842,0.5743861781757464,0.7614850229680367,0.5798594402046313,0.07808612817820604,0.43909846821163667,0.1928074647858057,504,3024,504,100000.0,-0.07411502293433059,-0.3266992278650512,-0.09382681218726008,-0.1858104533589378,0.034525524577454,0.07925426409134484,0.5158895413446767,0.06289573672883841,0.28273954948516744,0.07994165284307544,-0.13960149776669684,-0.4046364448164861,0.1637306524737252
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,504,403,101,1.0,0.2583887666126564,0.27723893642100095,0.5658033466390097,0.3201334270679033,0.6935713615064977,0.8361560313614783,0.6991569087821775,0.14376234373557395,0.5243993006089009,0.27499462647910444,504,3024,504,100000000.0,-0.022813592095156876,-0.10442848869197739,-0.07548442472668948,-0.03134456307184885,0.0009824816341651107,0.1424114680100398,0.612697575789739,0.09462052616919703,0.31345520055057535,0.09825416275220142,-0.3679035441637284,-0.154292765347221,0.0238062574384926
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,497,397,100,100.0,0.42623142559903215,0.4413590258278588,0.6698064879888947,0.44864073135201743,0.6682580784456869,0.820011514271463,0.6724188835377778,0.5240812157157444,0.7279617433520794,0.5299282997841988,497,2982,497,100000000.0,-0.05665517439335099,-0.2712442211655899,-0.08737943478857169,-0.12198351185271153,0.014879977163920614,0.13488864230915987,0.5812246701195896,0.09800459789165095,0.32754328672415256,0.10728460467806042,-0.1441000703509201,-0.4690475899476619,0.22000564163570996
