,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,497,397,100,10000.0,0.42684119576153357,0.4365584119013869,0.6607878438543132,0.4366405745856322,0.740322432793978,0.8745401420288135,0.7648204600197772,0.512373005798159,0.717452220538134,0.5147376887550992,497,397,100,1000.0,-0.28767620444950165,0.26248359890045736,0.5393837847153932,0.2909348672139016,0.9304993643135117,0.9676241927147993,0.936296578326967,-0.05058832010894476,0.31077501149234354,0.09658110776806626
1,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,504,403,101,10000.0,0.25716126001176465,0.2702954686370319,0.5201019462766471,0.2705060345207563,0.5146048874985955,0.738018653450528,0.5446715328409305,0.1232537749833531,0.4211056833696204,0.177329996566195,504,403,101,10000000.0,-0.5282757131540862,-0.1299248925201768,-0.4920019050022357,0.24206587452582892,0.04388589694483658,0.4371881664713704,0.19113349290259865,-0.03866143892566143,-0.008884463889576255,7.893369860518444e-05
2,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,432,345,87,1000.0,0.44874577295554047,0.49518204768573504,0.7082211779776244,0.501577236936014,0.9135365518094659,0.9617401025420642,0.9249440248376202,0.24897799410481736,0.5805910544120704,0.33708597246331967,432,345,87,10000000.0,-0.48468570884698503,-0.15839752672695218,-0.51520943157076,0.2654407583794657,0.03661481631024022,0.563672268016881,0.3177264257312945,-1.0209782491422055,0.2134798492009206,0.045573646014847806
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,504,403,101,1000.0,0.4577108050488878,0.4766361152024201,0.6965538115657953,0.4851872124068375,0.868809334532741,0.9367978097294998,0.8775901363139881,0.16993959134475345,0.5106438741384725,0.2607571661951481,504,403,101,1000.0,-0.40866545812858907,0.16048119867410038,0.44640790986275247,0.19928002198803133,0.8730034773667754,0.93916563666377,0.8820320930900644,-0.2624140966173498,0.17584670410206765,0.030922063343560135
4,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,490,392,98,10000.0,0.3989096882230444,0.41819350002532607,0.6467823080657379,0.41832735402684307,0.7297741080865675,0.8700542906544331,0.7569944686861887,0.5486582100998125,0.7447890456757774,0.5547107225586353,490,392,98,10000.0,-0.49944674324215876,0.09206874567479195,0.3319741519324366,0.11020683755126051,0.7532648912250511,0.8799788934030488,0.7743628528348543,-0.2684753629895278,0.07933413490540119,0.006293904961188395
5,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,432,345,87,1000.0,0.4414196161401514,0.49413541010619044,0.7097977292364461,0.5038128164292153,0.9163411812607369,0.9620835881833114,0.9256048306516755,0.3995353047033319,0.658903724555175,0.4341541182326819,432,345,87,10000000.0,-0.4839222201817287,-0.15772231223381383,-0.513991577452868,0.26418734169248764,0.038831338871951004,0.5825513177850924,0.33936603785314773,-1.0212734228541898,0.1956639675892474,0.03828438821276606
6,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,504,403,101,10000.0,0.27124723613632196,0.2861877468213644,0.5352891306621148,0.2865344534050026,0.5595152334994802,0.7710175630867149,0.5944680825881764,0.09341626093436894,0.3928238962187085,0.15431061344044666,504,403,101,10000000.0,-0.5281209529494361,-0.12876644540727367,-0.48732516531101383,0.23748581674540695,0.04631042000156205,0.4561003659965102,0.20802754386215058,-0.042831342700693664,-0.047465679671283574,0.002252990746656903
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,504,403,101,1000.0,0.3472468879311944,0.3634418804535765,0.6170920087343641,0.3808025472438125,0.7768808968884273,0.8907236003606529,0.793388532239444,0.26525019738509037,0.5552567890325375,0.30831010176672385,504,403,101,100000000.0,-0.5320443124963194,-0.14293443442869624,-0.5688056236748392,0.3235398375241228,0.006607344478093302,0.5115097427318455,0.2616422169095987,-0.03431860571539325,0.038307789255773016,0.0014674867176647185
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,497,397,100,1000.0,0.4873761329097143,0.5003320524793677,0.7126044446564559,0.5078050945441359,0.8726488470647271,0.9386820068012145,0.8811239098923553,0.5944964373182475,0.7712797879223358,0.5948725112575233,497,397,100,100000000.0,-0.5358019067584373,-0.14251390429890876,-0.568775833347276,0.3235059485998883,0.009266481877517108,0.5958089093102924,0.3549882564135202,-0.03727353919064735,-0.015979533425915418,0.0002553454885099481
9,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,490,392,98,10000.0,0.38391114977055707,0.40764886515584153,0.6397597406231976,0.4092925257222611,0.6463152877525167,0.8224761648995094,0.6764670418278049,0.5083493662704984,0.7298721667843109,0.532713379846425,490,392,98,10000000.0,-0.5369096257408749,-0.1329344076964072,-0.5050449800862533,0.255070431910324,0.04941692080834359,0.467042856579032,0.21812902988150226,-0.04058637039660962,0.016077318786159017,0.00025848017935178164
10,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,497,397,100,1000.0,0.3842215766745158,0.39015027248395595,0.6478511678625485,0.419711135700868,0.9057448821483638,0.9566783016583706,0.9152333728639445,0.5416211069443888,0.738347581047613,0.5451571504388615,497,397,100,10000000.0,-0.5266667480965359,-0.12454178919175196,-0.4747757013227861,0.22541196656654341,0.056062050758396986,0.5077798790005761,0.2578404055178397,-0.05313751180197701,-0.12395264292880791,0.015364257689036553
11,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,504,403,101,1000.0,0.4055458304839682,0.4181325066799044,0.6528772622247618,0.4262487195301004,0.7857298179579472,0.8949083027182614,0.8008608702740794,0.1736948116644249,0.4922190116757224,0.24227955545502494,504,403,101,100000000.0,-0.5319887498897935,-0.1428428135632933,-0.5685491236001531,0.32324810594650216,0.006895822542108521,0.5193650812440063,0.2697400876155932,-0.034632998375946134,-0.003708089022324983,1.3749924197487047e-05
12,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,432,345,87,1000.0,0.5645954575072157,0.6040639871435203,0.7781527652613893,0.6055217260839468,0.9113873464150941,0.9591870776220911,0.9200398498772074,0.5137496618615689,0.7232563993874769,0.5230998192549374,432,345,87,1000.0,-0.09278511734437456,0.38492545074793305,0.6227534541244383,0.3878218646239189,0.9082103995034776,0.9567454641390734,0.9153618831506909,-1.1506971380645004,0.39689047830855356,0.15752205177199244
13,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,288,230,58,1000.0,0.429577407354771,0.4641712628814554,0.6981467480669586,0.4874088818364694,0.9705652655745025,0.9882943447999711,0.9767257119636042,0.8015854485631606,0.8976822433663747,0.8058334100552872,288,230,58,10000000.0,-0.5838615880880541,-0.1850040533012698,-0.5626475758847964,0.31657229464903774,0.036617130463735825,0.6408059644025732,0.41063228401391194,-0.8564107341138001,0.18503712775090048,0.034238738646303064
14,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,497,397,100,10000.0,0.4366302075562919,0.44565856188952035,0.6676948671778683,0.4458164356556712,0.7475962837279053,0.8786327009559779,0.7719954231891969,0.5180653653412437,0.721246530279924,0.5201965574408294,497,397,100,1000.0,-0.3199317010727523,0.22273429703749303,0.49497317260562007,0.24499844159927295,0.9290624503150943,0.9669056213290389,0.9349064805576948,-0.06104535439683123,0.2957159980259005,0.08744795148845438
15,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,497,397,100,1000.0,0.3961803440323727,0.40171278090296436,0.6565216973130478,0.43102073904280513,0.8962140183788115,0.9515961329518274,0.905535200248872,0.5588431395866695,0.7506190985930442,0.5634290311726342,497,397,100,10000000.0,-0.5259266779851229,-0.12427035784306018,-0.473967497367664,0.2246451885609666,0.05535599527190593,0.5074976234646809,0.257553837822299,-0.04903225907822861,-0.08543105766379928,0.007298465613555398
16,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,432,345,87,1000.0,0.5711090020047214,0.6087543218344973,0.7809569433633248,0.6098937473873872,0.9122389800968914,0.959567392483243,0.92076958071709,0.5161393769634701,0.72450493254175,0.5249073972773257,432,345,87,1000.0,-0.07982513042443037,0.3865897138999993,0.6233500856474428,0.38856532927667425,0.9088733107036535,0.957075096689047,0.9159927407023487,-1.1539941383785104,0.3966161419846067,0.1573043640827537
17,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,426,340,86,1000.0,0.534941797868564,0.5666418486356887,0.7577516693828662,0.5741875924525206,0.9539045918527944,0.978949738990942,0.9583425914704333,0.3989196915771428,0.6645081593379483,0.44157109382670806,426,340,86,10000.0,-0.4619876659280651,0.17798858044127708,0.43328784342119725,0.18773835525659194,0.7946864260803728,0.8991478332098763,0.8084668259660156,-1.1252112671939134,0.296617616162801,0.08798201021810276
18,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,288,230,58,1000.0,0.48504725411096805,0.5337453530266874,0.7357897158348315,0.5413865059283022,0.9705842879444558,0.9880348422396774,0.9762128494795842,0.7023724940554024,0.8389519109147076,0.7038403088274394,288,230,58,10000000.0,-0.5842375880054635,-0.18525829691957862,-0.5630993394115893,0.31708086604576824,0.03645396686883151,0.6396724085461345,0.4091807902552128,-0.8563180848869743,0.18696887284433475,0.034957359412681015
19,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,504,403,101,1000.0,0.4018431982545209,0.4142189520840346,0.6503810756334412,0.42299554354211194,0.7853474788310981,0.8946911852980083,0.800472317049955,0.1631203174534943,0.4898792120174383,0.23998164236682626,504,403,101,100000000.0,-0.5319923894341398,-0.1428461891866042,-0.5685548926812141,0.32325466599174685,0.0068900341057394066,0.5193010210656975,0.269673550479876,-0.03463177420267982,-0.003559540441373342,1.2670328153772326e-05
20,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,426,340,86,10000.0,0.5140851823575512,0.5407249404025043,0.7362979905462851,0.5421347308824973,0.7993195682849862,0.9022578639148451,0.8140692529961792,0.4391590440066917,0.6684776942836193,0.44686242775474394,426,340,86,10000.0,-0.4941667150735823,0.16315191921137884,0.41948569629829996,0.17596824939886954,0.790163360127244,0.896810715821109,0.8042694600115701,-1.1600863303240048,0.2707571767518222,0.0733094487626175
