,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,False,504,403,101,0.01,0.5543933180335919,0.5639174791941914,0.7646155904409342,0.5846370011453385,0.8678596160545864,0.9331532144507938,0.8707749216398492,0.6237954323242598,0.7986163746931588,0.6377881139280438,504,3024,504,1000.0,0.3578768209951336,0.6004672233017215,0.29198781585149225,0.544340445045965,0.29630652011283926,0.4953698657340637,0.7222607886178483,0.43746823878950714,0.6635646775900443,0.44031808134517947,-0.36130547182552886,0.23519291795812583,0.055315708657657704,0.44978499655677084,0.6963478770145035,0.4849003658226061,-2.3849919754936906,-0.09940242616542319,0.00988084232757241
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.6321745800404,0.639988442009799,0.801664549148576,0.6426660493615896,0.7754020921391538,0.8813340312973101,0.776749674722768,0.5893911716185071,0.7690865708922721,0.5914941535268338,504,3024,504,10.0,0.46509052035087195,0.6870513558537291,0.407035289849084,0.6516101154213128,0.42459574251937654,0.6966666808006607,0.8374647727113951,0.6846171670015544,0.8291232795859755,0.6874454127514038,0.4042427029241238,0.6507189249973224,0.42343511934967093,0.36448282777329577,0.6174851292033977,0.3812878847873368,-0.6476247782173725,0.09824910480249761,0.00965288659449216
2,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,0.1,0.5764566619725627,0.5829447051099346,0.7681806145814442,0.5901014566187253,0.819000267307388,0.9065974550370346,0.821918945479628,0.5343568149246971,0.7313692269338864,0.5349009461058706,504,3024,504,10000.0,0.34309604090256995,0.5919061541080899,0.25454837395756214,0.5173607786511059,0.26766217528647857,0.5281856376806937,0.7573908727293547,0.46194183286603274,0.6846813421314645,0.46878854026294353,0.09964445210971673,0.44937743141208664,0.20194007586252463,0.36825994028045717,0.6454399938615998,0.41659278567606195,-1.0096206131189946,0.05678561349769859,0.003224605900310008
3,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.7288039632666272,0.7316625312597793,0.8567601977161199,0.7340380363905649,0.8914156032950338,0.9450886968794316,0.8931926449692622,0.7760205385053375,0.8815476364203699,0.7771262352783407,504,3024,504,10.0,0.5813099061424407,0.7645285433344339,0.5123158920610842,0.7230810842937375,0.5228462544634072,0.840046546181773,0.9213841471779316,0.8241160872400348,0.9109115157080359,0.8297597894495112,0.38986694050225223,0.6546608277254773,0.42858079935820703,0.4772870560790424,0.69112751831872,0.4776572465773926,-1.2156748115798326,0.05795813793845609,0.0033591457532931033
4,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,False,504,403,101,10.0,0.33073731288419694,0.34822081954893747,0.6040817724754556,0.3649147878370881,0.5939971263640573,0.7736185327125006,0.5984856341562423,0.21488848673494154,0.4811189097555825,0.23147540532440036,504,3024,504,100000.0,0.03999857783933125,0.22641656679373395,0.018128704159235398,0.19553386108953574,0.03823349083258186,0.17904938718967223,0.4953176583329986,0.17537767653557879,0.4797113310874419,0.2301229611736853,0.04086695745215063,0.2320043449114937,0.05382601605781133,0.18548275211525012,0.5624302085091922,0.31632773944369347,-0.22010465626376674,0.1225975361115128,0.015030155860613686
5,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,0.1,0.515480791575091,0.5243410039779897,0.7321833788589635,0.5360925002773284,0.7727948343302378,0.8813487705109131,0.7767756552810982,0.6732001767646075,0.8236921989677588,0.6784688386403419,504,3024,504,1000.0,0.3049091467055547,0.5525295578046702,0.2584770109819866,0.5123250451372999,0.2624769518749364,0.4303144779607958,0.6680702476800601,0.3963852809516547,0.6324240642545237,0.3999601970482099,-0.27761631352568994,0.2641975310760555,0.0698003354266833,0.2953628467793614,0.5875992394651708,0.3452728662200471,-2.322234444433167,-0.10302985430896738,0.010615150878927044
6,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,True,504,403,101,1.0,0.6404716171954008,0.6597430488472005,0.8124670927691714,0.6601027768327894,0.8595615024742304,0.9305248478124795,0.865876492396438,0.7600354029359933,0.8718843251576048,0.760182276455532,504,3024,504,0.01,0.26300707736665896,0.5792737680431603,0.08712752133457058,0.3443669903502004,0.11858862404285501,0.41470115073776104,0.8489317884216152,0.2789770711359143,0.5314435362592778,0.2824322322317663,-117.16674639933541,0.01240568828363491,0.0001539011017907165,0.3662578877284218,0.6084172774332874,0.3701715834793339,-444.3617362439979,-0.056126117337761426,0.0031501410474121636
7,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.6605778109180334,0.6774020113987682,0.8256108956425078,0.6816333510036239,0.914008381876018,0.9580519282884012,0.9178634972971239,0.7955094723062199,0.8923622627494449,0.7963104079793093,504,3024,504,100000.0,0.09468027519975053,0.32160113386917927,0.02701564791590283,0.2160177746017945,0.04666367894391169,0.24530094367536537,0.5979036986544538,0.2186027658070726,0.5074940491462266,0.2575502099188327,0.127066069258152,0.36489942079020404,0.1331515872930264,0.5777068928327862,0.7628517909671136,0.5819428549817328,-0.10264068808986071,0.24203108793183167,0.058579047525466034
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,504,403,101,1.0,0.6790514617200166,0.6888578314517373,0.8305689000432788,0.689844697719102,0.911794202391286,0.9576570567637963,0.917107038369497,0.7669762431652766,0.8792307953728253,0.773046791531931,504,3024,504,100000.0,0.19728188443851258,0.49663290696208506,0.04577421456062547,0.2943312044679012,0.08663085792352544,0.38279438769243945,0.7799147308866706,0.2898924529749738,0.5517148870961172,0.3043893166434813,-1.7681809957292525,-0.08047948471041262,0.006476947459253539,0.5632792746816994,0.7520137925695438,0.5655247442148289,-7.074763836072282,-0.1824763956460229,0.03329763496796388
9,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,0.1,0.5182900099229861,0.528373214502514,0.7346774299965215,0.5397509261462938,0.7743353101194523,0.8822360965403333,0.7783405300387243,0.6639909614794287,0.8186920163240835,0.6702566175927934,504,3024,504,1000.0,0.30381961828979986,0.5515143517678385,0.2577930418455898,0.51166739745897,0.26180352562243564,0.43016649280010477,0.6678618796556787,0.39651226173344234,0.6325271478406931,0.400090592755482,-0.31640678591662863,0.25888782350646067,0.06702290515991233,0.29516812460240005,0.5892074552205391,0.3471654252874636,-2.4944011705686613,-0.11315584756351144,0.012804245837816638
