country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,504,403,101,1.0,0.21734056425774764,0.22856055914325912,0.4912872692466787,0.24136318092385858,0.4607119868099385,0.6820965658715427,0.46525572517375174,0.05987090229361758,0.41181835586199916,0.16959435822488017
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,497,397,100,10.0,0.2744918780964493,0.26996537409237775,0.5503114950805873,0.30284274161783126,0.6123381719539496,0.7867938871943524,0.6190446209263993,0.41078400587859165,0.649336968335169,0.4216384984467082
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,504,403,101,1.0,0.21964747902837897,0.23084433557887596,0.4935647400840557,0.24360615265424146,0.46313014338433567,0.6838460706840304,0.46764544838998784,0.04734543941970193,0.412534825183264,0.17018498198898618
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,648,518,130,10.0,0.18492313506769403,0.21404665511725773,0.4905102676366385,0.24060032265696674,0.48809894392448205,0.7035662318404721,0.4950054425862009,0.11965522648530269,0.3810537066567148,0.14520192735682164
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,504,403,101,0.1,0.4205578774766988,0.44069907924844653,0.6691496441434738,0.4477612462573376,0.7076099158415743,0.8437064961515254,0.7118406516482839,-0.0885730515892511,0.3749928859380548,0.14061966450415098
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,490,392,98,100.0,0.30620883626949774,0.31150246139629967,0.5602882962447362,0.31392297490882926,0.4778770199704787,0.6985313467927335,0.4879460424520702,0.239979841124502,0.49718233625105507,0.24719027548005718
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,648,518,130,100.0,0.19445018649175586,0.22315976738110355,0.4745830591813891,0.22522908006196588,0.37492234418827985,0.6208888978293484,0.38550302344774307,0.031941107542606484,0.299580063786861,0.08974821461853968
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,504,403,101,0.1,0.21327473648096484,0.21799291188491476,0.5056324121878306,0.2556641362548842,0.5743861781757464,0.7614850229680367,0.5798594402046313,0.07808612817820604,0.43909846821163667,0.1928074647858057
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,504,403,101,1.0,0.2583887666126564,0.27723893642100095,0.5658033466390097,0.3201334270679033,0.6935713615064977,0.8361560313614783,0.6991569087821775,0.14376234373557395,0.5243993006089009,0.27499462647910444
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,497,397,100,100.0,0.42623142559903215,0.4413590258278588,0.6698064879888947,0.44864073135201743,0.6682580784456869,0.820011514271463,0.6724188835377778,0.5240812157157444,0.7279617433520794,0.5299282997841988
