,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,reg_param,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,648,518,130,10.0,0.6118977766718567,0.7350229710898706,0.858717581958055,0.7373958855638889,0.6127392112865847,0.7936195520827066,0.6298319934479559,0.2857861337442751,0.5608849395936056,0.31459191546292264
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,1.0,0.7480245861678684,0.919104001152309,0.9594694920388555,0.9205817061532993,0.6835076175774213,0.8542516300736657,0.7297458474835149,0.445706489483753,0.6718674659777405,0.45140589183935026
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1.0,0.5075151526344921,0.7959179108681766,0.894799167885864,0.8006655508492346,0.6532536947318677,0.812404338294245,0.66000080887931,0.3527559227295165,0.6267659583555054,0.39283556655329516
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,1.0,0.7248379618550388,0.9147729363392787,0.957949833093948,0.9176678827247228,0.7371293305536883,0.8720958399737065,0.7605511540994447,0.4673458284054244,0.6855867357758398,0.4700291722717712
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1.0,0.6044605429640498,0.8028213678510286,0.8977981824138649,0.8060415763456394,0.6686675505112653,0.8269157077545697,0.6837895877312409,0.33987721731709586,0.5987961957697058,0.3585568840682718
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,1.0,0.7551103333825723,0.9062861406069516,0.9531242680858333,0.9084458704141554,0.7309081226866276,0.8698565481237481,0.7566504143137626,0.43534652535034013,0.6608154374477058,0.43667704236920274
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,0.1,0.564539290136729,0.8972913113973162,0.9485248756521002,0.8996994397308321,0.5814571204207337,0.7990335993734657,0.6384546929277162,0.3989354058630932,0.670944026865109,0.4501658871859681
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,1.0,0.7375632236950471,0.9098554026579838,0.955311097490722,0.9126192929889276,0.7456404193556123,0.8715274379972372,0.7595600751820282,0.4577912927420358,0.6774321799510532,0.45891435843323614
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,100.0,0.5922071666680602,0.8013913089347906,0.8969313394991517,0.8044858277757425,0.7050119939775703,0.8462087184103272,0.7160691951136484,0.3623369613540942,0.6155623532601049,0.37891701075111817
0,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,384,307,77,100.0,0.598110577317587,0.8067476414094166,0.9000450785051733,0.8100811433413837,0.7136973621254241,0.8505602558549716,0.7234527488400748,0.36718803342345585,0.6180186465647742,0.38194704750175534
