,country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,497,397,100,10000.0,0.4211847141134838,0.07356303978050682,0.3654986577139527,0.13358926879070113,0.23873045647669044,0.6077963325155055,0.36941638181929887,0.033597280807627916,0.357998335203003,0.1281628080081217,1000.0,0.04686944721217688,0.12108048983846542,0.44268386839147233,0.1959690073340384
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,497,397,100,10000.0,0.42684119576153384,0.07556543201366661,0.3686224625013958,0.13588251986059294,0.2383021300944076,0.6071918904348771,0.36868199180987976,0.0366083170445356,0.36361910658758057,0.13221885467555028,100.0,0.35775687644408344,0.17835940375169446,0.5880363840017938,0.3457867889099051
2,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,504,403,101,10000.0,0.24947244263444435,0.04375965921019154,0.2919726272444549,0.0852480150600294,0.14377561959874097,0.46186534917063327,0.21331960076451098,0.0591642397628368,0.33724926212951123,0.11373706480689978,10000000.0,-0.4265929874297131,-0.057332401316213755,-0.46882886950024566,0.21980050887687838
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,10000.0,0.25716126001176487,0.04591287030268765,0.29565916101689527,0.08741433949321441,0.14334478157237063,0.46098464889436747,0.21250684651626325,0.06428895112103006,0.3427126839043547,0.11745198370892615,1.0,0.2792836100199632,0.15726108310069542,0.5532872554352737,0.3061267870270978
4,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,1000.0,0.4209531191113802,0.07484426023560653,0.3874990850744942,0.15015554093357011,0.2780682587402111,0.6629616986215199,0.439518213839131,0.016384630256339072,0.2763158516252617,0.07635044985939363,10000000.0,-0.5421493927480362,-0.08214510380004447,-0.5266856348786042,0.2773977579874784
5,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.44874577295554047,0.08880229260507877,0.40807635773040485,0.16652631373851334,0.27644055828018477,0.65944575463579,0.4348687033071666,0.02197153281332964,0.29229401116379405,0.08543578896222016,10.0,0.12471844755871546,0.16328635964511895,0.5656765523680337,0.31998996189898476
6,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,1000.0,0.42882659695786157,0.06082999105825293,0.3836573250495388,0.14719294306416747,0.2734641819170194,0.6539729913222118,0.4276806733789217,0.04880121302694085,0.42774845617111024,0.18296874175676822,100000000.0,-0.4299814047382731,-0.06378665443669673,-0.5030900611541357,0.25309960963207195
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,1000.0,0.4577108050488878,0.07141764947550788,0.3973521692049915,0.1578887463719122,0.27072096567446946,0.6501605469426418,0.42270873680075516,0.10793329214758662,0.4807141312980607,0.23108607602964912,1.0,0.48176705731887726,0.2185308447823655,0.6301651214065388,0.3971080802373178
8,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,490,392,98,10000.0,0.3933702228021387,0.04585183021738237,0.3175513512513775,0.10083886068157574,0.2174980560151203,0.5960249047876064,0.35524568712707527,0.16592100431458612,0.5264964734504843,0.27719853655579657,1e-08,-0.17780442015654807,0.08021683060375795,0.4591130427156904,0.21078478599165937
9,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,490,392,98,10000.0,0.39890968822304473,0.04830313742039882,0.32132569150202966,0.10325020001925754,0.21714824997492688,0.5953673478642171,0.3544622789028717,0.16907039586405492,0.5312716371229373,0.282249552411286,10.0,0.4437096978144198,0.18983439606222818,0.658230979030248,0.43326802175511875
10,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,432,345,87,10000.0,0.4213018003768726,0.08627280184781394,0.3813398964015113,0.14542011658751536,0.18615326821846145,0.5421988733717813,0.2939796182856289,0.07384358282558279,0.3068358744223867,0.09414825383255065,1000.0,-0.43866333914735617,0.02739837340092921,0.3449373986544114,0.11898180899047235
11,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,432,345,87,1000.0,0.4414196161401514,0.07970837673609388,0.40721695937822316,0.16582565200524546,0.2747904617914564,0.6589526700736624,0.434218621397209,0.0881569366614543,0.3531401961395635,0.12470799812948938,10.0,0.32620353637810867,0.1934694547552357,0.5848862339997826,0.34209190672244844
12,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,504,403,101,10000.0,0.26387860813445396,0.049328302098777255,0.30471361051273377,0.09285038443170601,0.1619418065485263,0.4946764495638056,0.2447047897530523,0.02086946329749806,0.29218654866115135,0.08537297921851536,10000000.0,-0.42654169755788157,-0.05734221668731676,-0.4660915337565392,0.21724131783952313
13,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,10000.0,0.2712472361363217,0.051240658498774794,0.30788421617680906,0.0947926905708081,0.16150438567389502,0.49376085812634385,0.24379978501766345,0.02689320164653841,0.2983145219602015,0.08899155401234353,0.1,0.46896624823310146,0.20951438958638247,0.6293929456813047,0.3961354800733897
14,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,504,403,101,1000.0,0.3001538483950827,0.06639518618318263,0.37262230535391533,0.13884738244726652,0.2409819503515589,0.6059770009205713,0.36720812564469,0.13731365314212407,0.49383828483184267,0.24387625156565618,100000000.0,-0.42997649101230884,-0.06363087787630728,-0.5039329603888404,0.2539484285662606
15,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,1000.0,0.3472468879311939,0.07922370314408467,0.38914570977686896,0.15143438343774313,0.23889607701979387,0.6023786935437541,0.36286009043547995,0.18848135738335847,0.538916533885554,0.2904310304952195,1.0,0.21280940245485963,0.1893216683488096,0.6173568895675695,0.38112952909654424
16,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,497,397,100,1000.0,0.45557890263459777,0.12154531533126534,0.4518074911473909,0.20413000905689968,0.3128589214395513,0.6801240178231728,0.4625686796199354,0.06699479902470817,0.4452825044705716,0.19827650878758463,100000000.0,-0.4330291269419232,-0.06337785880950508,-0.5045224072084021,0.25454285937536075
17,ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,497,397,100,1000.0,0.4873761329097143,0.13724069879446565,0.473552738231968,0.22425219588699477,0.3111238548121893,0.6777569746291896,0.45935451665851196,0.08375886826903156,0.46209631353419717,0.21353300298189506,1e-08,0.541991979889639,0.23917618422917564,0.6522615991331661,0.425445193703755
