split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 0.09999999999999999]]","[[0.5531025528991127, 0.6902453173182789, 0.7638364853734269]]",0.7739504178139842,0.8798915414211144,0.7742091246644246,0.9250594434557081,0.9637208921498441,0.9287579579660915,0.8687015766519908,0.9355530186483314,0.8752594507020052,0.10153253710392596,0.44596160055114825,0.1988817491661419,0.325811585050942,0.6343601259239848,0.40241276936229387
1,116739,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6244203912626286, 0.7202755939662941, 0.783383118913396]]",0.7948289141196035,0.8927808282831454,0.7970576073499392,0.9302456270257603,0.9648473988134894,0.9309305029971566,0.8091425086289028,0.9006234134340018,0.8111225328255128,0.05621478285616155,0.4029553117893172,0.16237298329922584,0.66748797093176,0.8205859121278538,0.6733612391827019
2,26225,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6016012147574568, 0.7199587321409581, 0.7929898262824253]]",0.7970420737427362,0.8938337685749698,0.7989388058449326,0.9338775395882296,0.9667163289061613,0.9345404605738055,0.7424312322175026,0.8677050057854401,0.7529119770651106,0.07587906651827492,0.4108440284870529,0.16879281574347035,0.13319724256448762,0.49664915044281993,0.24666037863557477
3,777572,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.009999999999999998]]","[[0.5965150973435193, 0.6776699249900273, 0.7538250140989102]]",0.7609059373303296,0.8773007436989826,0.7696565948947879,0.9759421941591364,0.9882157993198101,0.9765704660252912,0.7179065036841051,0.866387566634476,0.7506274156188086,0.04505265696578031,0.5111996997124885,0.26132513298613835,-0.2677185127792685,0.5154852008925129,0.2657249923391944
4,288389,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 100.0, 0.09999999999999999]]","[[0.6847294823387221, 0.7247363104626369, 0.8103880716411342]]",0.8131673029561235,0.9029806916473637,0.8153741294879514,0.9100858718248351,0.9569721395383416,0.9157956758525911,0.8135154364620788,0.9053051495290272,0.8195774137637742,0.22427416084755414,0.49523782104569014,0.245260499394083,0.36396374728137015,0.6425286142584934,0.4128430201409398
5,256787,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6438320117001359, 0.7264383821736109, 0.8103165090081544]]",0.8172212919101655,0.9045504734517609,0.8182115590218048,0.9389313174467637,0.9693237156997223,0.9395884658179161,0.7522723505352863,0.873194429856646,0.762468512332673,0.1493769570835073,0.4684897850905057,0.21948267873414823,0.06790328400936096,0.3072655396798275,0.09441211187473565
6,234053,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 100.0, 0.09999999999999999]]","[[0.5738958127179847, 0.686738130550372, 0.7597518394396792]]",0.7777078432499717,0.8819817583908011,0.7778918221341293,0.9654782309473826,0.9837153025013919,0.967695796375405,0.7785525408112011,0.8834067179307371,0.7804074292851569,0.18754831285324847,0.541267962814187,0.2929710075690201,0.2821026554128274,0.6384167159729693,0.407575903233711
7,146316,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 100.0, 0.09999999999999999]]","[[0.6574236392894861, 0.7241421675761022, 0.7977136738411141]]",0.8027101794920685,0.8967179091180567,0.8041030085330594,0.9061613589260749,0.9546559441724742,0.9113679717438382,0.8161526942219017,0.9051103075231579,0.8192246687846655,0.15408010896099744,0.4502364399637352,0.20271285187121812,0.2429712406236757,0.5149779492823127,0.2652022882470162
8,772246,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 100.0, 0.09999999999999999]]","[[0.6333098524801446, 0.7176682894612925, 0.7944315327508369]]",0.7955722251464552,0.8932123285213082,0.7978282638224573,0.8994360687617087,0.9512684076470883,0.9049115833874269,0.8810266265237297,0.9468631025240757,0.8965497349215182,0.17703516130316033,0.459818559455039,0.21143310761930725,0.5411428464157624,0.749427644125376,0.5616417937793112
9,107473,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 100.0, 0.009999999999999998]]","[[0.592449364152443, 0.7216605209769579, 0.7936867022741948]]",0.8071203627148767,0.8989261246195202,0.808068177523469,0.9307068752428129,0.9651410287902739,0.9314972054543482,0.8594732060584785,0.928148301417277,0.8614592694237765,0.14943309516386827,0.45670242943947875,0.20857710905592206,0.49909124366754487,0.7154518781427842,0.5118713899380374
