country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_summary_val_R2,logo_summary_val_r,logo_val_R2,logo_val_r,logo_val_r2,logo_summary_train_R2,logo_summary_train_r,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,432,345,87,1000.0,0.43977978686699404,0.4719236926548671,0.688375375268234,0.473860657275682,0.8646839223210803,0.9411441863394769,0.885752379480596,0.2728514915271526,0.562136070788581,0.31599696208162453,432,2160,432,1000000.0,-0.09082647840763336,-0.2896152967818246,-0.12734525835028743,-0.1614536835095432,0.02606729191879974,0.14553467593515734,0.6418695072790657,0.117564072599596,0.3855869991211692,0.14867733389126855,-0.19520563825320458,-0.4048011706669369,0.16386398777332256
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,432,345,87,1000.0,0.5783421954423236,0.6084801318955244,0.7801071001812169,0.6085670877531472,0.8480272201054957,0.926861423156298,0.8590720977353182,0.3968108963434106,0.638843614628284,0.4081211639513314,432,2160,432,1000.0,0.34427767557358624,0.5971893899593888,0.24004348782871143,0.49781174527766014,0.24781653373638998,0.8412364460078836,0.9253788691159878,0.8172169621241984,0.9085917392004383,0.8255389485432774,0.3053008540923303,0.5581370325925863,0.3115169471512577
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,432,345,87,100.0,0.5030398138872325,0.5397601916805539,0.7463607159981543,0.5570543183852776,0.9840047550443614,0.9931026245388331,0.9862528228659185,0.5458818316770838,0.7431074349077317,0.5522086598151487,432,2160,432,100000000.0,-0.07842785814717623,-0.26487921278463894,-0.11562047255859786,-0.13995183983718845,0.019586517473814048,0.20649827353194505,0.6136740977060611,0.16900757148439216,0.44222460297660615,0.19556259947781693,-0.23915129078542852,-0.2905340986986465,0.08441006250663487
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,432,345,87,1000.0,0.5503362216463363,0.5854648333270793,0.7657336001935212,0.5863479464653314,0.8754943544315977,0.9422389578802238,0.8878142537472102,0.4066282566988425,0.647693322802201,0.4195066404025562,432,2160,432,1000.0,0.3708202836225337,0.620177464642696,0.2346268412145498,0.5036948427825032,0.2537084946456906,0.8764554637944937,0.9484496220663862,0.8307864976307113,0.9160478251742284,0.8391436180064338,0.3053782883657683,0.553767488636022,0.30665843147024674
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,432,345,87,1000.0,0.5713325447115679,0.6003340050799391,0.7748678524814663,0.6004201888092394,0.8443750972446494,0.9252418794928402,0.8560725355674434,0.3700991213006022,0.6225963276727712,0.3876261872316207,432,2160,432,1000.0,0.32066658091737343,0.5742764411498262,0.2143421416757535,0.4751956281960669,0.22581088505665467,0.8370361663185831,0.9234079750546887,0.8126060899171859,0.9062028009358615,0.8212035164240006,0.28616280096479674,0.5387307512617201,0.29023082235501735
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,432,345,87,100.0,0.4782432609216711,0.5050796803666038,0.7281838034653455,0.5302516516292569,0.9709735246637903,0.9870260398257525,0.9742204032941081,0.19271812704419577,0.5572149274571511,0.3104884753810781,432,2160,432,100000000.0,0.025820265403116216,0.18007567594571908,-0.08278866943890373,0.05916858040367694,0.0035009209069863825,0.2353726854489957,0.7863667291725303,0.1508455541821475,0.39255149382470067,0.154096675304004,-0.4126196327177394,-0.1704948130474781,0.02906848127609451
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,432,345,87,1000.0,0.5513703403853258,0.5834756267738207,0.7642665195210703,0.5841033128608505,0.8688131612836294,0.9387905791680357,0.8813277515346558,0.3352304243125033,0.6008035227027568,0.36096487289204204,432,2160,432,1000.0,0.2897462576553139,0.5443551457775959,0.20643768400410056,0.46523540574868305,0.21644398276214175,0.8261369317418341,0.9181491080447509,0.8110447094607061,0.9071987170856535,0.8230095122818555,0.2854361345122567,0.5390386464216297,0.2905626623360627
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,432,345,87,1000.0,0.5576497608121039,0.5869317018114485,0.7672518193706576,0.5886753543275841,0.8392833857661657,0.9222681429373198,0.8505785274770526,0.24687530595106055,0.5615980370270888,0.3153923551926794,432,2160,432,100000000.0,0.18371744019272462,0.5174759181607385,0.0019483675095419706,0.2440907779597366,0.059580307884989435,0.509018883239967,0.9023614195183962,0.34537848551638795,0.5903000367734201,0.34845413341470116,-0.24773482847563666,-0.048037768993847575,0.0023076272499062637
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,432,345,87,1000.0,0.5564860334550243,0.5899626217441544,0.7684725015148258,0.5905499855844539,0.8707184181660831,0.9395260080512094,0.8827091198046413,0.36505694538151756,0.6191880339417503,0.38339382137665007,432,2160,432,1000.0,0.30343153542477197,0.5578571736845077,0.22186711334959996,0.47934850592983314,0.22977499013716327,0.829940062091771,0.9199640325167202,0.8149407039372246,0.9091562070200379,0.8265650087630619,0.29533290532400636,0.5487814087483764,0.3011610345878526
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,432,345,87,1000.0,0.4419542829277752,0.47811427858811173,0.6922977460076478,0.47927616912726967,0.8545983895613726,0.9342120143497172,0.8727520877553563,0.4789617287606459,0.7024810723044771,0.49347965694604795,432,2160,432,100000000.0,0.1280815088670857,0.3963836548245237,-0.027688638428595702,0.19695800492962656,0.0387924557058588,0.5382646933255036,0.946739726306819,0.35688879355974557,0.5994252376626789,0.35931061554695903,-0.40103669245494356,-0.038236483240134636,0.001462028650573097
