split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[10.0, 1000000000.0]]","[[0.3387051756822615, 0.4185896852262275]]",0.45110454808107725,0.6729770520401289,0.4528981125726224,0.6776656791972104,0.8303304286532814,0.6894486207475421,0.2950817847703894,0.5715765708124907,0.32669977630176616,,,,,,
1,116739,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.30048621408200954, 0.4241399165135224]]",0.44277992354979767,0.6718064112957305,0.4513238542580482,0.7696103531507446,0.8854013946542564,0.7839356296557023,0.556683287512205,0.7649727452060471,0.5851833009080758,,,,,,
2,26225,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.24598429197548893, 0.3710058544306874]]",0.39211390410374347,0.6331387824750544,0.40086471787399425,0.7612809909886356,0.8834915147616451,0.7805572566558262,0.6610754924494524,0.8178812219498872,0.6689296932182407,,,,,,
3,777572,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.34739335013623984, 0.455789942515403]]",0.4574789905055342,0.6788502624202776,0.46083767878807974,0.7805684788492926,0.8926609708298535,0.7968436088428966,0.5040832516744698,0.715255460748806,0.5115903741309867,,,,,,
4,288389,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.3183510325936217, 0.4266678435604424]]",0.4648174859957592,0.6840105392429503,0.46787041779543165,0.766370039241047,0.8844316615392035,0.7822193639329962,0.6154905315479084,0.7992542178144575,0.6388073046942002,,,,,,
5,256787,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.36442170596123813, 0.46951250069774203]]",0.4806767424455535,0.6945487051155903,0.4823979037777432,0.7906859539202056,0.8977605981008354,0.8059740915023698,0.43018818289970373,0.6776712455171232,0.4592383170007291,,,,,,
6,234053,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.3321674550501533, 0.4062067645586251]]",0.4211777240691913,0.6571523523072191,0.43184921414291144,0.7792626948759575,0.8922554673630172,0.7961198190391963,0.5587342623592796,0.7491101519349965,0.5611660197320736,,,,,,
7,146316,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[100.0, 10.0]]","[[0.4729677224369112, 0.4839547491494409]]",0.484222275853071,0.6968866697678947,0.4856510305001867,0.7907148477972965,0.8978265682344017,0.8060925466275627,0.4734047809744426,0.6963528993701844,0.48490736046126215,,,,,,
8,772246,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[1000.0, 10.0]]","[[0.2918002193302915, 0.4143170625360223]]",0.43375177622381356,0.6614972711240026,0.43757863970450217,0.748785154200751,0.8757689876628593,0.7669713197520294,0.5123303151148153,0.7221545527076838,0.5215071979964349,,,,,,
9,107473,rcf,True,ZMB,2016-2022,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,490,392,98,"[[10.0, 10000.0]]","[[0.39513507605298076, 0.4814652623932716]]",0.5155854077088051,0.7187981899920698,0.5166708379358756,0.6879096359378967,0.838284470684225,0.7027208537903312,0.29336193493617657,0.5775797786315361,0.3335984006840542,,,,,,
