,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,504,403,101,100.0,0.16096217732614987,0.18045252278401958,0.4256190457737629,0.1811515721253685,0.09506217600510336,0.3595718684363255,0.12929192857079017,0.0311248064830828,0.27866870875928906,0.07765624924156947,100000.0,-0.42433059741053025,-0.0872996149634282,-0.3718445446946638,0.13826836541918183
1,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,1.0,0.21734056425774764,0.22856055914325912,0.4912872692466787,0.24136318092385858,0.14843513716733392,0.45827101649803353,0.21001232456214092,0.013648252196784783,0.3551439234921628,0.12612720639340716,1e-05,0.2060671020025465,0.4906174868543821,0.7169213340698924,0.5139761992445543
2,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,True,497,397,100,100.0,0.2599843391409934,0.25745700632334767,0.511568789942918,0.26170262684366136,0.13303331775714577,0.44954561032369894,0.202091255761307,-0.023557884881538094,0.21040262998416492,0.044269266704253414,100000000.0,-0.4355225872951004,-0.10772055995037233,-0.5459703182841912,0.298083588447341
3,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,497,397,100,10.0,0.2744918780964493,0.26996537409237775,0.5503114950805873,0.30284274161783126,0.2198109309682873,0.5804547434048515,0.33692770914119197,0.017603918756952885,0.31930652952107735,0.10195665979479464,0.01,0.3443046736001167,0.6280170402051749,0.7971620892031942,0.6354673964628014
4,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,100.0,0.16235970876880262,0.18197610909244344,0.427333288937935,0.18261373983451262,0.09571429939132281,0.3607508705854269,0.13014119062814342,0.025505882550092895,0.27737634171725645,0.07693763494444822,100000.0,-0.42408759975672755,-0.087103634390302,-0.3699239242842786,0.1368437097578807
5,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,1.0,0.21964747902837897,0.23084433557887596,0.4935647400840557,0.24360615265424146,0.1501494150250584,0.4604486558028417,0.2120129646306438,0.0032039666942071943,0.35593681035672403,0.12669101296691854,1e-05,0.2183477343122569,0.49615823912280355,0.7190663029210235,0.5170563479965091
6,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,100.0,0.17052542543923727,0.20453629687393315,0.4569585207226097,0.2088110896609957,0.08263001850175189,0.34663607948277964,0.12015657159919192,0.003683315587587388,0.16068407403127308,0.025819371647287648,100000000.0,-0.4503670942867508,-0.08452561100612321,-0.5639699445424211,0.3180620983471815
7,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,10.0,0.18492313506769403,0.21404665511725773,0.4905102676366385,0.24060032265696674,0.13389301651106056,0.44061854795576966,0.1941447048026509,0.0377326744842873,0.26303246856258355,0.06918607951812651,1e-08,0.6580088503470969,0.765443252528759,0.8757992872962136,0.7670243916285556
8,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,10.0,0.23664239784992605,0.25219817122583554,0.507959428244742,0.2580227807427252,0.11943377442177272,0.43237335743581806,0.1869467202203217,-0.11172175360010939,0.14782610271170288,0.02185255664293093,100000000.0,-0.4315418844233133,-0.10763634114224807,-0.5458536136096651,0.29795616749072956
9,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,0.1,0.4205578774766988,0.44069907924844653,0.6691496441434738,0.4477612462573376,0.2584033981876419,0.6215331532461389,0.3863034605840884,-0.1021821815963524,0.3225614521905761,0.1040458904392933,1e-05,0.15115859091211734,0.4874939142866025,0.7364236661702246,0.5423198160955944
10,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,100.0,0.29802234206580064,0.30350624380105984,0.5536856965196642,0.30656785053046565,0.11956387370937926,0.42856365739189556,0.18366680843711802,0.034490939268706056,0.29592441582144874,0.0875712598792657,100000000.0,-0.43892942355909376,-0.10902417569207001,-0.5492705654212842,0.3016981540382172
11,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,490,392,98,100.0,0.30620883626949774,0.31150246139629967,0.5602882962447362,0.31392297490882926,0.11796488614464407,0.42569880926706455,0.1812194762113966,0.0390550227648786,0.3046282157554068,0.09279834983432265,100000000.0,-0.4389294033901076,-0.10902416161366357,-0.5492704887337099,0.3016980697937685
12,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,100.0,0.18645283442004007,0.21519730256122893,0.46691721730366204,0.21801168781459515,0.0856258204356719,0.3565822933491907,0.1271509319301683,-0.05779168543198909,0.037023538546021195,0.0013707424064687173,100000000.0,-0.45036088436830735,-0.0845225989556957,-0.5639468588214636,0.31803605957459574
