country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,"[1.0, 100.0]","[0.6279403712633511, 0.6715320949185325]",0.6739499866968321,0.8235255436660691,0.6781943210704947,0.8785814705130618,0.9399690341043315,0.88354178507503,0.6243838204689205,0.8146992575341097,0.6637348802266295,0.02383746097904116,0.4305080792943918,0.1853372063377463
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,"[10.0, 10.0]","[0.6411114488152115, 0.6443418344695454]",0.6471204445190344,0.8045049368880445,0.6472281934772364,0.8007518395503709,0.9005423636317923,0.8109765486955353,0.6695376459455424,0.822396374355667,0.6763357965533464,0.10503655468807938,0.4356024542083199,0.18974949811231143
