country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,384,307,77,10000.0,0.6656579700014437,0.6728698616754042,0.8212021524707649,0.6743729752226174,0.8459690344380332,0.9258435366682098,0.8571862543902988,0.7446834418353099,0.864150935652106,0.7467568395884102,0.4938733107908361,0.704496576398298,0.4963154261569229
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,384,307,77,10000.0,0.6635907545638681,0.6708498430175808,0.8199193825254525,0.6722677938409193,0.8441005146828725,0.924796937145612,0.855249374953905,0.7413613450685286,0.8624198020225894,0.7437679149206823,0.49225173996310667,0.7031771191253191,0.4944580608613832
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,True,282,225,57,1000.0,0.6046981893450821,0.6145025596469166,0.7885338771551894,0.6217856754213953,0.9809671164818319,0.9916321743918024,0.983334369289014,0.7522878253610533,0.8694405158028674,0.7559268105195561,0.8130914645371996,0.9018304002854407,0.8132980708789982
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,False,282,225,57,10000.0,0.6012386273034414,0.6090459021976915,0.7812403264933959,0.6103364477395079,0.8638404887204403,0.9369214081499863,0.8778217250497531,0.6795451607242662,0.8330227087239463,0.6939268332497808,0.6432950252118891,0.8038646570135582,0.6461983867955257
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,288,230,58,1000.0,0.6534255494776925,0.6675121509782218,0.8177063425238978,0.6686436626038101,0.9722162661574203,0.987478669217645,0.9751141221598513,0.8424053796148764,0.9267998078660364,0.8589578838605221,0.8202070731078208,0.9106470044459739,0.8292779667064256
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,288,230,58,10000.0,0.6496945615990022,0.6597235122035534,0.8157263907552993,0.6654095445746673,0.8461270280600566,0.9273021823580726,0.8598893374060441,0.7470704026970131,0.8836448058660872,0.780828142934115,0.5697880684256045,0.7641786923844813,0.5839690738944557
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,True,420,336,84,10000.0,0.6741032573261465,0.6854424936976052,0.8295926971967729,0.6882240432422164,0.8902477389985783,0.9481762960395204,0.8990382883712241,0.6020955974320106,0.7834173601462853,0.6137427601785744,0.6132323242454234,0.7831288094918798,0.6132907322561689
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,False,420,336,84,10000.0,0.6706362416603613,0.6821459704513423,0.8274956239016852,0.6847490075764392,0.8879819655104639,0.9469345237858955,0.8966849923376207,0.5995183583049435,0.7818745380176964,0.6113277932003861,0.6112708069781165,0.7818988942738573,0.6113658808666806
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,True,384,307,77,10000.0,0.5935658091674052,0.6090209374191426,0.7810764160872123,0.6100803677676441,0.8115116777247838,0.9087253994494099,0.8257818516044896,0.6831758988556493,0.8310214509310629,0.690596651907569,0.41603653496259685,0.6450555477738065,0.4160966597137655
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,False,384,307,77,10000.0,0.5903725308584208,0.6059838572840469,0.7790584910102222,0.6069321324151244,0.809044294555781,0.9073011629372978,0.823195400267373,0.6786466374407158,0.828088574180501,0.6857306866882951,0.4132391733740778,0.6429420061717369,0.4133744233001378
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,384,307,77,10000.0,0.6651345353472206,0.6755358819570387,0.8230673581876803,0.6774398761140472,0.8466991109583487,0.9261114969895469,0.8576825048562194,0.7334688801033062,0.8576137003199881,0.7355012589765423,0.47285169440888786,0.6897854514467421,0.47580396902758576
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,384,307,77,10000.0,0.6631335758691578,0.67361857031105,0.821850657957034,0.6754385039844097,0.8450808406830153,0.9252150559195684,0.8560228997002501,0.7304214948152712,0.8558796479340309,0.7325299717476808,0.47156828469878387,0.6886912755975964,0.4742956730842444
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,1000.0,0.6571404844076186,0.6641745904435645,0.8158724983131745,0.665647933503781,0.949962819885992,0.9769761901728673,0.9544824761646906,0.6020273690552678,0.7843856804678297,0.6152608957229803,0.676127428093559,0.8289388011950456,0.6871395361266793
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,1000.0,0.6391533086293355,0.64651379589781,0.8056253603091232,0.6490322211732047,0.9426501105769832,0.9732352725223223,0.947186895681599,0.5641957507919889,0.7629208623792693,0.5820482422535279,0.657233354922981,0.8197794494587244,0.6720383457548492
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,432,345,87,1000.0,0.6538290136444372,0.6666025157942689,0.8167639285318208,0.6671033149507333,0.9176400839737399,0.9613360733498547,0.9241670459237172,0.6433660062185127,0.8070636525973717,0.6513517393438111,0.6184565401263065,0.790400341114573,0.6247326992340334
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,False,432,345,87,1000.0,0.6222839057497611,0.6371196516255683,0.7991222382382821,0.6385963516469617,0.9016274678358042,0.9527842800917795,0.9077978843900105,0.6006784752572412,0.7817911794547543,0.6111974482732558,0.5996073015977188,0.7805628828816287,0.6092784141324792
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,True,384,307,77,10000.0,0.5916270931401045,0.6076036962089886,0.779877953118953,0.6082096217610079,0.8062504153280651,0.9050483465084068,0.8191125095176012,0.6824962800624335,0.8297879825003144,0.688548095901942,0.41926141138442397,0.647533753856332,0.41929996238327283
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,False,384,307,77,10000.0,0.5879813742294443,0.6041457311515119,0.7775956077195544,0.6046549291447431,0.8034001468533983,0.9033786630370197,0.8160930088305532,0.6774877099818178,0.8266491278997873,0.6833487806574788,0.41653715319118134,0.6454765947289274,0.41664003434285196
