,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,reg_param,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,0.1,0.6728531907667823,0.8473194044919604,0.9213527268136624,0.8488908472069713,0.5970418781337088,0.7761148756374174,0.6023543001856839,0.43898368236174157,0.682711887698505,0.46609552160485607
1,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,1.0,0.7657738496956185,0.8921895701805675,0.9458161636854563,0.8945682154886738,0.7909135487682967,0.8903381575063087,0.7927020347117286,0.4862471590187467,0.6978290598328384,0.48696539674718314
2,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,0.1,0.5661870375531256,0.8196137071304032,0.9066463205731118,0.8220075506087617,0.5634724692192932,0.7738788827613144,0.5988885251839002,0.2123547087084695,0.6276523415160756,0.3939474618106124
3,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,648,518,130,0.1,0.7852659645176813,0.9481815845284762,0.9740082060310344,0.948691985415794,0.764734378936339,0.8895868762273578,0.7913648103559483,0.6086561378163339,0.7801731956403564,0.6086702151956858
4,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,0.1,0.5182900099229861,0.7751684940546602,0.8829695385152795,0.7796352059458856,0.6639909614794287,0.8186920163240835,0.6702566175927934,0.2923111973209249,0.5879164820452043,0.34564578986040906
5,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1.0,0.6770007350098708,0.8560718914707673,0.9277046515875201,0.8606359205771221,0.7849759643412078,0.8866415001315124,0.7861331497554588,0.36962346883586006,0.6106929979490872,0.3729459377440438
6,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,False,504,403,101,0.1,0.515480791575091,0.7736427972218626,0.8820947967993239,0.7780912305404405,0.6732001767646075,0.8236921989677588,0.6784688386403419,0.2925597694377503,0.5863264806716939,0.34377874193685426
7,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,True,504,403,101,1.0,0.6779702887743561,0.855361701802125,0.9273005198056873,0.8598862540318979,0.7874350515078778,0.887971950972467,0.7884941857138492,0.36881325748465177,0.6096786252214434,0.3717080260519093
8,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,False,504,403,101,1.0,0.3788083340361351,0.7455043409514923,0.8655810921501468,0.7492306270878409,0.364543567289073,0.6244210013511139,0.38990158692832777,0.2870682214435377,0.639775548464227,0.4093127524127025
9,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,True,504,403,101,1.0,0.677793448334344,0.9103356876923668,0.9564436350554445,0.9147844270380723,0.7941229432930386,0.8926405746213678,0.7968071954603657,0.5720391761767656,0.7581318734511554,0.5747639375425587
