country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,384,307,77,"[[10.0, 10.0]]","[[0.6856627947442387, 0.6930515158402655]]",0.708241446821446,0.8416314321177125,0.7083434675285117,0.9241053058717928,0.9643527198865876,0.9299761683526592,0.7399354072892723,0.8619272332072362,0.7429185553442813,0.09518909570618772,0.4466436071247353,0.19949051178539487
ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,384,307,77,"[[10.0, 10.0]]","[[0.6806721301543106, 0.6948636700637574]]",0.709851675564607,0.8425810918808798,0.7099428963951756,0.924436145709147,0.964470543848421,0.930203429951269,0.7431293524040854,0.8635407052031828,0.7457025495428103,0.08770839260714658,0.44218903688512723,0.1955311443413964
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,282,225,57,"[[1.0, 10.0]]","[[0.6254739453507907, 0.625778666308564]]",0.6317116588141849,0.7992233751930282,0.6387580034549359,0.9938744431154917,0.9973301831638026,0.994667494249544,0.7523207619131365,0.8674186672936244,0.7524151443694475,-0.18083925773481702,0.3059415713456473,0.0936002450774438
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,282,225,57,"[[1.0, 10.0]]","[[0.6253334023575023, 0.6274044809507279]]",0.635003568412655,0.8017925866415324,0.6428713519933192,0.994548070881184,0.997640219701321,0.9952860079657,0.7489788320482316,0.865898119072161,0.7497795526127062,-0.1550628755932999,0.3284212005293158,0.10786048495711704
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,False,276,220,56,"[[1.0, 10.0]]","[[0.6031889896117553, 0.6065385417390491]]",0.6380633425484425,0.8040529775514015,0.6465011907092746,0.9937683054201452,0.997290041653121,0.9945874271804838,0.7036834869912589,0.8454309690350473,0.7147535234035391,-0.2579977274564471,0.3149239058539811,0.09917706647832716
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,276,220,56,"[[1.0, 1.0]]","[[0.6272300324764641, 0.6272300324764641]]",0.6531018029876352,0.8132336522861052,0.6613489732105979,0.9982105734481616,0.9992180901148556,0.9984367916127798,0.7275346825664288,0.8568103207444704,0.7341239257342422,-0.21951173884222586,0.3457424622663111,0.11953785021397156
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,288,230,58,"[[100.0, 10.0]]","[[0.5781443710646299, 0.6172397784741624]]",0.6289381717157541,0.7932550888539008,0.6292536359926101,0.8590752271112125,0.9334745454812134,0.871374727061358,0.7163449980848322,0.8554612758070383,0.7318139944054057,-0.02999598811036308,0.3256525675115347,0.10604959472685467
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,288,230,58,"[[10.0, 100.0]]","[[0.543357801468313, 0.6035159668933864]]",0.607964312744582,0.7803624190227979,0.6089655050231129,0.9130233865421259,0.9604032108531495,0.9223743274170392,0.718525977510651,0.8496866328814081,0.7219673740973448,-0.16828461646293547,0.24610439325647074,0.0605673723801356
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,288,230,58,"[[100.0, 1.0]]","[[0.6125710616995792, 0.6125710616995792]]",0.6267308677959769,0.7942754985768004,0.6308735676394248,0.9469070232501048,0.9750032988614029,0.9506314327906181,0.6894262570168155,0.8336161538911963,0.6949158920283506,-0.21901951419361043,0.317853637731195,0.10103093501895376
ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,288,230,58,"[[1.0, 10.0]]","[[0.5407369493667484, 0.5591203323814878]]",0.571586322321919,0.7666574426701565,0.5877636344015442,0.9904917555052918,0.9957464982071349,0.9915110886917717,0.7524489925980634,0.8700208210424731,0.7569362290474191,-0.3734967840879402,0.23229671590988502,0.053961764222517826
