,country,satellite,bands,num_features,points,month_range,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,val_R2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_R2,demean_r,demean_r2
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,False,845,676,169,0.499888784347046,0.7277497531384531,0.8560063300026015,0.7327468370045227,0.4438600016975477,0.690586054874744,0.47690909918746294,0.304664286905032,0.559249035755719,0.3127594839937015
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,False,True,845,676,169,0.5486046498380759,0.7711762852996893,0.8818562758623901,0.7776704912778839,0.4876518933136509,0.7149839152478706,0.5112019990631743,0.3428366163906432,0.5871931229034157,0.3447957635850659
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,False,845,676,169,0.5080508912705921,0.7174784406153429,0.8501114107888582,0.7226894107534229,0.5773221034274835,0.7610012263917839,0.5791228665697992,0.3307851866253355,0.5757955970467553,0.3315405695784294
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",False,True,True,845,676,169,0.5647599799549614,0.7621981804520181,0.8768806624863901,0.7689196962425704,0.6041905554351376,0.7781858587473895,0.6055732307544122,0.3620789399887976,0.6018414759031937,0.3622131621173345
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",True,False,False,845,676,169,0.499888784347046,0.7277497531384531,0.8560063300026015,0.7327468370045227,0.4438600016975477,0.690586054874744,0.47690909918746294,0.304664286905032,0.559249035755719,0.3127594839937015
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",True,False,True,845,676,169,0.5486046498380759,0.7711762852996893,0.8818562758623901,0.7776704912778839,0.4876518933136509,0.7149839152478706,0.5112019990631743,0.3428366163906432,0.5871931229034157,0.3447957635850659
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",True,True,False,845,676,169,0.5080508912705921,0.7174784406153429,0.8501114107888582,0.7226894107534229,0.5773221034274835,0.7610012263917839,0.5791228665697992,0.3307851866253355,0.5757955970467553,0.3315405695784294
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,18400,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",True,True,True,845,676,169,0.5647599799549614,0.7621981804520181,0.8768806624863901,0.7689196962425704,0.6041905554351376,0.7781858587473895,0.6055732307544122,0.3620789399887976,0.6018414759031937,0.3622131621173345
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",False,False,False,935,748,187,0.507368008508893,0.8223611256646004,0.9089642025257482,0.8262159214732693,0.5028211525568562,0.7197848524061305,0.5180902337533151,0.46503343617892956,0.6849522171041474,0.46915953971588714
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",False,False,True,935,748,187,0.6075323862794191,0.7982947121012565,0.8952316249251878,0.8014396622661921,0.6326798754219902,0.7996511962171321,0.6394420356114903,0.4164042634497921,0.6465875356062964,0.4180754412014237
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",False,True,False,935,748,187,0.45631024634398826,0.6780390559862297,0.8266430755708378,0.6833387743892139,0.5557116622654117,0.7506279724846326,0.5634423530763905,0.33366321281966105,0.5844849292344475,0.3416226325021971
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",False,True,True,935,748,187,0.5865214885344315,0.7947427779700791,0.8935740564878218,0.798474594428101,0.6456411223044338,0.8106081072112294,0.657085503476572,0.41722838450682664,0.6461074793555959,0.41745487487924177
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",True,False,False,935,748,187,0.507368008508893,0.8223611256646004,0.9089642025257482,0.8262159214732693,0.5028211525568562,0.7197848524061305,0.5180902337533151,0.46503343617892956,0.6849522171041474,0.46915953971588714
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",True,False,True,935,748,187,0.6075323862794191,0.7982947121012565,0.8952316249251878,0.8014396622661921,0.6326798754219902,0.7996511962171321,0.6394420356114903,0.4164042634497921,0.6465875356062964,0.4180754412014237
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",True,True,False,935,748,187,0.45631024634398826,0.6780390559862297,0.8266430755708378,0.6833387743892139,0.5557116622654117,0.7506279724846326,0.5634423530763905,0.33366321281966105,0.5844849292344475,0.3416226325021971
0,ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,19030,"[4, 5, 6, 7, 8, 9]",True,True,True,935,748,187,0.5865214885344315,0.7947427779700791,0.8935740564878218,0.798474594428101,0.6456411223044338,0.8106081072112294,0.657085503476572,0.41722838450682664,0.6461074793555959,0.41745487487924177
