country,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,432,345,87,1000.0,0.4387709790147872,0.47946756162878434,0.6938760430987393,0.48146396318636353,0.8452142990189595,0.9304699353725939,0.8657743006322791,0.3396553236026807,0.6045421314820144,0.3654711887368172
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,432,345,87,1000.0,0.5806040261715624,0.6087582124547233,0.7804614158309102,0.6091200216007889,0.874720509616402,0.9415594737100106,0.8865342425330721,0.45535775785691757,0.6779192543275202,0.459574515387981
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,288,230,58,100.0,0.501756850522843,0.5379024437674229,0.7429428621970254,0.5519640964895083,0.9963047876370947,0.998571747092733,0.9971455340918332,0.7817968944869702,0.8851101158761993,0.7834199172263788
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,288,230,58,1000.0,0.475116620024465,0.5137311266037117,0.7168126905271669,0.513820433300796,0.9251753140463649,0.9694365132394814,0.9398071532019233,0.6575482930088666,0.8136606398525871,0.6620436368453214
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,False,288,230,58,100.0,0.47543071183934965,0.5178624441159506,0.7381098731842333,0.5448061848920449,0.9935485409571144,0.9973695741229394,0.9947460673861734,0.6344608278305474,0.8049008375527757,0.6478653582931599
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,432,345,87,1000.0,0.48369211252402505,0.5097800687024339,0.7155947392491504,0.5120758308410596,0.874886650157763,0.9440099567807174,0.891154798501132,0.419055955787617,0.6546743833637843,0.4285985482327512
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,282,225,57,1000.0,0.5404452445513573,0.5606750212786398,0.7499185492655622,0.5623778305325655,0.9373727984880956,0.97263931971591,0.9460272462574282,0.5273009941456648,0.7322350638982656,0.5361681888020972
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,648,518,130,1000.0,0.39393979473264523,0.4242238450966219,0.6544412061169933,0.4282932922638649,0.8253783271377744,0.917711729929433,0.8421948192500724,0.27637104699019777,0.5449263549030665,0.2969447322679428
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,True,426,340,86,1000.0,0.5826719268035995,0.5997996102164121,0.7753386906545867,0.6011500852259689,0.9308881871752432,0.9691743877488115,0.9392989938682836,0.5443102396853021,0.7488840616480144,0.5608273377904269
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,426,340,86,1000.0,0.5231290403350413,0.5490551711132914,0.7419340125985083,0.5504660790505235,0.9035795712942647,0.9549258415292156,0.9118833628202805,0.4783622294173755,0.6971849447803199,0.4860668472283377
