variables,random_state,year_start,hot_encode,anomaly,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
pre,670487,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32605299437170937, 0.5915969474212787]",0.5923922640707551,0.7699401019969462,0.5928077606630678,0.6882504891586824,0.8304960451204172,0.6897236809606541,0.5052257278094803,0.7122696310418053,0.5073280273044295,-0.08125014700874367,0.1374639395909238,0.018896334687857144,0.06101512642896778,0.2676099173079963,0.07161506784159263
pre,116739,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3230651368660741, 0.568903471601985]",0.5720917707756494,0.7567730048331749,0.5727053808442325,0.6621482759773849,0.8146243163584502,0.6636127768024724,0.6358925252180699,0.7977229497663064,0.636361904583857,-0.06003355350354944,0.15204690624054198,0.023118261697320164,-0.012841047646325876,0.20077360476468342,0.04031004037020531
pre,256787,2009,True,False,936,748,188,"[0.01, 0.001]","[0.316214295918939, 0.5519145308962885]",0.5561294773271581,0.7468481257058908,0.557782122870402,0.6641636028337481,0.8158454725121372,0.6656038350185525,0.5966609503655329,0.7761971701716722,0.6024820469825118,-0.11601549523146493,0.10307440546554403,0.010624333062075372,0.015910134741430326,0.21630555770706836,0.04678809429496588
pre,709570,2009,True,False,936,748,188,"[0.01, 0.001]","[0.34071000856908346, 0.5596416069557559]",0.5676678891866687,0.7536889746468142,0.5680470705041661,0.6563388970105537,0.8110571315205578,0.6578136705903554,0.6560650923443632,0.812039263652759,0.6594077657137151,-0.04961548350694156,0.162858844613742,0.026523003268922964,-0.07326108453678826,0.17948101513996048,0.03221343479567072
pre,146316,2009,True,False,936,748,188,"[0.01, 0.001]","[0.2718998176875954, 0.5290086272652292]",0.5517710037499235,0.7435435357902106,0.5528569896154082,0.6614441677239511,0.8142732481505269,0.6630409226536096,0.6199197059347515,0.7880941712289662,0.621092422725071,-0.12707947531368924,0.061464300561268365,0.0037778602434859346,0.16684885328730503,0.40847141155190403,0.16684889405520495
pre,26225,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.3391217184445704, 0.5951460537251794]",0.5977657874901582,0.7747283695095742,0.6002040465229634,0.6850516310859134,0.8277221280296035,0.6851239212298554,0.5502029193182185,0.7429753912455208,0.5520124319964347,-0.08065736012642555,0.10261772430943157,0.010530397342446504,0.10038084587317231,0.3226260694095938,0.10408758066268405
pre,288389,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.3098979487029775, 0.5905825219912796]",0.591873472479056,0.7710754358635046,0.5945573277920936,0.6914852670218388,0.8315931574399285,0.6915471795009096,0.520784736135778,0.7292824767233947,0.5318529308558088,-0.1512999222496818,-0.0002452564603871004,6.015073136160936e-08,0.20286622289439604,0.5012447447728803,0.2512462941624299
pre,619176,2009,True,False,936,748,188,"[0.01, 0.001]","[0.29673987543894864, 0.5547747402795468]",0.5588966713627717,0.7480915823877489,0.559641015639406,0.6563312436492119,0.8112398641701339,0.6581101172187773,0.6584151059173127,0.8151064591863117,0.6643985398072465,-0.10401285120085713,0.09105039685339304,0.008290174767160366,0.0446070769358663,0.2784728585635315,0.07754713295654461
pre,777572,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3479038976799191, 0.583226408569302]",0.5841233897763105,0.7644267516443463,0.584348258629527,0.6624853409607726,0.8148362488382295,0.663958112420757,0.6177368271048174,0.7897974967955097,0.6237800859444531,-0.041402884150938846,0.17106318364173237,0.029262612797645055,0.06213081206467308,0.29504651437747803,0.08705244564629935
pre,234053,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32194432314034327, 0.5778940230880338]",0.5776434604836667,0.7604143120358012,0.5782299259488809,0.670631889130568,0.8199088860541919,0.6722505814306258,0.5997700398237823,0.7748022541374521,0.6003185330164769,-0.11768229502743188,0.05986128914240253,0.0035833739377903193,0.1738649788842911,0.41754959219424037,0.17434766194157644
pre,772246,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3194209120325134, 0.5621952072810799]",0.5618191629387954,0.7503531809619937,0.5630298961797824,0.6642551839759112,0.8160491228156548,0.6659361708481997,0.606295913364796,0.7805024805914738,0.6091841222094438,-0.09805233168675076,0.11177350571418428,0.012493316579638786,0.07620290602795898,0.29924227351955995,0.08954593826115513
pre,107473,2009,True,False,936,748,188,"[0.01, 0.001]","[0.34358075791869647, 0.5837179698783437]",0.5861822063353916,0.7660749388517757,0.5868708119367518,0.6742008178835264,0.8220680343772597,0.6757958531448914,0.57384756531154,0.7605386740663059,0.5784190747505348,-0.07866953317218095,0.1224967318963672,0.015005449325290465,0.08793038229225991,0.32309503783443877,0.10439040347323741
pre,571858,2009,True,False,936,748,188,"[0.01, 0.001]","[0.33613440009136697, 0.5641216758192171]",0.5693692945513964,0.7548984090993128,0.5698716080606735,0.6594203331550175,0.8130308532779345,0.6610191683818462,0.6405213333394617,0.8005754690616184,0.6409210816632303,-0.07330159549118398,0.12734779413186256,0.01621746067025125,0.09974423187997217,0.31768455680005026,0.10092347762924436
pre,776646,2009,True,False,936,748,188,"[0.01, 0.001]","[0.34573545043154585, 0.5903464070884812]",0.5927685364116753,0.7704280705127726,0.5935594118340337,0.6770730331893974,0.8236988785235728,0.6784798424809916,0.5587058930767483,0.7477945485456599,0.5591966868346072,-0.06365080317215299,0.14561943168219213,0.021205018883444622,0.05128571198614729,0.25655146484258945,0.0658186541128784
pre,91161,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.34858363639910184, 0.580857273476056]",0.5806935984448067,0.7636784811313362,0.5832048225430646,0.6772446372016135,0.8229912235764876,0.6773145540839242,0.5718046566768433,0.7627871148355283,0.5818441825591094,-0.10538179470128362,0.07972136714707395,0.006355496379798562,0.11676253407920423,0.34217986552015,0.11708706036738795
pre,935518,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3152515813151845, 0.5681803108017464]",0.5708725091564328,0.7562603433398245,0.5719297069084692,0.665402611505735,0.8167507923320126,0.6670818567749704,0.6190043465154365,0.7919416580270795,0.6271715897186797,-0.1316604622014763,0.04321315001616223,0.0018673763343193418,0.19092690384121502,0.4539885462677748,0.20610560014232748
pre,442417,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3381964622709849, 0.6085411512282188]",0.6125713066874268,0.7828013605368737,0.6127779700583804,0.6921836103212815,0.8328937720243076,0.6937120354768792,0.5053269351847304,0.7147295262956977,0.5108382957588725,-0.08420405082462645,0.11094577334090816,0.012308964622212168,0.10161225766915605,0.31889465978767984,0.10169380404110007
pre,33326,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3353544154757997, 0.5988923315867035]",0.6034223969215211,0.7769415592048586,0.6036381864196768,0.6941500358553443,0.8340182447100036,0.6955864325091555,0.44518168732307384,0.6815737900942445,0.4645428313434332,-0.09665210260664225,0.10637978090536061,0.011316657785472526,0.1191350926727317,0.34516105951521625,0.11913615700566665
pre,31244,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32579616628533303, 0.5976908029678889]",0.599576653695507,0.7746470380507602,0.6000780335608159,0.6818471410809405,0.82667246401017,0.6833873627526459,0.5431100028710174,0.7383010736161563,0.545088475302769,-0.11135579437137344,0.06299312430710369,0.003968133709970218,0.2180770426430625,0.4975961269728712,0.24760190557840175
pre,98246,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3008372743944318, 0.566545471163451]",0.5630000644726559,0.7509770563010305,0.5639665390905612,0.654778118658339,0.8102068010452416,0.6564350604599637,0.6425583477932222,0.8057902876630504,0.6492979876921015,-0.1276761323354645,0.030571572283074725,0.0009346210318592628,0.20775679864505725,0.48412246016860205,0.23437455643969968
pre,529903,2009,True,False,936,748,188,"[0.01, 0.001]","[0.309631181806595, 0.5456861705545826]",0.5509000183443491,0.743020455187792,0.5520793968274736,0.657271787277272,0.8117131635701431,0.6588782599130499,0.6514441582980185,0.8147307332155377,0.6637861676459277,-0.11281484233871919,0.07837701188590136,0.006142955992162724,0.10444374334714002,0.35208823036227893,0.1239661219596412
pre,229258,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.34216729916036687, 0.5919532571038261]",0.5948735011413897,0.7727670209371994,0.597168868648154,0.685783070188279,0.8281588564182747,0.6858470914640246,0.5290713324289118,0.7400451398370651,0.5476668089964613,-0.10230541363744106,0.07270589524040678,0.0052861472027090056,0.1366866686612218,0.37029796490929257,0.13712058281596368
pre,243962,2009,True,False,936,748,188,"[0.01, 0.001]","[0.33522290768456553, 0.5958403965011023]",0.5983905992006515,0.7737839076039479,0.598741535666835,0.683940860701403,0.827893883391396,0.6854082821568864,0.5083349844826602,0.7219282382319675,0.5211803811567124,-0.029211052155672546,0.2036934647862166,0.04149102759661367,-0.11792899310016591,0.06367439107813207,0.004054428079170905
pre,208496,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3343400295070615, 0.6105542902085433]",0.6122510095121806,0.7825641023193014,0.6124065742388141,0.6823428516407828,0.8269735017074505,0.6838851725262827,0.5482475554785793,0.7431488478847538,0.5522702101124369,-0.050688660177795164,0.14693216459412448,0.021589060992314887,0.09817553968063197,0.31574681523039133,0.09969605132813489
pre,631262,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.30739946027168996, 0.5680051665238259]",0.5696815750793595,0.7576835226605647,0.5740843205113225,0.6670275201216334,0.8167535593485139,0.6670863767084664,0.629684128744087,0.7988755188296475,0.6382020945853384,-0.10560920147763819,0.07933196732408171,0.006293561039509168,0.17114060025519473,0.4256329023528934,0.1811633675653477
pre,27824,2009,True,False,936,748,188,"[0.01, 0.001]","[0.33571723884259164, 0.5896382492379131]",0.5946638489511006,0.771640805218677,0.5954295322785281,0.688149594834691,0.8304808278215191,0.6896984053791156,0.5198258091376735,0.7236635340566663,0.5236889105233838,-0.09355533527260884,0.12305283113394157,0.01514199925007834,-0.07479818179106568,0.0572071031675531,0.003272652652823064
pre,588508,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32491904921041137, 0.5549416848639671]",0.5640516204974536,0.7518408834318442,0.5652647139995759,0.6679250646814585,0.8182206284626434,0.6694849968418032,0.6080217916953017,0.7833000996615428,0.6135590461297828,-0.08289906487160681,0.1519204997210804,0.023079838235502793,-0.02361482328165576,0.18014659419144952,0.032452795398778794
pre,750800,2009,True,False,936,748,188,"[0.01, 0.001]","[0.34081447819134947, 0.6000687139453287]",0.5966037783166322,0.7726071834522568,0.5969218599220292,0.6795457073303327,0.8252417588295291,0.6810239605160546,0.5399755586087072,0.7447490067421703,0.5546510830434491,-0.049303681740590966,0.16506742004553415,0.02724725316048881,0.012820279815835667,0.2168314178480625,0.04701586376600108
pre,681453,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3163900351055223, 0.5605280598543205]",0.5607407623363538,0.7494392418314639,0.5616591771969195,0.6607685999449812,0.8139033698290236,0.6624386954190403,0.6321717923745453,0.7950983540724306,0.6321813926486882,-0.111734416168346,0.08146084366801806,0.006635869051105279,0.033596051421424744,0.2557572602292573,0.06541177615997605
pre,439898,2009,True,False,936,748,188,"[0.01, 0.001]","[0.30698498769177085, 0.5928994769878226]",0.5916619611368652,0.7696345270281187,0.592337305193796,0.6826838702244209,0.8272073557013786,0.6842720093264671,0.5447770371033576,0.7411147507605216,0.5492510737948301,-0.11468707340526474,0.06878269320472397,0.00473105888449518,0.17757512475196235,0.4334393433422879,0.18786966435699373
pre,735392,2009,True,False,936,748,188,"[0.01, 0.001]","[0.34227089523386345, 0.5902227303885279]",0.5981989207393876,0.7737037737007298,0.5986175294387501,0.6892186992800143,0.8311549158587273,0.690818494156128,0.5254467042827571,0.7314002354011223,0.5349463043448172,-0.11015731442732224,0.09088602732797033,0.008260269963460569,0.10451984563211103,0.3243720301453298,0.10521721394060274
pre,571412,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3639763239919095, 0.6128272372656147]",0.6129086295308257,0.783206972095795,0.6134131611394634,0.699126759726315,0.837003898615313,0.7005755262972332,0.4475592676674658,0.6859803837657764,0.4705690869114419,-0.0863502029295875,0.13207965207526057,0.017445034492321883,0.041385855041687014,0.24421527253818368,0.05964109934089933
pre,231148,2009,True,False,936,748,188,"[0.01, 0.001]","[0.30456544983260647, 0.5697259202699232]",0.5670166457758568,0.7536711715244377,0.5680202347870185,0.6700513777442938,0.8195879703207655,0.6717244410945119,0.5867354135451015,0.7668951026754274,0.5881280985075543,-0.11301430225479936,0.09382890431057188,0.008803863284122453,0.1534380928968796,0.39184825881396723,0.15354505793553785
pre,617889,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.3109028323828544, 0.5833165267418492]",0.5942360737579941,0.7719638940107294,0.5959282536562086,0.6743431544734545,0.8212251709499351,0.6744107814017501,0.5982266492387704,0.773828096238651,0.598809922528335,-0.04769370630868397,0.14543392465721589,0.021151026441200746,0.11463874253179895,0.3488253148583268,0.12167910028601082
pre,471029,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32989067215183737, 0.5882094093262344]",0.5905732410731737,0.7686367580319149,0.5908024657978125,0.6722132144506359,0.8208941090817425,0.6738671383251078,0.6001279680579834,0.7749816135603328,0.6005965013565769,-0.047156268336889795,0.16482617939417438,0.027167669413680554,0.06719078920881538,0.2710464031835102,0.07346615267871796
pre,848749,2009,True,False,936,748,188,"[0.01, 0.001]","[0.33173656432758564, 0.5725422189845373]",0.5718744442923211,0.7565334480526279,0.5723428580223983,0.6655263717067982,0.8167501512775434,0.66708080961189,0.6100880685609068,0.7815912255695193,0.6108848438872633,-0.07017028260162306,0.13534455139944288,0.018318147593516434,0.05831108071368829,0.29380208866429147,0.08631966730350019
pre,291704,2009,True,False,936,748,188,"[0.01, 0.001]","[0.29912214008739346, 0.5358163567510548]",0.5462575484908463,0.739569108379461,0.546962466069191,0.6541012833092682,0.809816470787206,0.6558027163582456,0.6669702065716054,0.81856827565983,0.6700540219167075,-0.1276854873701736,0.0611243579633213,0.0037361871364282404,0.24339976784615946,0.5002520498629801,0.25025211339211356
pre,911527,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32118978254640945, 0.5797818000579869]",0.5862504177946595,0.7657646349210483,0.5863954760957664,0.6712133982285758,0.8202669809446416,0.672837920028037,0.590779253979323,0.7696248714522763,0.5923224427579329,-0.10048112591376857,0.06374213824744586,0.0040630601883565,0.2166669680639972,0.48288039801094884,0.23317347878321237
pre,6814,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32261956986128293, 0.5653754784740014]",0.5754179020916872,0.7591332351904945,0.5762832687707866,0.6673762888802042,0.8178681369927836,0.6689082895080466,0.6056669397170205,0.779223396982216,0.6071891024045042,-0.09258648089159416,0.10911925635000931,0.011907012106379048,0.11304876503782879,0.336846698738185,0.11346569845081357
pre,795667,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3110457779917613, 0.5678610094819223]",0.567678446387671,0.7538047284741598,0.5682215686700017,0.661973135206978,0.8145830191209938,0.6635454950402734,0.6341177456228579,0.7986739531452147,0.6378800834326046,-0.1004088330489592,0.0859141598332945,0.007381242859860875,0.2635082624743508,0.5286005564906351,0.2794185483222091
pre,443143,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.304622068355758, 0.547680438063707]",0.5585875921257044,0.7499196597494237,0.5623794960786913,0.6631691738057464,0.814395350182001,0.6632397863980641,0.6611480776676552,0.8196382057837229,0.6718067883803606,-0.12481149091059374,0.05322130982861265,0.0028325078198731817,0.19111390020788654,0.437168124400608,0.19111596899194547
pre,844962,2009,True,False,936,748,188,"[0.01, 0.0001]","[0.31654304973839487, 0.5821798543106638]",0.5879203913807005,0.7680319590661567,0.5898730901469986,0.6763534828198878,0.8224509003566352,0.6764254834974398,0.5935363377906011,0.7721631747545002,0.5962359684469489,-0.09953672702729577,0.05972250626045666,0.0035667777540302845,0.14109662765888298,0.38174129554692304,0.14572641672584324
pre,356778,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3117053431681079, 0.5497807161182118]",0.5534195116478381,0.7449275314872645,0.5549170271677095,0.659414071404298,0.8129785775049425,0.6609341674819598,0.6383470365970689,0.8057077630739693,0.6491649994776595,-0.10474672180709144,0.10501337932313663,0.01102780983686498,0.09536244281855966,0.3237662371539121,0.10482457632080326
pre,732052,2009,True,False,936,748,188,"[0.01, 0.001]","[0.336923898681216, 0.5722021543660885]",0.5738563602376844,0.7583559390195598,0.5751037302462383,0.6715540305169247,0.8203998260601099,0.6730558745994585,0.5827213079667426,0.7643304528327123,0.584201041127459,-0.10397581342187867,0.10458218020453175,0.010937432416333152,0.13870986766061488,0.3724496282167968,0.13871872555883014
pre,167414,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32775965089892534, 0.55456528768113]",0.5532814083916264,0.7444597614044254,0.554220336350334,0.6536010837593716,0.809319601828382,0.6549982179036509,0.6528728573730234,0.8095274781846613,0.6553347379360173,-0.08486712415979625,0.1273333959683758,0.016213793728839184,-0.03430365731666951,0.1803000510711487,0.03250810841625883
pre,291369,2009,True,False,936,748,188,"[0.01, 0.001]","[0.30760541859381874, 0.5298677871662554]",0.534441161297394,0.7328312839297048,0.5370416907060596,0.6498002183019558,0.8069882387313132,0.651230017450667,0.6724465779224267,0.8233227776046242,0.6778603961225935,-0.15182242948760916,0.0327340531697524,0.001071518236920177,0.2147849778671571,0.47518540243749974,0.22580116668968858
pre,163032,2009,True,False,936,748,188,"[0.01, 0.001]","[0.33099950024582225, 0.5673939631246693]",0.5708772763500698,0.7560296291974253,0.5715808002243965,0.6664132711853916,0.8172825798377531,0.6679508153062532,0.6113240994009442,0.7832465116271876,0.6134750979761582,-0.08302411945937371,0.13437820005071346,0.01805750064886957,0.07873268463831506,0.3149275345292816,0.09917935200469187
pre,225772,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3210666327849651, 0.5828179329380415]",0.5889281570101903,0.7676163200670901,0.5892348148333414,0.6746421148327542,0.8224219761480843,0.6763779068513202,0.585959481653685,0.7697649444151873,0.5925380696505164,-0.08618070040197479,0.09737045548214149,0.009481005600799697,0.14503992624893014,0.3817741409405295,0.1457514946908793
pre,352944,2009,True,False,936,748,188,"[0.01, 0.001]","[0.35210818418336487, 0.560676764060364]",0.5607411067647441,0.7499821143377552,0.5624731718265297,0.6651589552891323,0.8165348045115824,0.6667290869787682,0.6106362034445754,0.784011596134615,0.6146741828735467,-0.15731524197076951,0.015423639206814402,0.0002378886463819824,0.19906304917798523,0.4551090867388802,0.20712428083229756
pre,800581,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3080869430505831, 0.576534903588354]",0.5858275141558152,0.7657076569986404,0.5863082159863475,0.6788810229222069,0.8249839941049466,0.6805985905293506,0.5761309676255119,0.761197314259982,0.5794213512366099,-0.11411710847211753,0.07578323872736512,0.005743099272008812,0.2039748338266314,0.4576966257471667,0.20948620122034198
pre,398382,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3408871878313137, 0.5823059931894358]",0.5819191338629057,0.763160744366151,0.5824143217414977,0.6660856200917441,0.8171139859830605,0.6676752660891252,0.6114634905756708,0.7832101029235281,0.6134180653214835,-0.06446871241403396,0.13822959598223447,0.019107421205411774,0.07291273251522246,0.29040849233294447,0.08433709241909386
pre,107175,2009,True,False,936,748,188,"[0.01, 0.001]","[0.31256782919695375, 0.5739127819801654]",0.5736298371857123,0.7579430063146322,0.5744776008212625,0.6684110761316852,0.8185546980854335,0.6700317937577351,0.6035729912771194,0.7805682065268944,0.6092867250406124,-0.10219058612836207,0.1035681937470135,0.010726370756018925,0.07490687704454724,0.2914258826001974,0.08492904504930404
pre,97251,2009,True,False,936,748,188,"[0.01, 0.001]","[0.31901119568233044, 0.5623898636163209]",0.5631447455254645,0.7507646022447799,0.5636474879837626,0.6617138207174126,0.8145000726322931,0.6634103683180107,0.6405128339935159,0.80055117114415,0.6408821776202701,-0.09826766917616214,0.09418601405728738,0.008871005243999537,0.07007894891991517,0.2995833275434493,0.08975017014200562
pre,376417,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3295507146757153, 0.5925205740642239]",0.5965107037859867,0.7724942307579181,0.5967473365542677,0.6796093957331835,0.8254389032026254,0.6813493829203531,0.5673410038820046,0.7535063297659563,0.5677717889973621,-0.06252182205471613,0.1448690663797356,0.020987046393736237,0.12662203627844637,0.35884032660511606,0.12876637999806637
pre,101414,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3190017810844096, 0.5914200272494613]",0.606722290401097,0.7790261653646128,0.606881766322693,0.6843733879734841,0.828323902466448,0.6861204873972457,0.5496233875081742,0.7433460565944628,0.5525633598545383,-0.057317956849558094,0.14592221925524612,0.021293294072376123,0.04771592648380929,0.25507471499008805,0.06506311022727465
pre,888662,2009,True,False,936,748,188,"[0.01, 0.001]","[0.30364769607797404, 0.5873821580209467]",0.5910981941275728,0.7689746546107092,0.5913220194336596,0.6682660943664982,0.818407841616967,0.6697913952201425,0.5997564029418196,0.776791753619642,0.6034054284914786,-0.06142284288968414,0.1270909022429852,0.016152097432936018,0.13747852842986907,0.37080660450430003,0.13749753794400837
pre,360663,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3364167670833277, 0.5565191539389389]",0.5609250126744935,0.7500024387697906,0.5625036581606334,0.6613413954937645,0.8141936205630879,0.6629112517656295,0.646377643667521,0.8146418206251275,0.6636412959114224,-0.10360881453844417,0.1066388553165251,0.011371845463218774,0.1556541506238237,0.39605879477579786,0.15686256891925757
pre,277370,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3181557208166217, 0.5640433188301459]",0.57928298673612,0.7613993433543222,0.5797289600603931,0.6762334834231258,0.823306627128549,0.6778338022737875,0.580131502785968,0.7629288830420986,0.5820604805798641,-0.10056964079479958,0.10360606217526157,0.010734216119464166,0.10948104085687638,0.3316145840034863,0.10996823232380527
pre,633052,2009,True,False,936,748,188,"[0.1, 0.001]","[0.3153936504458153, 0.5509782678291323]",0.5576166731611216,0.7467716940359252,0.5576679630132856,0.6564988478705787,0.8122477641903644,0.6597464304322458,0.6322629914842994,0.7960820209027122,0.6337465840045463,-0.11687015663376399,-0.01710987049126253,0.0002927476682277763,0.08514343848916284,0.2923901424372574,0.08549199539447969
pre,846335,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3291329754775389, 0.5787402379713533]",0.5772295309832118,0.7599677340435904,0.5775509567873494,0.6669944287287015,0.8176314820261407,0.6685212404002632,0.5917728963035636,0.7709711436508168,0.5943965043422483,-0.05044227727348716,0.16462961100002954,0.02710290881802105,0.04844148105473289,0.26622964506735547,0.07087822391269007
pre,765179,2009,True,False,936,748,188,"[0.01, 0.001]","[0.34744451322608805, 0.590664608908646]",0.5928130784232954,0.7704250882846511,0.5935548166584124,0.684662486326546,0.8282973272442489,0.6860764623199663,0.5214765635168503,0.7255970035421914,0.5264910115494069,-0.08782100681367,0.12944336032024925,0.01675558353099788,0.10756119497140637,0.32840899624288683,0.10785246881326045
pre,562275,2009,True,False,936,748,188,"[0.01, 0.001]","[0.32190157920334006, 0.5752561866459021]",0.5771466770137283,0.7599341527450981,0.5774999165084101,0.6612719922791874,0.814182079131342,0.6628924579786348,0.6422510002393209,0.8153006659872639,0.6647151759592761,-0.08832581348900259,0.08912556515456718,0.007943366364121,0.2322469754065004,0.48205034301729277,0.23237253320308962
pre,45561,2009,True,False,936,748,188,"[0.01, 0.001]","[0.31402292575951873, 0.5650732867783009]",0.5605072725498588,0.7489925513018623,0.5609898419056728,0.6596741380565356,0.8130916212879056,0.6611179846085948,0.6247286992768005,0.7935047057195326,0.629649717999042,-0.1395650472547969,0.027534320199508404,0.0007581387888490565,0.17028384553915266,0.439506177680461,0.19316568021928898
pre,481741,2009,True,False,936,748,188,"[0.01, 0.001]","[0.31946273899468747, 0.5797066242695454]",0.5824404804910842,0.7635896363052447,0.5830691326727758,0.6779522716110014,0.8243178719307986,0.6794999539845206,0.5712201528104359,0.7572840775547013,0.5734791741178749,-0.1353269900120646,0.03920396602601226,0.0015369509521687237,0.19749450778195576,0.48141181723170484,0.2317573377703324
pre,130889,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3454427317586048, 0.5838801904062593]",0.5824278746853611,0.763412367403453,0.5827984427045446,0.6726095661919722,0.8210772223314377,0.6741678050315091,0.5740714568449286,0.7593081122096558,0.5765488092673912,-0.06391591329516855,0.1539164650377747,0.02369027820972452,0.023476215808689305,0.24246037453494027,0.05878703321962351
pre,967096,2009,True,False,936,748,188,"[0.001, 0.001]","[0.3385000206020468, 0.5678573046688591]",0.5731710692048022,0.7575106761941027,0.5738224245480468,0.6772380595952125,0.8236697653046636,0.6784318822770397,0.5677421441780184,0.7552387043220544,0.5703855005060555,-0.13741127033590161,0.06066170247799085,0.0036798421475282817,0.11911991605956296,0.345164451521762,0.1191384985943188
pre,396922,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3219420810641563, 0.606062963298232]",0.6021715697115304,0.7762235532142262,0.6025230045645187,0.6880360338554242,0.8305655606502638,0.6898391505382869,0.5495516860150628,0.7416529530564245,0.550049102777315,-0.10232920928531564,0.08078282771294726,0.006525865253299719,0.15217769267055603,0.41083634906243083,0.1687865057109475
pre,578856,2009,True,False,936,748,188,"[0.01, 0.001]","[0.33661860032062607, 0.5922581861227416]",0.5929892404064017,0.7702548186692694,0.593292485683229,0.6760767290314633,0.8231827227929295,0.6776297951047809,0.5771360416793586,0.762285629967513,0.5810793816549682,-0.0691702698477592,0.13238693356470807,0.017526300178666427,-0.015044710382364546,0.18147282855103467,0.03293238750231322
pre,82627,2009,True,False,936,748,188,"[0.01, 0.001]","[0.3220070001826455, 0.5525214647589377]",0.5461067434571738,0.7398293622750969,0.5473474852843765,0.6618080510742668,0.8145314782708012,0.6634615290940167,0.6417818530305257,0.8020125174309181,0.6432240781158787,-0.16349749023839166,0.016586618520533586,0.0002751159139457078,0.13780875870734066,0.37225556800310067,0.1385742079093111
