split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6664300133520167, 0.7223963028744395, 0.8008071274904989]]",0.8054672704037706,0.8979850431016637,0.8063771376342969,0.9369234607862473,0.9684115453313845,0.9378209211311203,0.4548765608146479,0.7517737242840709,0.5651637325239421,0.14110552969999235,0.43921587172465704,0.1929105819748504,-2.0368147326047734,0.38549548264478206,0.14860676713953347
1,116739,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[100.0, 10.0, 0.09999999999999999]]","[[0.6954270912630229, 0.7489269184263799, 0.8139815013772708]]",0.8171567139009606,0.9048970713830498,0.8188387097976202,0.9539668328286508,0.9785883599995152,0.9576351783265408,0.6227565721203496,0.8141317941677334,0.6628105782747726,0.24186341265300226,0.5244493330319908,0.2750471029177,-0.33591029410555207,0.19388022927436746,0.03758954330348129
2,26225,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6332478495090089, 0.7198280567635409, 0.7994296777415048]]",0.8055611394697666,0.8978163603509586,0.8060742169138423,0.9359799337662672,0.9679140950269475,0.9368576953518347,0.7649940785100913,0.8804694447973634,0.7752264432217775,0.10171832581580986,0.4032786161027727,0.16263364220576754,0.3444760868732617,0.6225010907514706,0.3875076079867707
3,777572,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 100.0, 0.009999999999999998]]","[[0.7026089451148559, 0.7167937641024185, 0.7883640094085245]]",0.7980929254367525,0.8944836639853556,0.8001010251366666,0.9353838970022263,0.9676885175493265,0.9364210669968132,0.7726424476578558,0.8868536046855738,0.786509316143796,0.1141923020799347,0.4310120319591172,0.18577137169352706,0.18554272434762809,0.4461968857931692,0.19909166089152247
4,288389,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[100.0, 10.0, 0.009999999999999998]]","[[0.6470244009741949, 0.7010855566689115, 0.7772244918630684]]",0.7847221321611041,0.8866774265241462,0.7861968587074826,0.9554049184362062,0.9780183319807987,0.9565198576905037,0.6296474837265238,0.8237612362909821,0.6785825744156472,0.04884726457066946,0.3644870804871876,0.13285083184207355,-0.1942100139852081,0.43926178048173414,0.1929509117919832
5,256787,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[100.0, 10.0, 0.009999999999999998]]","[[0.682280680845586, 0.725096636241965, 0.808407344701388]]",0.8126904665703567,0.9018327788800212,0.8133023610624612,0.953996115131912,0.9772598710359645,0.9550368555372298,0.7443791999626965,0.8655764860751841,0.7492226532462634,0.15724774623080295,0.46045332297399155,0.21201726263779097,-0.02849210667421609,0.2769548303646559,0.07670397806231533
6,234053,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6237018640525047, 0.6965175090158119, 0.772426219529476]]",0.7791805937617096,0.883812170082176,0.7811239519853653,0.9345942265845054,0.9671835597389612,0.9354440382293288,0.8108289616343096,0.9045035960857896,0.8181267553321252,-0.005600605033944772,0.33844172472100215,0.11454280103212659,0.594463678249303,0.793494895536768,0.6296341492429064
7,146316,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 100.0, 0.09999999999999999]]","[[0.6430081428528298, 0.7037548682449859, 0.7664237850252713]]",0.7710476595601049,0.8795383962717002,0.7735877905161943,0.9306120960952806,0.9666293311351706,0.9343722638108273,0.826756741976208,0.9108925999511556,0.829725328645776,0.11102178557311826,0.4349897399714222,0.1892160738804055,0.36319259194179954,0.6045330273532618,0.3654601811608995
8,772246,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[100.0, 10.0, 0.009999999999999998]]","[[0.6725222095456492, 0.7282971126629294, 0.8229525182774214]]",0.8253060510387373,0.9089008635355789,0.8261007797357209,0.9543762053393505,0.9775054694820781,0.9555169428673779,-1.4840981328196188,0.4794106712459553,0.22983459170449747,0.22751020515003717,0.5170443496210901,0.2673348594750961,-9.262901240795275,0.5380703189227537,0.2895196681056339
9,107473,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,True,426,340,86,"[[10.0, 100.0, 0.09999999999999999]]","[[0.6891099319508248, 0.7540310239478577, 0.8172473301221632]]",0.8253334511586652,0.9091929485722628,0.8266318177335253,0.9361285971711033,0.9692653950292552,0.9394754060012183,0.36171689596405143,0.7007256557793804,0.4910164446674427,0.24749004701751554,0.5352643782814663,0.2865079546570447,-1.3891913759918908,0.08229022640015776,0.006771681360989222
0,670487,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,426,340,86,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6712403931843153, 0.7245593753185895, 0.8023209756096727]]",0.8061125741491513,0.8983414336742086,0.8070173314558325,0.936263129086359,0.9680585539472099,0.9371373638703631,-0.577153136730334,0.5499407545793294,0.3024348335472823,0.14366308644706982,0.43993890553070175,0.19354624059955172,-2.37866810379853,0.3852726449573822,0.1484350109524571
1,116739,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,426,340,86,"[[10.0, 100.0, 0.09999999999999999]]","[[0.6599232934758517, 0.7401463936629786, 0.8043180613443683]]",0.808358580838052,0.8999390391342962,0.8098902741579602,0.93861074681153,0.9706528794796605,0.9421670124421563,-3.119667308386675,0.22326811110802214,0.04984864943774412,0.1854385133468025,0.4877913554904103,0.23794040649117185,-17.54808165324159,-0.148588410981104,0.02207851587788947
2,26225,rcf,False,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,True,True,426,340,86,"[[100.0, 10.0, 0.009999999999999998]]","[[0.7022498597434044, 0.7391214396931911, 0.8038926225836421]]",0.8071634644459074,0.8988163362783516,0.8078708063608387,0.9520082044353313,0.9763259790760358,0.9532124174187799,-3.9146296244378282,0.30394658593305335,0.09238352710035898,0.11230034689822344,0.4166683554063509,0.17361251839703315,-23.429450675736025,0.12782484407128336,0.016339190761847904
