country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,True,504,403,101,1000.0,0.26450352165339897,0.2787306483102102,0.5302136316456908,0.2811264951829123,0.5988287736783702,0.7912187541303736,0.6260271168876206,0.1682861623467269,0.45754182889596573,0.20934452518946517
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,497,397,100,1000.0,0.34841861146678965,0.3442250901750379,0.5948292220028739,0.35382180334854424,0.8013459783497238,0.9064573076977144,0.8216648506785889,0.4679630809348313,0.69290686009322,0.48011991676424515
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,504,403,101,1000.0,0.25568924141451305,0.26938140587612547,0.5229258700287918,0.2734514655453688,0.5982419682670914,0.7905895367795306,0.6250318156652728,0.13307813647511801,0.44287681221987435,0.19613987080203785
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,648,518,130,1000.0,0.20783486302715196,0.243333280651714,0.5054619052764102,0.2554917376856587,0.6286813965833754,0.8107931303638901,0.6573855002452761,0.1796897052339883,0.43621829652958904,0.19028640222717647
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,504,403,101,1000.0,0.39991813481242133,0.4022626152287401,0.634678605954007,0.40281693285572173,0.7117892036549833,0.8575098253100724,0.7353231005033108,0.0754085984070959,0.43261699029715556,0.18715746029376917
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,490,392,98,1000.0,0.39878824320389683,0.39560107322286364,0.6373063556792796,0.40615939098920445,0.8225409363444007,0.9170391538525431,0.8409608096985882,0.43481182824495335,0.6604868996399577,0.4362429445960035
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,648,518,130,1000.0,0.25870737281247863,0.2838310570567193,0.5374286679190168,0.2888295731012088,0.6534770771203341,0.8260566214972977,0.6823695419195298,0.1582121290928794,0.4196314451477197,0.1760905497567637
ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,False,504,403,101,1000.0,0.29478542763856297,0.3121528634760036,0.5642789349683005,0.3184107164489595,0.652928569949089,0.8250194385067723,0.6806570739140299,0.15167155538035193,0.4558837985272309,0.20783003775961684
ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,504,403,101,100.0,0.3339918771050498,0.3508340686690421,0.6074038866925012,0.36893948156915685,0.7443996694401837,0.8696270048689612,0.7562511275973602,0.3285286829176517,0.5996109297667881,0.3595332670957921
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,True,497,397,100,1000.0,0.4246656282672262,0.43780943317339704,0.6669736182599572,0.44485380745477904,0.7419933368919291,0.867413463565415,0.7524061167745496,0.5523454458896725,0.7438586368245469,0.5533256715784731
ZMB,sentinel-2-l2a,2-3-4,1000,20,1-12,False,True,True,490,392,98,1000.0,0.3836923993355191,0.39761287479863305,0.6357431740544821,0.40416938335686753,0.6792503672929087,0.8314318714022783,0.6912789567834946,0.42142260982563573,0.6522883907361174,0.4254801446891138
ZMB,sentinel-2-l2a,2-3-4,1000,4,1-12,False,False,False,497,397,100,1000.0,0.39591576236530496,0.39855067682605494,0.6344712015758035,0.40255370562904386,0.8109934102384856,0.9112574307636739,0.830390105122012,0.5562684109835369,0.7482861615520161,0.55993217957025
