split,random_state,variables,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.5271601659590333, 0.5271601659590334, 0.5271601659590334, 0.5373532223809121, 0.5852843033272238]]","(0.6179099402154546,)",0.7959242307307467,0.6334953810643309,0.9751869428438047,0.9887514442994052,0.9776294186041598,0.19408182608224267,0.6422488372056651,0.41248356889202886,,,,,,
1,116739,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.4443312256491276, 0.4443312256491275, 0.45833047721158965, 0.4647949617378638, 0.5023949328908418]]","(0.5553020173299144,)",0.7548955770751207,0.5698673322875795,0.9869284742286225,0.9942531981508824,0.9885394220332578,0.6547182974980099,0.8201794188088455,0.6726942790376156,,,,,,
2,26225,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1.0, 1000000000.0]]","[[0.3670032713399819, 0.36700327133998184, 0.36700327133998173, 0.36700327133998173, 0.4336049047831354]]","(0.5111971639987083,)",0.73259685060612,0.5366981455180058,0.9721329205063735,0.9874986466406511,0.9751535771171176,0.6704987123593381,0.8229276949098856,0.6772099910496977,,,,,,
3,777572,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 0.009999999999999998, 0.009999999999999998, 10.0]]","[[0.4480640551483489, 0.448064055148349, 0.4663540964287608, 0.4853034632668195, 0.48926552307738563]]","(0.4948228483170598,)",0.742047759036584,0.5506348766912162,0.997334499990601,0.9988081295801202,0.9976176797153382,0.6001295096955839,0.807263050031341,0.6516736319459034,,,,,,
4,288389,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.47407120846565076, 0.516785206901515, 0.5312665992331316, 0.5343781588778089, 0.5732299428116321]]","(0.5921294018655834,)",0.7789287903591334,0.6067300604503428,0.9581326128571719,0.9810084995217271,0.9623776761338704,0.5621822894052322,0.760514415861964,0.5783821767338643,,,,,,
5,256787,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 0.009999999999999998, 1000000000.0]]","[[0.4839598510353473, 0.4884015903368645, 0.5069304263208728, 0.5169936904135561, 0.554380163091733]]","(0.5801265065148624,)",0.7750681468578727,0.6007306322736969,0.9585577297886247,0.981090752128691,0.9625390639124406,0.5522059001668118,0.7461560821257236,0.5567488988932096,,,,,,
6,234053,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.49740017330957753, 0.5159006503461653, 0.5189462260414757, 0.526990613096625, 0.5975856873157653]]","(0.6060005968925166,)",0.7827524264937469,0.6127013611818486,0.9098674637904646,0.9576436387597651,0.9170813388570435,0.42477472418291806,0.694703952467869,0.48261358157447914,,,,,,
7,146316,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.009999999999999998, 0.09999999999999999, 1000000000.0]]","[[0.4898662840336569, 0.4898662840336569, 0.5220786868989149, 0.5227821822859199, 0.5368446096144494]]","(0.5425466581523045,)",0.7516611339651498,0.5649944603137749,0.9889872381494558,0.995066067076311,0.9901564778467173,0.2888632154758879,0.6022697878956988,0.3627288974119301,,,,,,
8,772246,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.47832899454234906, 0.47832899454234906, 0.49125569260819796, 0.49717518467416577, 0.5451038923317861]]","(0.5598685880673375,)",0.7625742461726153,0.5815194809257325,0.9743729913657174,0.9885287493864273,0.977189088363494,0.6777340584375928,0.8236362476138172,0.6783766683833691,,,,,,
9,107473,ndvi_tmp,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 9.999999999999997e-09, 1000000000.0]]","[[0.41855718706831, 0.4185571870683099, 0.42477391777206375, 0.44152933363322744, 0.4766469590092693]]","(0.5153102413731832,)",0.7473960412343403,0.5586008424527638,0.9865112053299947,0.9939769899606218,0.987990256571178,0.6952437662001945,0.838050639725392,0.7023288747441387,,,,,,
