split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6802558567880922, 0.7224102676712583, 0.7944627246502628]]",0.8008590302833989,0.8952373616685656,0.8014499337272941,0.9100453025517415,0.9546126187067405,0.9112852517941408,0.6796614499466475,0.8309673143201587,0.6905066774684574,0.045796297643149964,0.3097165270268116,0.09592432711354974,-0.4579021597278017,0.19384821359251445,0.0375771299130091
1,116739,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[100.0, 10.0, 0.009999999999999998]]","[[0.6710658425170406, 0.7145249252500231, 0.7754043623369251]]",0.7850545339313753,0.8870415335349727,0.7868426822160761,0.9185402223029735,0.9588830454225254,0.919456694798777,0.6279468043586691,0.8095834016615074,0.6554252842458177,-0.021800936830149054,0.3177424872741309,0.10096028821915123,-0.41341214612606114,0.2947612826016248,0.08688421372095494
2,26225,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 0.009999999999999998]]","[[0.6879601307898929, 0.7207438914311023, 0.7739558572489695]]",0.7770929661810658,0.8824468213849624,0.7787123925724239,0.9358677287575166,0.967912306012734,0.9368542321308885,0.8248562421068425,0.910254408889674,0.8285630889030898,-0.0364601544767893,0.32499763573318896,0.10562346323216258,0.30848928896299854,0.557506510070064,0.3108135087705024
3,777572,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[100.0, 100.0, 0.09999999999999999]]","[[0.6037798296032658, 0.7197122414388487, 0.7910786304407169]]",0.7916041060350361,0.89104023118877,0.7939526935969367,0.8784215070413209,0.9403844437040296,0.8843229019605373,0.4452015318701872,0.7383581185729093,0.5451727112625264,0.04321335415195915,0.2755326051195593,0.07591821648397098,-1.8528080093292187,0.5654531742726293,0.3197372922949925
4,288389,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 100.0, 0.009999999999999998]]","[[0.6305767881038873, 0.7204120858905323, 0.7955042214847282]]",0.7946840747355716,0.8917616279119086,0.7952388010160973,0.907023125437461,0.9529438947891158,0.9081020666158494,0.8073247589541128,0.8989245516278573,0.8080653495193444,-0.05374687506734266,0.2053421716480978,0.042165407457156856,0.23946898323665988,0.4896917686484301,0.2397980282820276
5,256787,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 100.0, 0.09999999999999999]]","[[0.6744282264341523, 0.7344457011284014, 0.8136892795264256]]",0.8180348810626754,0.9054466772914342,0.8198336854180986,0.9075789351224006,0.9550051866542283,0.9120349065364775,0.7512105431865392,0.8677750677865088,0.75303356827188,0.14900559472960295,0.4182863403656729,0.17496346253650757,-0.14257303202722427,0.11691380259112263,0.013668837236315994
6,234053,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 0.009999999999999998]]","[[0.6564954976326206, 0.7148473689450852, 0.7898765771735404]]",0.7934429153845988,0.8915203540359952,0.7948085416604662,0.9348256789002337,0.9674289325428163,0.935918739520933,0.7750770216169165,0.8864687875621281,0.7858269113218694,0.09613156303207349,0.4179353492998529,0.17466995619439005,-0.15184460368602792,0.3113937328578456,0.09696605686314332
7,146316,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 0.009999999999999998]]","[[0.671196590364876, 0.7205237641086061, 0.78995464351313]]",0.7988409319130303,0.8944138678257306,0.7999761669589835,0.9347123877813485,0.9673233808764572,0.9357145231902595,0.8049784321967457,0.8980302087421363,0.806458255813445,0.0403950919110434,0.36508676576956234,0.13328834654007926,0.16027083557239852,0.44200332560939326,0.19536693984976333
8,772246,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 0.009999999999999998]]","[[0.6424844580365393, 0.7033925628930452, 0.7731084245287507]]",0.7833221301107771,0.8855848109983234,0.7842604574709362,0.9352819814084045,0.9676595150935585,0.9363649371511008,0.8189075295404002,0.9055825880386643,0.8200798237588052,-0.009597666612209288,0.34548298919245063,0.11935849582135095,0.2622581920531093,0.5687876269040573,0.32351936451914903
9,107473,rcf,False,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 0.009999999999999998]]","[[0.7126396532378324, 0.7579506253855851, 0.8245272112238646]]",0.8287789923367171,0.9107451141071095,0.8294566628699718,0.9461298458384019,0.9730975439201376,0.9469188299834042,0.5798925344841697,0.8068427231378358,0.6509951798804783,0.0954817972059776,0.40576553129890525,0.16464566639028286,-0.19967799545678222,0.33676699164747625,0.11341200666329135
