,district,year,yield_mt,log_yield,district_yield_mean,demean_yield,k-fold_prediction,k-fold_district_prediction_mean,k-fold_demean_prediction,logo_prediction,logo_district_prediction_mean,logo_demean_prediction
0,Chadiza,2016,1.8764269,0.4588533415702706,0.5038620331071084,-0.04500869153683784,0.4559524253202353,0.46935782578124646,-0.013405400461011185,0.35058452729555845,0.4736740900052467,-0.12308956270968824
1,Chadiza,2017,2.8829465,0.5891614067925458,0.5038620331071084,0.08529937368543739,0.4219616220122925,0.46935782578124646,-0.04739620376895398,0.4365030390117651,0.4736740900052467,-0.03717105099348156
2,Chadiza,2018,1.299279,0.3615916727954804,0.5038620331071084,-0.14227036031162804,0.41021994078396634,0.46935782578124646,-0.05913788499728012,0.44238819525036055,0.4736740900052467,-0.031285894754886134
3,Chadiza,2019,2.131008409,0.49568423401020634,0.5038620331071084,-0.008177799096902083,0.44105611769265834,0.46935782578124646,-0.028301708088588118,0.5092205107560018,0.4736740900052467,0.03554642075075515
4,Chadiza,2020,2.62653792,0.5594922229147248,0.5038620331071084,0.05563018980761636,0.5370702727227882,0.46935782578124646,0.06771244694154172,0.6927169246997804,0.4736740900052467,0.21904283469453373
5,Chadiza,2021,2.617339915,0.5583893205594228,0.5038620331071084,0.05452728745231439,0.549886576155538,0.46935782578124646,0.08052875037429158,0.4106313430180138,0.4736740900052467,-0.06304274698723289
6,Chama,2016,1.2574561,0.35361931348692327,0.47004463639934496,-0.11642532291242169,0.4084210417081959,0.46417988403867166,-0.05575884233047579,0.4679394660773397,0.45884561176640193,0.009093854310937788
7,Chama,2017,2.3080082,0.5195665774253513,0.47004463639934496,0.04952194102600632,0.49240652436643123,0.46417988403867166,0.028226640327759567,0.43427308659606495,0.45884561176640193,-0.02457252517033698
8,Chama,2018,1.668139,0.4262084509418548,0.47004463639934496,-0.043836185457490184,0.43116011276126465,0.46417988403867166,-0.03301977127740702,0.39930025907349015,0.45884561176640193,-0.05954535269291178
9,Chama,2019,1.837408192,0.4529218182706636,0.47004463639934496,-0.017122818128681383,0.4436083139090851,0.46417988403867166,-0.020571570129586547,0.4289832517405447,0.45884561176640193,-0.029862360025857237
10,Chama,2020,2.405620073,0.5321961969434059,0.47004463639934496,0.06215156054406096,0.49453188665614745,0.46417988403867166,0.030352002617475782,0.5895391077480905,0.45884561176640193,0.13069349598168856
