,country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,kfold_total_n,kfold_train_n,kfold_test_n,kfold_best_reg_param,kfold_mean_of_val_R2s,kfold_val_R2,kfold_val_r,kfold_val_r2,kfold_train_R2,kfold_train_r,kfold_train_r2,kfold_test_R2,kfold_test_r,kfold_test_r2,logo_total_n,logo_train_n,logo_test_n,logo_best_reg_param,logo_mean_of_val_R2s,logo_val_R2,logo_val_r,logo_val_r2,logo_train_R2,logo_train_r,logo_train_r2,logo_test_R2,logo_test_r,logo_test_r2,kfold_demean_R2,kfold_demean_r,kfold_demean_r2,logo_demean_R2,logo_demean_r,logo_demean_r2
0,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,True,True,True,504,403,101,1.0,0.6790514617200166,0.6888578314517373,0.8305689000432788,0.689844697719102,0.911794202391286,0.9576570567637963,0.917107038369497,0.7669762431652766,0.8792307953728253,0.773046791531931,504,403,101,100000.0,0.027531100076736814,0.09160905820094967,0.30760721849165656,0.09462220086817374,0.18646977310241442,0.49980261696426714,0.24980265592432993,-0.18176352984009814,0.39417240640295553,0.15537188596949675,0.5622352917311079,0.751443905679748,0.5646679433832339,-7.6062716229173635,0.4040753437175362,0.163276883400445
1,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,True,504,403,101,1.0,0.6605778109180334,0.6774020113987682,0.8256108956425078,0.6816333510036239,0.914008381876018,0.9580519282884012,0.9178634972971239,0.7955094723062199,0.8923622627494449,0.7963104079793093,504,403,101,100.0,0.08812610109268539,0.1524892458710575,0.46582219712892536,0.2169903193380194,0.5548426052543698,0.7505157238584443,0.5632738517587647,-1.427993885895781,0.5400571781367258,0.2916617556570032,0.5777436320492274,0.7630498922159524,0.5822451380107766,-42.45401058573126,0.3106193045773088,0.09648435237609093
2,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,True,True,504,403,101,1.0,0.6765875689273105,0.6866914441125143,0.8291925929094549,0.687560356135905,0.9124171575363791,0.9581153882939489,0.9179850972856646,0.7672759710220616,0.8794313116948939,0.7733994319894015,504,403,101,100000.0,0.028080806534079922,0.09206457785705435,0.30844941294640044,0.09514104034697907,0.1867398336170294,0.5002695456016858,0.25026961825651717,-0.18382517220107442,0.3902268736285119,0.15227701290188259,0.5648858845413823,0.753148859268551,0.5672332042175197,-7.6284453696332,0.40425706798588984,0.16342377701654837
3,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,True,504,403,101,1.0,0.6770007350098708,0.6913837008018313,0.8316217612706963,0.6915947538189751,0.8560718914707673,0.9277046515875201,0.8606359205771221,0.7849759643412078,0.8866415001315124,0.7861331497554588,504,403,101,1.0,0.40454851258337027,0.43398044230926125,0.7106974026159957,0.5050907980851227,0.8516174696803231,0.924788543714022,0.8552338505847015,0.5317683610953081,0.771644297973222,0.5954349225945866,0.36962346883586006,0.6106929979490872,0.3729459377440438,-9.993267557327489,0.5687929342329892,0.32352540203337354
4,ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.6321745800404,0.639988442009799,0.801664549148576,0.6426660493615896,0.7754020921391538,0.8813340312973101,0.776749674722768,0.5893911716185071,0.7690865708922721,0.5914941535268338,504,403,101,10.0,0.3160095090557458,0.38537560644930746,0.6371586986936171,0.4059712073209435,0.6725147557422166,0.821631622255381,0.6750785226900091,0.4425667579037572,0.6915746007473564,0.47827542839886544,0.36404142647043325,0.6175895836528712,0.38141689383652677,-10.84122690618165,0.5380713077588851,0.2895207322333569
5,ZMB,sentinel-2-l2a,2-3-4,1000,20,4-9,True,True,False,False,504,403,101,1.0,0.3192400832933255,0.3377226730286744,0.5939415224446393,0.35276653208385594,0.5885933803140768,0.7703005354374431,0.5933629148952116,0.44375164828796054,0.6676014210493589,0.4456916573871234,504,403,101,10000.0,0.16347745118746368,0.22652708685237466,0.47626434646169824,0.22682772771058854,0.2894935326304209,0.5418174707903609,0.2935661716536636,-3.921359749503268,0.525866754670945,0.27653584366815187,0.07911275656564198,0.4582216142431197,0.2099670477595704,-75.2706648480842,0.15518766702148828,0.024083211995572323
6,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1.0,0.5075151526344921,0.5139664527005308,0.729727379242612,0.5325020480162909,0.7951391328656857,0.8940408089779502,0.7993089681179477,0.6532536947318677,0.812404338294245,0.66000080887931,648,518,130,1000.0,0.3045955708472987,0.3669745902323329,0.6136312569594498,0.37654331951763426,0.49599057733260465,0.7072297012003568,0.5001738502599459,0.2213829261781759,0.5946985329150875,0.35366634505135736,0.3527559227295165,0.6267659583555054,0.39283556655329516,-9.777295230565942,0.43966765357098625,0.19330764559661678
7,ZMB,sentinel-2-l2a,2-3-4,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.4304950611671744,0.4521710309637512,0.6884799004069931,0.4740045732644232,0.7606472443692391,0.8739699868431158,0.763823537902556,0.4345013111017644,0.6723160355687456,0.45200885168287486,504,403,101,100.0,0.03906861247745691,0.1067270306039666,0.4336165471358797,0.1880233099500426,0.5219400269310088,0.7258177143434328,0.526811354454725,-1.737082657097444,0.5011658785107942,0.25116723778349614,0.3342299952850476,0.6598702996142992,0.435428812313065,-47.02783063593113,0.2949808011485992,0.08701367304626942
8,ZMB,sentinel-2-l2a,2-3-4,1000,4,4-9,True,False,True,False,504,403,101,0.1,0.5182900099229861,0.528373214502514,0.7346774299965215,0.5397509261462938,0.7743353101194523,0.8822360965403333,0.7783405300387243,0.6639909614794287,0.8186920163240835,0.6702566175927934,504,403,101,1000.0,0.20426458405468875,0.2689841795975967,0.5201728214632552,0.27057976418904356,0.3695224675844587,0.6105522449954465,0.37277404386897967,0.21972919246926792,0.4754742995791617,0.2260758095602944,0.2923111973209249,0.5879164820452043,0.34564578986040906,-8.10850693743042,0.33652481331036643,0.11324894997357698
9,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,True,384,307,77,10.0,0.553435045065559,0.5723548500032476,0.7750050272460033,0.6006327922565783,0.8689272619661149,0.9335502227369897,0.8715160183722831,0.5701825099813234,0.7839808721512419,0.6146260078990219,384,307,77,100.0,0.40060733239316226,0.45989691933688326,0.693852047624547,0.4814306639927766,0.7579559116295,0.8730546478286869,0.7622244180952725,0.5284816893404867,0.7433644164122315,0.5525906555878976,0.3074232596982889,0.6027670627444469,0.363328131929568,-9.83080882171531,0.531206150251464,0.28217997406498097
