country,satellite,bands,num_features,points,month_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,True,648,518,130,"[0.01, 0.001]","[0.616288359126301, 0.7820917793101756]",0.7818323909306008,0.8853489203672424,0.7838427107954418,0.9040037730016137,0.9513596610851067,0.9050852047399691,0.6968290625712886,0.860214283382775,0.739968613335741,-0.0271597002274635,0.36309986660782434,0.13184151313061984
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,False,False,648,518,130,10.0,0.6118977766718002,0.6130709741311551,0.783864768029305,0.6144439745576362,0.7350229710898708,0.8587175819580551,0.7373958855638891,0.6127392112865955,0.7936195520827098,0.629831993447961,0.04761919330349018,0.4281822154485069,0.18334000962639155
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,True,648,518,130,"[0.001, 0.001]","[0.5193862727572576, 0.7194200184309558]",0.7195622281229872,0.8553896621555026,0.7316914741225049,0.9286221199147189,0.9643531164645751,0.9299769332349384,0.7228726143043587,0.8707560202407594,0.7582160467855258,-0.23498555211724215,0.35483930313039375,0.12591093104606346
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,False,True,False,648,518,130,1.0,0.5075151526342084,0.5139664527002623,0.7297273792424402,0.5325020480160402,0.7951391328656852,0.8940408089778416,0.7993089681177533,0.6532536947310219,0.8124043382938768,0.6600008088787118,-0.30332639260843197,0.37360396644253846,0.13957992374159742
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,True,648,518,130,"[0.001, 0.001]","[0.6131633696060633, 0.7538942387598403]",0.7562642674178036,0.872446436175242,0.7611627839948806,0.9198510267588907,0.959676622483828,0.9209792197419677,0.7302876185550908,0.8721581239688818,0.7606597932049194,-0.09815502652687047,0.3752886573232611,0.1408415763154961
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,False,648,518,130,1.0,0.6044605429640336,0.6088366040331927,0.7837534400288815,0.6142694547571055,0.8024739733996438,0.8974877817182568,0.8054843183335574,0.6686675505110786,0.8269157077543876,0.6837895877309398,-0.1382152233826237,0.35737073671950675,0.127713843463443
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,True,648,518,130,"[0.001, 9.999999999999999e-05]","[0.5713696249115354, 0.738566357982482]",0.7388834602346472,0.8691385760552625,0.7554018643873692,0.9292926356708158,0.9641618874154038,0.9296081451444337,0.7357945690332286,0.8749526801634399,0.7655421925251866,-0.1956968034857085,0.34816784981292037,0.12122085164335228
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,False,648,518,130,0.09999999999999999,0.5645392901344582,0.5712801354380164,0.773320519464822,0.5980246258253422,0.8970204603194359,0.9482730792408092,0.899221832812846,0.5781031093354096,0.7982702435088433,0.637235381671668,-0.42974645919191046,0.38512726598134406,0.14832301100226494
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,True,384,307,77,"[0.09999999999999999, 0.001]","[0.5910535806771058, 0.6547948739524833]",0.6761791166964444,0.8315356421298615,0.6914515241323211,0.8965111856318516,0.9472349657279766,0.8972540802976811,0.7925062672143053,0.8964828123721058,0.8036814328786003,-0.21798060885090909,0.2805954600222907,0.07873381218512093
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,False,False,384,307,77,100.0,0.5922071666680603,0.6123590070394271,0.7860280375249802,0.6178400757753717,0.8012371307441999,0.8967899889410246,0.804232284264843,0.7050119939775782,0.8462087184103311,0.716069195113655,-0.06424045471912687,0.37464972523226286,0.14036241661661006
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,True,384,307,77,"[0.09999999999999999, 0.001]","[0.5168365426849191, 0.6384102934725411]",0.6567236230985478,0.8243520142333736,0.6795562433706201,0.901873555356477,0.9501797745558813,0.9028416039750654,0.7885156132086832,0.8919820095532363,0.7956319053666296,-0.28060709478181844,0.28889498434245847,0.08346031197822933
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,False,True,False,384,307,77,100.0,0.5152575022634976,0.5426746473864423,0.7449980409942002,0.555022081085196,0.7725561281543908,0.880436216812349,0.7751679318748416,0.643576754779508,0.8105132362450604,0.6569317061284412,-0.1568609676002044,0.3625894833228274,0.13147113341631494
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,True,384,307,77,"[0.09999999999999999, 0.001]","[0.5320628479870948, 0.6570490450650757]",0.6731089866909856,0.829497061071638,0.6880653743264847,0.8874163616387511,0.9425935306073308,0.888482563942793,0.827732095691804,0.9128681965229672,0.8333283442230948,-0.250589224048805,0.25412560745051394,0.0645798243620927
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,False,384,307,77,100.0,0.517610193865299,0.5444583097703873,0.7448086400682153,0.5547399103202644,0.757547862796132,0.8727400029498107,0.7616751127488356,0.7024417065565086,0.8422783247853614,0.7094327764032347,-0.2009494513673853,0.3154771645818085,0.0995258413725775
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,True,384,307,77,"[0.09999999999999999, 0.001]","[0.50932295034548, 0.6395675281367471]",0.656143581334014,0.8238511632875759,0.678730739250292,0.8973348736787556,0.9478355088578733,0.8983921518518635,0.8226818006180636,0.9140315255832617,0.8354536297600649,-0.28844546496954915,0.2736088785853969,0.07486181844075845
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,True,False,384,307,77,100.0,0.4997986019658665,0.5317908696837108,0.7387796599904471,0.5457953860156007,0.7657895879753971,0.87691221467238,0.7689750322416182,0.6569630403484015,0.8171643907661343,0.6677576415361876,-0.20897863225106028,0.3349670001773763,0.1122028912078304
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,True,648,518,130,"[0.001, 9.999999999999999e-05]","[0.5692218559570354, 0.8005551775544466]",0.8011494320752675,0.8979010560443234,0.8062263064455111,0.9280300923644471,0.963480088743371,0.9282938814049341,0.7829661369912558,0.8942941807970508,0.7997620818074682,0.0857832422750403,0.46031759496234415,0.21189228823191672
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,False,648,518,130,0.09999999999999999,0.5737194238010357,0.5768937223553785,0.7716365055528411,0.5954228967017998,0.8217040430547123,0.9075710786468517,0.8236852627962099,0.5414085598893648,0.7673524405834339,0.5888297680693524,-0.3389008529897579,0.429596069135145,0.18455278261636826
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,True,648,518,130,"[0.001, 9.999999999999999e-05]","[0.5668483405389255, 0.8007222619458265]",0.801152331459475,0.8978742116216594,0.8061780998952164,0.9287852868719119,0.9638743900151511,0.9290538397270796,0.7843431549377612,0.8946032701787909,0.8003150110145868,0.08653471496803011,0.46413970729868587,0.2154256678913098
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,True,False,648,518,130,0.09999999999999999,0.5661870375397319,0.5691076770111954,0.7669177288184503,0.5881628027760502,0.8191457619641226,0.9061830510047558,0.8211677219282879,0.5539641606122814,0.7709855199749988,0.5944186720111192,-0.34531953200332155,0.43129849539268855,0.18601839212799698
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,True,376,300,76,"[1.0, 0.001]","[0.5380553514565587, 0.743683249833896]",0.7467579591810465,0.8660615174132943,0.7500625519442179,0.8812068976888721,0.9392962759584749,0.8822774940294593,0.8190008426533906,0.9121786701702013,0.8320699263134769,-0.06684089219378286,0.3243509675202351,0.10520355013131262
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,1000.0,0.5273181645095588,0.5292284011023778,0.7277285642941773,0.5295888632896646,0.6456359979223502,0.8073494865107913,0.6518131933692384,0.5196798947189099,0.732645456484521,0.5367693649074121,0.01784421670422809,0.3841855769246074,0.14759855751689344
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,True,376,300,76,"[1.0, 0.001]","[0.5424163096717628, 0.7418189907069281]",0.7448850700130428,0.865135139157297,0.7484588090047156,0.8809332096272525,0.9391371672995228,0.8819786190033718,0.8227164616201974,0.9140984388015506,0.8355759558194322,-0.07422269960743799,0.32117524145572207,0.10315353572414138
ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,True,False,376,300,76,1000.0,0.5337467998603644,0.535377622788856,0.7319368833428743,0.5357316011976804,0.6508668894259244,0.8103782376941715,0.6567128881283111,0.5287125889500501,0.739226752516828,0.5464561916365757,0.010914168684375558,0.38408911072584995,0.1475244449781742
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,923,738,185,"[0.01, 9.999999999999999e-05]","[0.529643537663493, 0.6091218307196918]",0.6084350449324532,0.7873678087092129,0.6199480661915476,0.8302192976743186,0.9116585278710019,0.8311212714399223,0.5558364932146717,0.755259835944482,0.5704174197908859,-0.024742876820269988,0.3534402076366829,0.12491998037426151
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,False,923,738,185,10.0,0.5215122724958572,0.5215278638642531,0.7251965924052127,0.5259100976361323,0.7325750650733783,0.8584568346898598,0.7369481370257333,0.4310123721069524,0.6678807527039468,0.4460646998323905,-0.017523657645597712,0.34458920927871717,0.11874172315133154
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,923,738,185,"[0.01, 9.999999999999999e-05]","[0.5333367110508184, 0.6112221577984587]",0.6105350040860662,0.7883296418200629,0.6214636241721487,0.8296980342748824,0.9113955284876968,0.8306418093473681,0.548320667760198,0.7510450359851704,0.5640686460779658,-0.02137281583646411,0.35387770336672075,0.1252294289401048
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,False,923,738,185,10.0,0.5231293771303458,0.5230500675002145,0.7257669671059009,0.5267376905420978,0.7309646587767014,0.8575769635255046,0.7354382483696247,0.42463094459092776,0.6632692396804565,0.4399260843062908,-0.017284199214269158,0.3406227875381439,0.11602388339025552
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,936,748,188,"[0.001, 9.999999999999999e-05]","[0.5425680069194013, 0.6446733773137098]",0.6485143332760437,0.8102500542046379,0.6565051503386187,0.8292810325764957,0.9111122155242206,0.8301254692774538,0.5384306294097245,0.7449068237615996,0.5548861760865947,0.11306128676169003,0.4345476241353421,0.18883163764167055
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,False,936,748,188,1.0,0.5351288961329037,0.5405374299041155,0.7383364713183637,0.5451407448788529,0.7244542435202328,0.853680158046515,0.7287698122423228,0.44134579437842425,0.6708912719454755,0.45009509877261794,0.08413546972244257,0.4408268365469899,0.19432829982002656
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,936,748,188,"[0.001, 9.999999999999999e-05]","[0.534765896694798, 0.6423252397989678]",0.6465773903198488,0.8094248431153865,0.6551685766523682,0.8308797724295207,0.9120014212684218,0.8317465923956213,0.5309773571688325,0.7426839273845853,0.5515794159953921,0.11150732250776685,0.43490032238610554,0.18913829041153854
ZMB,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,False,936,748,188,1.0,0.5273782623997326,0.5327176863532579,0.732900516578858,0.537143167201557,0.7192041913606216,0.8507622579440253,0.7237964195420162,0.4547884493218053,0.6796625534060182,0.4619411865023886,0.08642148722731091,0.43769359611095016,0.19157568407653555
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,True,497,397,100,"[0.09999999999999999, 0.001]","[0.5650969742876425, 0.7244062038107351]",0.72913577452323,0.8564701439912491,0.733541107548391,0.8878591804920314,0.9431876945617746,0.8896030271727555,0.8395157242287672,0.9169833021356667,0.8408583763956314,-0.08821518019721708,0.30573696624223295,0.0934750925270043
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,False,False,497,397,100,10.0,0.5636810509254653,0.5737903227722477,0.7659534098092963,0.5866846259984878,0.782718401792447,0.8860996217082394,0.785172539591485,0.6990043378948227,0.8365399865723148,0.6997991491344085,-0.0889233555870419,0.42054471171870833,0.1768578545545715
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,True,497,397,100,"[0.09999999999999999, 0.001]","[0.5410824364812653, 0.7300990497062859]",0.7343923437937097,0.8587321122825414,0.7374208406652354,0.8871092878749897,0.9427949701073942,0.8888623556598023,0.8228858629890334,0.9080893554707842,0.8246262775193443,-0.06703238683950374,0.33240757033561097,0.11049479281642416
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,False,True,False,497,397,100,10.0,0.5466525189312976,0.5538883107922309,0.7507406193491303,0.5636114775407157,0.750091698654384,0.8677968962654672,0.753071453167978,0.6943518715812635,0.8394915736775141,0.7047461022755491,-0.008961189708326156,0.4589614876413414,0.2106456471379532
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,490,392,98,"[0.01, 0.001]","[0.6505128579929054, 0.7469570066828017]",0.7534577247705813,0.8704475271352696,0.757678897495906,0.9166005115273377,0.9578987243168036,0.9175699660477596,0.7778121264223217,0.8819652649990466,0.7778627286648385,-0.02621332517073327,0.40787534370231643,0.16636229600028277
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,False,490,392,98,1.0,0.6511446312581669,0.6551091894876999,0.8140745654077641,0.66271739804384,0.8693386511555146,0.9332283112386344,0.8709150808973134,0.7726049001031069,0.8792538708459211,0.7730873693975358,-0.0887005967281762,0.459095222236393,0.21076842308028307
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,True,490,392,98,"[0.01, 0.001]","[0.5836514409028737, 0.7158900999981836]",0.7210765437597879,0.8528938818727211,0.727427973735919,0.9128263252805647,0.9559630497997118,0.9138653525823662,0.7963796251031152,0.8937396084757251,0.7987704877583424,-0.16384481720912936,0.35717500148345804,0.12757398168470827
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,True,False,490,392,98,10.0,0.581013423706608,0.5814764258508343,0.7649997010465889,0.5852245426013704,0.770990116668811,0.8795972500269108,0.7736913222549039,0.6483123182428809,0.806109076636645,0.6498118434359844,-0.05144999121691418,0.4419671453378326,0.19533495755807284
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,True,504,403,101,"[0.01, 0.001]","[0.6274527164973578, 0.7302545146549895]",0.7346812378691832,0.859799930622321,0.7392559206981479,0.8844263174763451,0.941028483383035,0.8855346065381751,0.7897297094558458,0.8895047251422381,0.7912186560503686,-0.02962169023191019,0.3518294422509082,0.12378395643458513
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,False,False,504,403,101,1.0,0.6321745800403942,0.6399884420097942,0.8016645491485759,0.6426660493615894,0.7754020921391537,0.8813340312973137,0.7767496747227743,0.5893911716183393,0.7690865708921564,0.5914941535266559,0.0782249610683654,0.4515948066715041,0.20393786941267317
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,True,504,403,101,"[0.001, 0.001]","[0.5337003434945629, 0.7258981485051896]",0.7289724178094006,0.8575720176350293,0.735429765430615,0.9119958577357111,0.9558085417786399,0.9135699685370101,0.7735758616462742,0.8811446041086847,0.7764158133498507,-0.045842892733793494,0.392746332047012,0.15424968133638178
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,False,True,False,504,403,101,0.09999999999999999,0.535005110589114,0.5418496953693617,0.7471423775100295,0.5582217322713395,0.8201166461355665,0.9073674017842628,0.8233156018207237,0.5508642194563199,0.7427391375617048,0.5516614264659051,-0.18353950456760026,0.4008839592010715,0.16070794874472635
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,True,504,403,101,"[0.001, 0.001]","[0.6758700414415065, 0.7585227977399512]",0.7629525406684099,0.8754195167842409,0.7663593303667539,0.9086738957857688,0.9537144135106899,0.9095711825380391,0.7851776171831766,0.887396871801948,0.787473208083883,0.07383406014855287,0.43592565320981985,0.19003117512640813
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,False,False,504,403,101,0.09999999999999999,0.6728531907667579,0.6804873343936817,0.8264144881433316,0.6829609062132048,0.8471265486881271,0.9211722515527924,0.848558317030841,0.5970418781335803,0.7761148756372345,0.6023543001853999,0.12053552040539683,0.5087907817092195,0.2588680595522787
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,True,504,403,101,"[9.999999999999999e-05, 0.001]","[0.5709439452113461, 0.7239766047776661]",0.7273464606882658,0.8568753996293704,0.7342354504899933,0.9402315395398657,0.9702881685667522,0.941459130060622,0.6629586716484888,0.8183037854511626,0.6696210852837022,-0.04880962210718809,0.41472312692373786,0.1719952720054028
ZMB,sentinel-2-l2a,2-3-4-8,1000,15,4-9,True,True,True,False,504,403,101,0.09999999999999999,0.5764566619721059,0.5829447051094688,0.7681806145811528,0.5901014566182776,0.8190002673073843,0.9065974550367965,0.8219189454791962,0.5343568149263538,0.7313692269350633,0.5349009461075922,-0.03096304366336078,0.4508657249936727,0.20327990197407012
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,True,497,397,100,"[0.09999999999999999, 0.001]","[0.500067767202277, 0.7768102785524093]",0.7788418785280031,0.8836985122556118,0.7809230605627817,0.92891030029772,0.9647692576592378,0.9307797205243569,0.8612461158804459,0.9287156493888316,0.8625127574197191,0.13143862573822873,0.5054300216637779,0.25545950679904705
ZMB,sentinel-2-l2a,2-3-4,1000,15,1-12,False,False,False,False,497,397,100,100.0,0.487674193856286,0.495630236951635,0.708184751575819,0.5015256423645044,0.7011220839328602,0.8411757802421453,0.707576693265982,0.639298326148316,0.8067234653090284,0.6508027494802071,0.09827501366660707,0.5106732823385303,0.26078720129440824
