split,random_state,country,satellite,bands,num_features,points,month_range,year_range,limit_months,crop_mask,weighted_avg,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
1,116739,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.5796408652341608],0.583462413024715,0.7760330031089889,0.6022272219143561,0.8177026535111562,0.9052867493757486,0.8195440985953094,0.5655482435701514,0.7815821601774141,0.610870673107593,-0.5294136837027765,0.386012167599193,0.14900539353462747,-0.3144793109639541,0.42505790266115007,0.18067422061469574
7,146316,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.506161939243692],0.5251659158672982,0.7385827965438473,0.5455045473505301,0.8074711213854163,0.8998790885791828,0.8097823740621006,0.6272072544484871,0.8174062766716529,0.6681530211422148,-0.521894678507361,0.39663296029032036,0.15731770518866284,0.12579158694968673,0.6026339400683505,0.36316766572230424
3,777572,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5266817890484818],0.542072534680107,0.7483756902142515,0.5600661737036574,0.7959183352575248,0.8933511907221909,0.7980763499647564,0.6233629476046427,0.8035964277772538,0.6457672187363631,-0.4523000391719034,0.38820504256894556,0.15070315507595683,-0.2609281221404842,0.40800564961606034,0.1664686101186234
1,116739,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5801778914638641],0.5841549442771276,0.7771711432366074,0.6039949858796954,0.8196690898237251,0.9063545308868728,0.8214785356591633,0.550372202468308,0.7777305860206509,0.6048648644320251,-0.5290108861537521,0.3783947925771808,0.14318261904952767,-0.3441646783406651,0.416260075925986,0.17327245080990764
3,777572,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.5263607030283461],0.5425216016455374,0.7480156561317899,0.5595274218182721,0.7951706371310759,0.8929869782993625,0.797425743412226,0.6408869202687157,0.8088308534608375,0.6542073495101868,-0.4400408738236157,0.3884856864028375,0.1509211285398838,-0.22347783080751094,0.40363746500941655,0.16292320315922798
5,256787,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5710089325049191],0.5829319846013084,0.7739101289149701,0.5989368876371857,0.8232348877875602,0.9082521069848226,0.8249218898423697,0.5488885652310259,0.7619114201758489,0.580509012194379,-0.38289402691008134,0.43530041743631687,0.1894864534202317,-0.17529426322684039,0.5500220165523892,0.30252421869235674
9,107473,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.488450025985591],0.49584942987154124,0.7288406397639207,0.5312086781714812,0.8123402749119779,0.9025752755389592,0.8146421280142282,0.6760762273354369,0.8239181219028734,0.6788410715999581,-0.6630075089906389,0.36029634487724443,0.12981345613190226,-0.06314637792477673,0.44322674027385445,0.19644994329378682
4,288389,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.5604557359799534],0.5594296053204055,0.7591510677312888,0.5763103436375558,0.8195580841557263,0.9066134066517662,0.8219478691207207,0.569417005472,0.7801417421168816,0.608621137793163,-0.3820550084950922,0.43177169668621906,0.18642679805929635,-0.30606405605064824,0.3534529739331018,0.12492900478215395
2,26225,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[1.0],[0.5078293816362722],0.5172873556641311,0.7282443889731431,0.5303398900708666,0.7279905385437361,0.8548113125097014,0.7307023799945584,0.5629619551618712,0.7583029048818065,0.5750232955521861,-0.49657847311515035,0.3603147148381061,0.12982669372886574,-0.07621058264779368,0.33460942427817497,0.11196346681577171
8,772246,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5221024019787802],0.5312955610399089,0.7465185503413009,0.5572899460036774,0.8007268372222126,0.8959187532939821,0.8026704125038431,0.6467236386747341,0.8087296752371784,0.654043687609232,-0.6027283940420476,0.37754278898618576,0.1425385575154676,-0.2562602841325625,0.4734039301228992,0.22411128105580685
4,288389,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5666800257744049],0.5651290795147553,0.7627875436077338,0.5818448366831204,0.8192573297728014,0.9063700030480286,0.8215065824252834,0.5600515654761895,0.7778133124447855,0.6049935490163294,-0.3947839265778623,0.41878588368602143,0.17538161637468186,-0.28670316285747455,0.3630301034202768,0.13179085598933687
2,26225,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.5116707747147069],0.5234546959838959,0.7446274057158886,0.5544699733431746,0.8152457209354819,0.9039325601356808,0.8170940732734462,0.5931930017626947,0.7861823947786415,0.6180827578598797,-0.7240556594326886,0.37210601970347856,0.13846288989956557,-0.029738664019046013,0.4041129133825108,0.1633072467625007
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,True,False,648,518,130,[0.09999999999999999],[0.4770622352573791],0.5014378407872063,0.7284366164958953,0.530619904251988,0.8099818956060598,0.9012901085267557,0.8123238597281711,0.684031181325645,0.8296466000816454,0.6883134810270336,-0.6388724043108553,0.33963208951959706,0.11534995623144759,0.4138233623555039,0.6915866059377653,0.4782920335125179
6,234053,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.5017529463607595],0.5217293537537073,0.740927414737904,0.548973433910194,0.8089806242694362,0.9006895718867136,0.8112417049054714,0.6492270093318528,0.810959723163788,0.6576556725938876,-0.6686426796873324,0.38372049191298535,0.14724141591394346,0.2391067889864159,0.5770745172583471,0.3330149984689544
0,670487,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,2013-2021,True,True,False,False,648,518,130,[0.09999999999999999],[0.47374231014134766],0.49788380963542866,0.7283904958446683,0.5305527144368417,0.811044650484233,0.9018458879407998,0.8133260055957297,0.690644060768261,0.833737359572509,0.6951179847469392,-0.6603739472015941,0.334248947580409,0.11172235895861102,0.40455075220442027,0.6908445522762248,0.47726619540973747
3,777572,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,True,False,648,518,130,[1.0],[0.534427150966519],0.5397072766868014,0.7433660688433823,0.5525931123076642,0.7970674486839651,0.8953035987889116,0.8015685340043764,0.6160782514334451,0.7898514732045768,0.6238653497234403,-0.2843307707936489,0.3337963795623219,0.11142002300891365,-0.36190295886769586,0.260676632546082,0.06795230675556505
3,777572,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,False,False,648,518,130,[10.0],[0.5716778191057033],0.5732382786001393,0.7598098131758175,0.5773109521982708,0.7193987808109796,0.8494571165205029,0.7215773928073272,0.6814945540100396,0.8290843250593485,0.6873808180591154,-0.17620370262853324,0.2996618200776755,0.08979720641226516,0.13262738629763215,0.4572530860179844,0.20908038467297027
7,146316,ZMB,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,2013-2021,True,False,False,False,648,518,130,[10.0],[0.5461188086002086],0.5576601855358841,0.7504426211562021,0.563164127647791,0.7209699289256741,0.8504475012832419,0.7232609524389096,0.6696188736786647,0.8184965599092761,0.6699366185833191,-0.12727377242939442,0.37759551153811094,0.14257837033372767,0.10944266256856217,0.3747497017725885,0.14043733897864402
