split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 0.009999999999999998, 1000000000.0]]","[[0.5271601659590335, 0.5271601659590335, 0.5271601659590334, 0.537353222380912, 0.5852843033272237]]",0.6179099402154544,0.7959242307307466,0.6334953810643307,0.9751869428438047,0.9887514442994052,0.9776294186041598,0.19408182608224334,0.6422488372056648,0.4124835688920286,,,,,,
1,116739,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.4443312256491274, 0.4443312256491275, 0.4583304772115898, 0.4647949617378634, 0.5023949328908419]]",0.5553020173299144,0.7548955770751206,0.5698673322875792,0.9869284742286225,0.9942531981508822,0.9885394220332574,0.6547182974980099,0.8201794188088455,0.6726942790376156,,,,,,
2,26225,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 1.0, 1.0, 1000000000.0]]","[[0.367003271339982, 0.36700327133998173, 0.367003271339982, 0.3670032713399819, 0.43360490478313524]]",0.5111971639987078,0.73259685060612,0.5366981455180058,0.9721329205063735,0.9874986466406512,0.9751535771171178,0.670498712359339,0.8229276949098863,0.6772099910496988,,,,,,
3,777572,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[0.09999999999999999, 1.0, 0.009999999999999998, 0.009999999999999998, 10.0]]","[[0.44806405514834885, 0.44806405514834874, 0.46635409642876074, 0.4853034632668198, 0.48926552307738547]]",0.4948228483170596,0.7420477590365839,0.5506348766912161,0.997334499990601,0.9988081295801206,0.9976176797153389,0.6001295096955841,0.8072630500313409,0.6516736319459032,,,,,,
4,288389,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.4740712084656506, 0.5167852069015151, 0.5312665992331317, 0.5343781588778089, 0.5732299428116319]]",0.5921294018655834,0.7789287903591333,0.6067300604503426,0.9581326128571719,0.9810084995217271,0.9623776761338704,0.5621822894052324,0.7605144158619641,0.5783821767338645,,,,,,
5,256787,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 10.0, 0.09999999999999999, 0.009999999999999998, 1000000000.0]]","[[0.48395985103534755, 0.4884015903368645, 0.5069304263208728, 0.5169936904135559, 0.5543801630917329]]",0.5801265065148624,0.7750681468578726,0.6007306322736968,0.9585577297886247,0.9810907521286911,0.9625390639124408,0.5522059001668116,0.7461560821257235,0.5567488988932094,,,,,,
6,234053,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.49740017330957753, 0.5159006503461653, 0.5189462260414757, 0.5269906130966249, 0.5975856873157654]]",0.6060005968925166,0.7827524264937469,0.6127013611818486,0.9098674637904645,0.9576436387597653,0.9170813388570439,0.42477472418291795,0.694703952467869,0.48261358157447914,,,,,,
7,146316,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.009999999999999998, 0.09999999999999999, 1000000000.0]]","[[0.48986628403365656, 0.48986628403365656, 0.5220786868989148, 0.5227821822859197, 0.5368446096144495]]",0.5425466581523044,0.7516611339651498,0.5649944603137749,0.9889872381494558,0.995066067076311,0.9901564778467173,0.2888632154758879,0.6022697878956988,0.3627288974119301,,,,,,
8,772246,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 1.0, 0.09999999999999999, 0.09999999999999999, 1000000000.0]]","[[0.47832899454234906, 0.4783289945423489, 0.49125569260819796, 0.49717518467416566, 0.5451038923317859]]",0.5598685880673373,0.7625742461726153,0.5815194809257325,0.9743729913657174,0.9885287493864274,0.9771890883634943,0.6777340584375924,0.8236362476138169,0.6783766683833687,,,,,,
9,107473,ndvi_tmp,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4-8,1000,15,1-12,False,True,False,True,420,336,84,"[[1.0, 1.0, 0.09999999999999999, 9.999999999999997e-09, 1000000000.0]]","[[0.4185571870683099, 0.41855718706830985, 0.424773917772064, 0.4415293336332263, 0.47664695900926857]]",0.5153102413731825,0.7473960412343401,0.5586008424527634,0.9865112053299946,0.9939769899606219,0.9879902565711782,0.6952437662001942,0.8380506397253918,0.7023288747441385,,,,,,
