split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[1.0, 1.0]]","[[0.4379397939532771, 0.4379397939532771]]",0.4509473111932115,0.6957852674532895,0.4841171384050456,0.9956459290651039,0.9982048145985837,0.9964128518877928,0.8581813908467265,0.928873290277999,0.8628055893918758,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[10.0, 10.0]]","[[0.47322445298963756, 0.500137319768778]]",0.5287752492404834,0.7302817173895788,0.5333113867534727,0.9348789297879566,0.9726800386727024,0.9461064576323298,-1.4679352880883327e+25,0.12823671420791002,0.016444654870841194,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[10.0, 100.0]]","[[0.381403541628078, 0.4504292816463872]]",0.45229704712539565,0.6799593991298006,0.4623447844649595,0.9012400754405298,0.9568889886251222,0.9156365365520092,0.5338507926296474,0.7317534365749833,0.5354630919392981,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[10.0, 1.0]]","[[0.5536338317206329, 0.5536338317206329]]",0.5945108286125057,0.7771768447050619,0.6040038479457158,0.9774115211130469,0.9907230929345606,0.981532246873822,0.5817960445112995,0.8053207019084452,0.6485414329223108,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[10.0, 1.0]]","[[0.43066507482107924, 0.43066507482107924]]",0.4775292903644712,0.713525103600432,0.5091180734680072,0.9742752608828538,0.9891026103429003,0.9783239737871392,0.5495013033920308,0.7424466805061947,0.5512270733946675,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[10.0, 10.0]]","[[0.48349006891910556, 0.49552794398815775]]",0.5200169270384394,0.7272221800443289,0.5288520991484263,0.9352640779668994,0.9725057674631783,0.9457674677491454,0.5841991877417265,0.7650126168747646,0.5852443039775754,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[1.0, 1.0]]","[[0.569571551673535, 0.569571551673535]]",0.596880645367391,0.7811750248629138,0.610234419469574,0.9961669763554103,0.9984011764728045,0.99680490918228,0.3677020574918115,0.653345784938104,0.42686071469638726,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[0.09999999999999999, 1.0]]","[[0.4424613766449082, 0.4424613766449082]]",0.45850270268206994,0.7051831581055663,0.4972832864757401,0.9997960798715163,0.9999114374145454,0.9998228826724223,0.4273691964102415,0.750011977882319,0.5625179669669481,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[10.0, 1.0]]","[[0.39998395260724184, 0.39998395260724184]]",0.4154026717837157,0.6646673550860887,0.4417826929171367,0.97294520652664,0.9890167480552959,0.9781541279338727,0.7554490761650221,0.8692669837712829,0.7556250890748237,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,1-12,False,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,288,230,58,"[[1.0, 1.0]]","[[0.566677302110848, 0.566677302110848]]",0.5735560854145558,0.7660902559580216,0.5868942802738271,0.9958800150132998,0.9983319309949223,0.9966666444440504,0.7811378480214032,0.9021020904042016,0.8137881815116303,,,,,,
0,670487,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1000000000.0, 10.0]]","[[0.164649245730153, 0.29027137247385504]]",0.3351390775301927,0.5862565266173266,0.3436967150014122,0.7689664115002618,0.8934347013859603,0.79822556564062,0.06591017850454839,0.3464808345011347,0.1200489686766027,,,,,,
1,116739,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1000000000.0, 100.0]]","[[0.09546388252099758, 0.20345158426351242]]",0.23448449288875506,0.489873759732304,0.23997630047426313,0.44548798047378213,0.7138667405749926,0.5096057232991638,0.27643415887550316,0.5347330989564544,0.28593948711957323,,,,,,
2,26225,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1.0, 100.0]]","[[0.10228984780603559, 0.2622559070243879]]",0.27914477779065094,0.5672167066904698,0.3217347923487824,0.8727134568430828,0.9436137036545782,0.8904068217247101,-0.2670776571792013,0.4468205826838007,0.19964863310989117,,,,,,
3,777572,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1000000000.0, 100.0]]","[[0.08241925539929396, 0.24732617481957578]]",0.26456711590864335,0.5219503405166117,0.27243215796540693,0.4525685723419034,0.722394042109072,0.5218531520746836,0.2288101400819288,0.48042979400026997,0.23081278696314184,,,,,,
4,288389,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1.0, 100.0]]","[[0.11369788183417481, 0.2478073000749525]]",0.28391281875469654,0.5677145291031191,0.3222997865547763,0.8639357765884738,0.9386537594474788,0.8810708801248853,-0.32815969947412915,0.4278610479029774,0.18306507631263394,,,,,,
5,256787,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1000000000.0, 100.0]]","[[-0.05750949015737794, 0.2159202029498431]]",0.22462247383238865,0.4791564137075759,0.2295908687971056,0.43920065367883754,0.716628402251882,0.5135562669140852,0.3230009699035603,0.5761151851686565,0.3319087065819153,,,,,,
6,234053,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1.0, 100.0]]","[[0.06742866531605532, 0.25933110720395725]]",0.29373593699217304,0.5704078037042992,0.32536506252676234,0.8576108741911708,0.9352086141082152,0.8746151519022086,-0.022224028193320144,0.45206046463957933,0.20435866369015235,,,,,,
7,146316,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1000000000.0, 100.0]]","[[0.0836393849044496, 0.26954941230592067]]",0.27990690400067264,0.5413070247651856,0.2930132950601372,0.4353739636395112,0.7063051721199867,0.498866996163444,0.27893923988024794,0.5424368915327754,0.29423778129573996,,,,,,
8,772246,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[1000000000.0, 10.0]]","[[0.09494402858912845, 0.2913496406163933]]",0.3199735057181763,0.5809613658742047,0.33751610863842146,0.7447295005100814,0.8770857701609653,0.7692794482188537,0.0017598389473589826,0.37883574616501287,0.14351652257240205,,,,,,
9,107473,rcf,True,ZMB,2014-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,1-12,False,True,False,False,376,300,76,"[[100.0, 100.0]]","[[0.06372628214391107, 0.26897671064320705]]",0.28731816725364756,0.5376328698388045,0.28904910273110895,0.509288964506639,0.7521692858843243,0.5657586346277343,0.246119157278347,0.4975976149083823,0.2476033863625107,,,,,,
0,670487,rcf,True,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,False,639,511,128,"[[10000.0, 10.0]]","[[0.22109031422036315, 0.29936014945344563]]",0.3178524248541723,0.5782500690460971,0.3343731423518161,0.6698232455553915,0.8323798560378746,0.6928562247376328,0.3555726418691474,0.5988364506031478,0.35860509457097633,,,,,,
