split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[1.0, 100.0]]","[[0.3975265350465503, 0.47872188470236826]]",0.503831055858939,0.7139978038692362,0.5097928639300923,0.8966015794015255,0.953598325234639,0.9093497658903085,0.5879404672225559,0.769643023632297,0.5923503838258645,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[10.0, 1.0]]","[[0.41349653793913344, 0.41349653793913355]]",0.4469476651968801,0.6768860844664969,0.45817477134438556,0.8996596060382362,0.9535172302316289,0.9091951083485973,0.371443732183913,0.65018417651453,0.4227394633898775,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[1.0, 10.0]]","[[0.32178034718861337, 0.3771586941452016]]",0.43286356654313163,0.6727330219818599,0.4525697188648456,0.9146102761674134,0.9616010609673595,0.9246766004535515,0.6874749891091432,0.8389094834877014,0.703769121485602,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[10.0, 1.0]]","[[0.4171792303537975, 0.41717923035379734]]",0.43195619616450176,0.672112256183055,0.4517348849114766,0.9038749872758288,0.955825871133832,0.9136030959287488,0.5201637851296772,0.7244208649107305,0.5247855895180109,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[1.0, 1.0]]","[[0.5277057190762823, 0.5277057190762822]]",0.5740240348650748,0.7693575995408627,0.5919111159712784,0.9691758632741688,0.9862689631586903,0.972726467690118,0.08315165629903831,0.4738773041408408,0.22455969937979092,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[10.0, 10.0]]","[[0.3593343896332673, 0.4255367172981436]]",0.48016427179699617,0.69396975870795,0.4815940260011703,0.8142728397354195,0.9126855755279016,0.832994959776697,0.42210643070173826,0.6729340117073332,0.4528401841125253,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[1.0, 10.0]]","[[0.44855124776799105, 0.4872292870507449]]",0.4996127035780319,0.7155634577461374,0.5120310620616082,0.9248382903661685,0.9659224541736494,0.9330061874768458,0.3040784343642441,0.6080159817411476,0.36968343405265147,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[1.0, 10.0]]","[[0.41037681742279286, 0.4556616533788674]]",0.45571077517446945,0.6845442176311904,0.46860078589229864,0.926481249851101,0.9664542224673198,0.9340337641249117,0.29379864736536654,0.6292217531502552,0.39592001463748067,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[1.0, 100.0]]","[[0.3400779479941948, 0.3945376291147721]]",0.42749174027910586,0.6658723912028189,0.44338604136615994,0.8938487506027724,0.9519624421980701,0.906232491355714,0.6268796546188533,0.7971715397463768,0.6354824637816092,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,4-9,True,True,False,False,432,345,87,"[[100.0, 10.0]]","[[0.2437433336578382, 0.3201910913297792]]",0.3695444636355737,0.6079603625129526,0.36961580238688074,0.6486644385256048,0.8269938693044318,0.6839188598671155,0.4720190814603381,0.7106091008919511,0.5049652942704671,,,,,,
