split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[1e+16, 10.0, 9.999999999999998e-05]]","[[0.623551595517801, 0.631183749076315, 0.7890290467954557]]",0.7916222718417545,0.8909070829640692,0.7937154304755468,0.9189199775935231,0.9589832780012226,0.9196489274859703,0.8097215264002087,0.899961281959612,0.8099303090263883,0.023061715618982292,0.33424820296491464,0.11172186118527477,0.27339741026913444,0.523215192813729,0.2737541379911076
1,116739,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[100.0, 1.0, 0.0009999999999999998]]","[[0.6463566674999092, 0.646356667499909, 0.7384249032047516]]",0.7452682003436231,0.8668438350477166,0.7514182343602328,0.9658704747701211,0.9836408851002475,0.9675493908407983,0.7349343456652785,0.862713707953612,0.7442749418910701,-0.13237231984780484,0.38078993055616517,0.1450009712129691,0.24716408184534544,0.5133541102867669,0.26353244254831804
2,26225,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[1e+17, 10.0, 9.999999999999998e-05]]","[[0.6347809440187215, 0.6542949659491037, 0.7787147445154007]]",0.7795183690690873,0.8838523396224441,0.7811949582560683,0.9178084494415297,0.9584255957596344,0.91857962260721,0.8114969863306633,0.9023960217731832,0.8143185801120674,-0.017802415313842967,0.308277825021502,0.09503521739998783,0.2792852919245653,0.5311174649319581,0.28208576155574977
3,777572,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[1.0, 10.0, 9.999999999999998e-05]]","[[0.570404558892745, 0.6110291200171314, 0.7835985820906737]]",0.7842416770729215,0.8892433723628489,0.7907537752912523,0.967530264745093,0.9840368316442524,0.9683284860324587,0.7365795614308009,0.8621718313708007,0.7433402668092803,0.0349141398345979,0.4218472998593398,0.17795514439861573,0.011450264485654338,0.3966558240314362,0.15733584273805767
4,288389,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[1e+17, 10.0, 0.0009999999999999998]]","[[0.5873847593185458, 0.6198361979134704, 0.7815394326866034]]",0.7809052066765574,0.883760115960675,0.7810319425628258,0.9069026810456214,0.953672819611045,0.9094918468648808,0.8239957270458834,0.9092323716149845,0.8267035055926093,-0.08845804481225317,0.2527514096868897,0.06388327509870996,0.39483383574745257,0.6379318830263241,0.40695708738151165
5,256787,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6281217874396117, 0.6540452650737801, 0.8057260866164336]]",0.8093715177533458,0.9005807893938756,0.8110457582252962,0.9417883870089173,0.9709174636520209,0.9426807212244733,0.7978015785376779,0.8947015024872466,0.8004907785529365,0.09565268450494324,0.41558953522931824,0.17271466179212075,0.05711779279733786,0.3253756929328151,0.10586934155150958
6,234053,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6173207209822332, 0.6336441401833401, 0.7931366646086426]]",0.7956907240491891,0.8930885738282789,0.7976072007026291,0.9344012008573972,0.9671521393523785,0.9353832606538827,0.8278672722386916,0.9116328474248935,0.8310744485040191,0.11509344583540981,0.4312211994487564,0.18595172285402417,0.11311286483488325,0.41159288085934886,0.16940869957409815
7,146316,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[1.0, 1.0, 9.999999999999998e-05]]","[[0.6283872871037955, 0.6283872871037957, 0.7572976277664173]]",0.764622100399347,0.8785526886173316,0.771854826676742,0.985843175112263,0.9931660746789385,0.9863788518931708,0.7504849958177302,0.8702627315548161,0.75735722193325,-0.07097156757326695,0.3946369742700105,0.15573834146098892,-0.011784848673439319,0.4105754978471647,0.16857223943244712
8,772246,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[1e+17, 10.0, 9.999999999999998e-05]]","[[0.5992451770199134, 0.631559006179927, 0.7809402432002376]]",0.7886064405368938,0.8885886868191089,0.7895898543429083,0.9147471824691802,0.9568224104188476,0.9155091250797337,0.8252035842429407,0.9089721006817122,0.8262302798177247,0.009215261124671859,0.3371677399168283,0.11368208484062198,0.3168655553088313,0.5899374764382131,0.3480262261062873
9,107473,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,False,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6525868882390042, 0.6895228242704476, 0.824592543695886]]",0.8258746086755171,0.9096141548380149,0.8273979106816761,0.9460571279132786,0.9729964382177151,0.9467220687843598,0.6887552166786881,0.8458281686027947,0.7154252908019578,0.10131583001081201,0.42529597723509416,0.18087666825235374,0.27832347784731115,0.5319061222328813,0.2829241228688208
0,670487,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[1e+17, 10.0, 9.999999999999998e-05]]","[[0.617879937854069, 0.63078770171189, 0.7858892656143921]]",0.7883687337717709,0.889222926358599,0.7907174127617504,0.9173722415602952,0.9581694761259943,0.9180887449795625,0.8054933981424206,0.8975616363025503,0.8056168909621115,0.0077454821128112306,0.3234594580933808,0.10462602103006356,0.25696822566160926,0.5069249532719504,0.2569729082497691
