split,random_state,variables,anomaly,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.5345642248651234, 0.5371793130159234]]",0.564525286158509,0.7537959518018865,0.5682083369529121,0.8867008796932978,0.9468047063822637,0.8964391520276045,0.6290968065818445,0.7932809032392459,0.6292945914440738,,,,,,
1,116739,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.585078641919109, 0.5907545291886717]]",0.5982019562901135,0.773562069842352,0.5983982758987838,0.8918625567467688,0.949288627105963,0.901148897552724,0.48013546285997455,0.7030464932232257,0.4942743716334751,,,,,,
2,26225,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.4984926088281775, 0.5079412998113326]]",0.5290427653595919,0.7288616865787688,0.5312393581624474,0.8783035960405675,0.9432104968516953,0.8896460413712219,0.690141728131245,0.8371247110093001,0.7007777817824041,,,,,,
3,777572,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 1.0]]","[[0.5831132230582743, 0.5831132230582743]]",0.5853923885032039,0.7752169826696399,0.6009613702194208,0.9736506421965805,0.988018940424492,0.9761814266375359,0.6034139007384194,0.7818913111224901,0.6113540224088466,,,,,,
4,288389,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.5272788042876375, 0.5486824554020896]]",0.6044698938100624,0.7780772440338011,0.6054041976832353,0.8894567518690923,0.9478653184587278,0.8984486619368655,0.5762939963814433,0.7794161634404454,0.6074895558322231,,,,,,
5,256787,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 1.0]]","[[0.5951627962560562, 0.5951627962560561]]",0.6059554956470634,0.7830597058369287,0.6131825029054174,0.970482569868712,0.9865437061358858,0.973268484116329,0.5003045435055411,0.7291849639940187,0.5317107117149583,,,,,,
6,234053,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.49530946769436957, 0.5044822177113104]]",0.5362281509217328,0.7329576551246575,0.5372269242058364,0.8780159867202061,0.9429859303567726,0.8892224648508279,0.7163895666020261,0.8511531444585925,0.7244616753217495,,,,,,
7,146316,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.5066313228906413, 0.5405961124328085]]",0.5618363498838487,0.7502595509924234,0.5628893938553527,0.8851095784452582,0.9457576839562801,0.894457596762347,0.4664099642307252,0.6867350054478082,0.4716049677074011,,,,,,
8,772246,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.5313879967503891, 0.5411658274123401]]",0.5596118325935721,0.7503103184360949,0.562965573951674,0.8894866396853585,0.9483882844941419,0.8994403381657414,0.5518586107482211,0.7456012522084312,0.5559212272947807,,,,,,
9,107473,rcf,True,ZMB,2016-2021,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,4,1-12,False,True,False,False,426,340,86,"[[10.0, 10.0]]","[[0.5730740742083839, 0.5920415397240302]]",0.6131847644462891,0.783818982723789,0.6143721976781554,0.8835686637173017,0.9447041320541496,0.8924658971201841,0.5543262390151786,0.7783183627089882,0.6057794737300002,,,,,,
