split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.645598261400705, 0.6598013657680433, 0.7883730390239683]]",0.7917195546413144,0.8913949477300082,0.794584952838584,0.9380757729267506,0.9689917820944093,0.9389450737664992,0.8110168012004725,0.9006353580062301,0.8111440480910102,0.026741897876342846,0.35524564596007174,0.12619946897358864,0.2751542055234778,0.5255079128962838,0.27615856651660825
1,116739,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6422698941486628, 0.6515775164805858, 0.7739847767884276]]",0.7810950899845126,0.8856007335300982,0.7842886592290479,0.9325896007549221,0.9661688186846572,0.933482186198506,0.8255902922798393,0.9094780186798839,0.8271502664618872,-0.022875568473423424,0.33139882346845007,0.10982518019627294,0.3451425352100709,0.5991417116384339,0.35897079062503223
2,26225,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6536273633283898, 0.6704285074144019, 0.7740126246351774]]",0.7746554508092887,0.8815091537729539,0.7770583881855093,0.936450132229026,0.9681778623918549,0.9373683732256615,0.8230295247181977,0.9102079003036923,0.8284784217752562,-0.03839080979812248,0.31961946757562953,0.1021566040533289,0.2890067474243153,0.5393145988717868,0.2908602365562363
3,777572,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999995e-18]]","[[0.5610698527989091, 0.6408951689397203, 0.7902951913224152]]",0.7904624931267482,0.8905029972985765,0.7929955881977486,0.9393535472093241,0.9695616321958579,0.940049758626296,0.7575087102224587,0.8726036661640204,0.7614371582028892,0.03431640077377973,0.3731931386045855,0.13927311870154135,0.11566504505972686,0.4459771543774691,0.1988956222266249
4,288389,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5908540456588847, 0.651604030100204, 0.7868394398563209]]",0.7858367642783979,0.8873631965330835,0.7874134425614118,0.9343263382304502,0.9670801829803803,0.9352440803133659,0.827615294164588,0.9103414814429773,0.8287216128357946,-0.08721539523309962,0.27065853080103813,0.07325604029537651,0.39265953379421714,0.6337203638249755,0.40160149952645935
5,256787,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6431077904081037, 0.6700931891140786, 0.8071244663162203]]",0.8110730427349626,0.9006000214395539,0.8110803986169249,0.9371396013785429,0.9692840920961938,0.9395116511907428,0.7813065836323894,0.884563061868974,0.7824518104230144,0.12616503642938748,0.4450666119613454,0.1980842890827508,-0.04248815313176668,0.24122738363421814,0.058190650615010255
6,234053,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6236406173692175, 0.6561201380768115, 0.7895746482070176]]",0.7913333078149557,0.890657950481107,0.793271584755206,0.9348634272890742,0.9673924570266887,0.9358481659121338,0.8245449134357989,0.9111298695773495,0.830157639236038,0.09342176924251744,0.4160231461434568,0.17307525812710003,0.12129138809922835,0.4043539545442706,0.16350212055559005
7,146316,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6385541368286207, 0.6640634811534908, 0.7895272680072674]]",0.7955648910058823,0.8931308031666095,0.797682631565033,0.9339119222902899,0.9668544971438398,0.9348076186472672,0.8320911198459962,0.9129840571417445,0.8335398885950002,0.03712949053616055,0.3631741890641823,0.13189549160242645,0.2844012611283021,0.5334202777770822,0.2845371927437796
8,772246,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6107259561368804, 0.6452777255188429, 0.7729809987984343]]",0.7819499254724275,0.8851514502121581,0.7834930898126866,0.9355304108175612,0.9677171355407699,0.9364764544192328,0.8266444355513205,0.9095673418998904,0.8273127494508321,-0.01107794442365484,0.3465886120513265,0.12012366600366492,0.34410168163859667,0.6087044133797908,0.3705210628680352
9,107473,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,1-12,False,True,True,True,639,511,128,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6768339128973417, 0.701440804695357, 0.8234236631530187]]",0.8245405782578797,0.9089600697697544,0.8262084084358368,0.9456767142376411,0.9728110756363022,0.9463613888806592,0.6959784056400049,0.8521921176931813,0.7262314054583889,0.08993095707248355,0.402500170178114,0.16200638699341074,0.29304512383754344,0.5479637370039021,0.30026425707128157
0,670487,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6369349502377173, 0.6431223768668748, 0.7988144042847914]]",0.807631337764602,0.8987447283585664,0.8077420867523134,0.9215387616206685,0.9613687077725301,0.9242297922842244,0.8075612393085638,0.8998893579325412,0.8098008565202413,0.05320531506577031,0.34269207557738424,0.11743785866353564,0.4964750103220734,0.7200708124465991,0.5185019749375053
1,116739,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[1.0, 1.0, 9.999999999999998e-05]]","[[0.6670854474514372, 0.6670854474514372, 0.7733871722114958]]",0.7741870200634435,0.8838080639787259,0.7811166939538237,0.9734872653050594,0.986893700311439,0.9739591757144043,0.7339032904744669,0.8648368978201448,0.7479428598311716,-0.14140275426198734,0.33951761569660216,0.11527221136830564,0.19437862099797276,0.46325241063135714,0.21460279595576354
2,26225,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[100.0, 1.0, 9.999999999999998e-05]]","[[0.6805467095326433, 0.6805467095326432, 0.826310339821341]]",0.829028095978341,0.9115474666567908,0.830918783968413,0.951728607367643,0.9758384305978611,0.9522606426316966,0.7289081076904905,0.8593951937430356,0.7385600990286297,0.09924170003224486,0.44459266398737074,0.19766263687138713,0.20356813458739476,0.4603041293021996,0.2118798914526561
3,777572,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 1.0, 9.999999999999998e-05]]","[[0.6493859959300827, 0.6493859959300827, 0.804043017148526]]",0.8044019788163473,0.8993151157382755,0.8087676773953478,0.959125895178429,0.9796976878072917,0.9598075594949537,0.775568776347027,0.8880890153075313,0.7887020991099005,0.07495878930944311,0.4325556153242382,0.18710436034853034,0.2558350597475616,0.5181334547114207,0.26846227689119184
4,288389,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 1.0, 0.0009999999999999998]]","[[0.6816180607563682, 0.6816180607563682, 0.7791795043445072]]",0.7819935082618009,0.8851531635666169,0.78349612297199,0.9530961689874635,0.977241848002255,0.9550016294868625,0.8059031501813074,0.8986951892288059,0.8076530431429992,-0.0054862721960684535,0.39689309905325565,0.1575241320760974,0.31904947723836385,0.5653979207210634,0.3196748087557019
5,256787,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6258257219597764, 0.6365053044893576, 0.7743133063233538]]",0.7782388780040455,0.8822578925704647,0.7783789890028777,0.9193270454336013,0.9603261287260482,0.9222262735139585,0.832586086466624,0.9166960272288251,0.8403316063371109,0.020819529150337246,0.3458937686881862,0.11964249921731647,0.23383753899313187,0.49823857614968403,0.2482416787636645
6,234053,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 1.0, 0.0009999999999999998]]","[[0.6507448368359485, 0.6507448368359485, 0.7760906657601149]]",0.7830833493114521,0.8854398085600428,0.7840036545828453,0.9555928558150821,0.9785029083592269,0.9574679416674656,0.7891970735614858,0.8885716974460643,0.7895596615021802,-0.03702778314176847,0.40487910957814244,0.16392709337278946,0.36454390442007667,0.6041794334297746,0.36503278777952347
7,146316,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 1.0, 9.999999999999998e-05]]","[[0.5985470842279103, 0.5985470842279103, 0.7887965941660181]]",0.7928651892331622,0.8911913922281656,0.794222097581576,0.9584681278485175,0.9793811244078741,0.9591873868464317,0.797780094688611,0.8974892067065704,0.8054868761547891,0.04641258385331415,0.4080397511559739,0.1664964385234291,0.3796504572007089,0.616267935007391,0.37978616771827384
8,772246,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.5958071201626401, 0.6004062413529692, 0.7739394165048635]]",0.7762694461521081,0.8823984129464166,0.7786269591703548,0.921323355726453,0.9603282642411083,0.9222303751003399,0.8322177666416682,0.9134117329175364,0.8343209938314169,-0.05955276187627678,0.2834193460440881,0.08032652571205855,0.3490475380288083,0.5960527015934706,0.35527882307687486
9,107473,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,False,True,648,518,130,"[[10.0, 1.0, 9.999999999999998e-05]]","[[0.676433842535529, 0.676433842535529, 0.8103019102307505]]",0.8159314829625548,0.9051504958853186,0.8192974202014381,0.9586919112012425,0.9794563232479171,0.9593346891503283,0.7443906042089765,0.8644127186344641,0.7472093481370252,0.10758226674826943,0.4353359124946916,0.1895173567075858,0.32920524749374347,0.5760274025694399,0.33180756851089555
0,670487,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,648,518,130,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6434120238771553, 0.646280895360926, 0.7960368111723348]]",0.8051381591506959,0.8973294296687176,0.8052001053495861,0.9199370068337077,0.9605199849491551,0.9225986414867252,0.8055503637068147,0.898919504807397,0.8080562761231759,0.03772432612594012,0.3312228365854771,0.10970856747572966,0.48684065216028416,0.7122413112490975,0.5072876854498338
1,116739,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,648,518,130,"[[1.0, 1.0, 9.999999999999998e-05]]","[[0.6716174733730818, 0.6716174733730816, 0.7703289219632172]]",0.771011449801822,0.8824116143750586,0.778650257183997,0.9733569750532414,0.9868362041943567,0.9738456939087261,0.7297683534471282,0.8638053638462747,0.7461597066095951,-0.15020905966311848,0.3347563289816286,0.11206179979325635,0.17846628065521175,0.45184142017248785,0.20416066898349072
2,26225,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,648,518,130,"[[100.0, 1.0, 9.999999999999998e-05]]","[[0.6834923048553664, 0.6834923048553664, 0.8247735146872206]]",0.8274001162461195,0.910658065212933,0.8292981117373626,0.9506573133939076,0.9752994823281181,0.9512090802294952,0.7162522382108568,0.8536246495197041,0.7286750422676376,0.09214033243677011,0.43973913414291904,0.19337050609676415,0.1803888538290529,0.44462450461366354,0.1976909501029457
3,777572,ZMB,2013-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,15,4-9,True,True,True,landsat-c2-l2,r-g-b-nir-swir16-swir22,1024,20,4-9,True,True,True,True,648,518,130,"[[10.0, 1.0, 9.999999999999998e-05]]","[[0.6447367823478507, 0.6447367823478507, 0.7993267237888646]]",0.8001647352402904,0.8970204456695315,0.804645679949165,0.9575280114833408,0.9788902677268588,0.9582261562503613,0.7735223259384991,0.8869289517578858,0.786642965466342,0.050521760005063476,0.4175254960787966,0.17432753987584518,0.24751683408873593,0.513089190531679,0.2632605174404536
