split,random_state,country,year_range,satellite_1,bands_1,num_features_1,points_1,month_range_1,limit_months_1,crop_mask_1,weighted_avg_1,satellite_2,bands_2,num_features_2,points_2,month_range_2,limit_months_2,crop_mask_2,weighted_avg_2,hot_encode,total_n,train_n,test_n,best_reg_param,mean_of_val_R2,val_R2,val_r,val_r2,train_R2,train_r,train_r2,test_R2,test_r,test_r2,demean_cv_R2,demean_cv_r,demean_cv_r2,demean_test_R2,demean_test_r,demean_test_r2
0,670487,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.4441426446363056, 0.5281420661193136, 0.754998406293168]]",0.7612888406216507,0.8731426086393608,0.7623780150215479,0.9353155574719475,0.9687301975189331,0.9384381955850711,0.8601195031332876,0.9346903162554252,0.8736459873016668,0.03761132118804067,0.4431805590942415,0.19640900795908448,0.2976046557437658,0.6339643056979459,0.40191074089907863
1,116739,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.5357780796946392, 0.5871984872581845, 0.7884081342187435]]",0.7991962297179485,0.8940545543067289,0.7993335460766036,0.9340793915539591,0.9678469706430424,0.9367277585829141,0.8203987356764721,0.9094139815927434,0.8270337899163667,0.08906958218371397,0.4583544838046969,0.21008883282387014,0.7370677836909121,0.8599065080425752,0.7394392025739754
2,26225,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 9.999999999999998e-05]]","[[0.4997062124120865, 0.5806352800642349, 0.80252617989456]]",0.8016619427525902,0.8970883217956249,0.8047674571020907,0.9427205616491892,0.9712678081012951,0.9433611550538942,0.8278621457585832,0.9117966241469543,0.8313730838057822,0.10854437913472448,0.4619200080380964,0.21337009382591504,0.6332726946884764,0.7959780408014572,0.6335810414381262
3,777572,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 0.0009999999999999998]]","[[0.4998692795876071, 0.5687598841681145, 0.8025974711747338]]",0.8055524604607948,0.897565382371888,0.8056236156323935,0.9386937752517204,0.9703357797458781,0.9415515254550414,0.8299304909216048,0.9110461473168734,0.8300050825409182,0.23717804532026654,0.5665397408446664,0.3209672779563418,0.41423026934832596,0.6587416651034126,0.43394058134321656
4,288389,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 1.0, 9.999999999999998e-05]]","[[0.6269157831638559, 0.6269157831638559, 0.7817756504991814]]",0.7872611206432194,0.8911770704702212,0.7941965709318857,0.9768142510690478,0.9885464352850484,0.9772240547147764,0.43631938277413695,0.7831539941037713,0.6133301784806898,0.17132455927771129,0.5408257369788193,0.29249247777868304,-1.5778500568730829,0.3666221059307234,0.1344117685570786
5,256787,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 9.999999999999998e-05]]","[[0.5608403571967729, 0.5690665318187753, 0.7995479857599621]]",0.8058399828290095,0.8988045637989457,0.807849643905813,0.9429212465421462,0.9713469700624499,0.9435149362495019,0.8332690233376175,0.9201357362321151,0.8466497730914164,0.10169594520033587,0.45253765689686204,0.20479033090970203,0.28111704753919875,0.5302478627833953,0.2811627959863584
6,234053,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.49961996549954246, 0.5822242064662587, 0.7777778047191674]]",0.7867163105789362,0.8871889195097548,0.7871041789008861,0.9534107865849575,0.9778323039005665,0.9561560145514899,0.8332621527003917,0.9158128320007282,0.8387131432571939,0.19549934985428763,0.5241387818155334,0.27472146260307134,0.25922816694030537,0.6758134112390403,0.45672376681054816
7,146316,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 9.999999999999998e-05]]","[[0.6061226502657396, 0.6206360150571848, 0.794960023117403]]",0.799378628108921,0.8962749104025504,0.8033087150170997,0.9566756240868038,0.9784763715159843,0.9574160096150865,0.7991434997745667,0.8987735626179941,0.8077939168610414,0.14181593264471026,0.49071932486705616,0.2408054557979794,0.15443659729500603,0.5149839090861964,0.2652084266176998
8,772246,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[10.0, 10.0, 0.0009999999999999998]]","[[0.6172803996586129, 0.6340563295600254, 0.7843452755606448]]",0.786054104613499,0.8868080970799824,0.7864286010466195,0.9510122267889728,0.9765092139477566,0.9535702449248654,0.8186780313829825,0.9103249814603659,0.8286915718708155,0.16988528074723808,0.519369709542173,0.2697448951899211,0.30045296346158823,0.5879987592641265,0.34574254089615214
9,107473,ZMB,2016-2021,landsat-8-c2-l2,1-2-3-4-5-6-7,1000,20,4-9,True,True,False,sentinel-2-l2a,2-3-4,1000,15,1-12,False,True,False,True,420,336,84,"[[100.0, 10.0, 9.999999999999998e-05]]","[[0.489365589925861, 0.5581580386677167, 0.7953863006937294]]",0.8065508657808587,0.8994310877692022,0.8089762816456904,0.9392402093436282,0.9694679726934761,0.9398681500783984,0.8474804396517301,0.9240449620329283,0.8538590918584359,0.1495591735669708,0.48164901422874073,0.2319857729075177,0.6554880382391259,0.815784731716901,0.6655047285024162
