district,year,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,ndvi_6,ndvi_7,ndvi_8,ndvi_9,ndvi_10,ndvi_11,ndvi_12
Luangwa,2002,7287.7158203125,7391.46142578125,6415.3505859375,5988.5107421875,5582.7451171875,4875.4052734375,4028.21142578125,3516.957275390625,3175.888427734375,3490.656982421875,4377.31591796875,6777.810546875
Lusaka,2002,5666.20751953125,6078.4140625,5089.67138671875,4329.4912109375,3983.019775390625,3430.937744140625,2982.397705078125,2759.7587890625,2674.873779296875,3060.88818359375,3707.64111328125,5163.41357421875
Chama,2002,7140.35986328125,7710.93310546875,7526.21484375,7476.08984375,6714.0234375,5907.41064453125,5028.599609375,4190.1533203125,3596.4580078125,3488.29296875,3826.239013671875,5108.5615234375
Chinsali,2002,6965.4130859375,7146.48291015625,7107.8779296875,6905.6201171875,6309.40087890625,5882.1669921875,5220.04638671875,4737.54931640625,4306.67138671875,4438.06884765625,5066.01611328125,6199.7197265625
Isoka,2002,7047.3134765625,7417.6884765625,7325.45849609375,7311.52734375,6768.658203125,6165.29345703125,5266.61865234375,4451.3994140625,3909.345703125,3687.09619140625,4263.9140625,5486.73779296875
Mpika,2002,7206.697265625,7288.97998046875,7240.90478515625,7042.61767578125,6282.50634765625,5762.48779296875,5086.65625,4566.650390625,4062.418212890625,4247.47412109375,4874.55712890625,6034.4248046875
Nakonde,2002,6654.29296875,6856.51025390625,6884.91357421875,6631.83544921875,6051.24609375,5426.65576171875,4428.14208984375,3736.188720703125,3448.083984375,3704.233642578125,4091.61279296875,4998.23828125
Chavuma,2002,5240.3828125,5400.54541015625,5646.97314453125,5328.38037109375,4956.8447265625,4330.51806640625,3664.17041015625,3382.817138671875,3620.345703125,4100.98779296875,4827.4638671875,5150.35009765625
Kabompo,2002,7766.587890625,7866.09326171875,7756.162109375,7526.0927734375,7164.46044921875,6653.984375,6012.71435546875,5396.44970703125,4943.60302734375,5805.595703125,7087.88037109375,7670.85107421875
Kasempa,2002,7458.6025390625,7566.384765625,7521.60791015625,7236.55908203125,6497.21435546875,5711.9453125,4938.138671875,4274.66796875,4351.92431640625,5151.14892578125,6835.9140625,7644.3232421875
Mufumbwe,2002,7475.80029296875,7509.40771484375,7430.04443359375,7175.0380859375,6448.439453125,5670.29931640625,4924.48779296875,4300.146484375,4244.5791015625,5237.8662109375,6655.43896484375,7581.45556640625
Mwinilunga,2002,7885.81494140625,7823.041015625,7758.4892578125,7535.146484375,6951.310546875,6180.31005859375,5429.9111328125,5025.224609375,5370.30322265625,6265.72021484375,7296.4228515625,7821.20751953125
Solwezi,2002,7716.2646484375,7682.259765625,7732.82470703125,7495.18017578125,6773.75927734375,5975.7880859375,5150.541015625,4656.8095703125,5120.99462890625,5746.3642578125,7129.11083984375,7804.72265625
Zambezi,2002,6339.94189453125,6566.111328125,6628.6943359375,6364.587890625,6046.1494140625,5475.24853515625,4802.5927734375,4214.6767578125,4154.17041015625,4965.68408203125,6117.740234375,6352.814453125
Chilubi,2002,6206.01220703125,6123.294921875,6120.94384765625,6036.88818359375,5718.5078125,5232.22314453125,4726.455078125,4397.58349609375,4008.989990234375,4092.445556640625,4879.56982421875,6157.63134765625
Kaputa,2002,6795.55810546875,6819.15625,6924.099609375,6834.423828125,6305.56201171875,5422.34716796875,4182.2001953125,3490.96630859375,3478.540283203125,4079.908935546875,5703.10205078125,6688.08642578125
Kasama,2002,7230.6513671875,7329.7041015625,7356.591796875,7109.7470703125,6389.46923828125,5815.32568359375,5180.998046875,4667.53271484375,4336.896484375,4567.9853515625,5791.7294921875,6911.39453125
Luwingu,2002,7492.2099609375,7540.5380859375,7593.13623046875,7378.900390625,6551.6025390625,5767.36865234375,5106.51220703125,4691.56640625,4434.333984375,4345.248046875,5689.8544921875,7282.69970703125
Mbala,2002,6857.7392578125,6937.10791015625,6950.84765625,6871.84912109375,6031.03564453125,5360.9599609375,4571.46044921875,4008.25537109375,3741.357666015625,4297.234375,5225.65380859375,5924.3310546875
Mporokoso,2002,7478.71142578125,7423.8984375,7357.787109375,7274.1826171875,6646.79150390625,5966.84765625,5235.95751953125,4726.1279296875,4448.43603515625,4943.3759765625,6205.1220703125,7309.3564453125
Mpulungu,2002,6965.9296875,6922.0810546875,7171.6806640625,7043.62890625,6326.291015625,5607.1171875,4755.46240234375,4089.25830078125,4024.415283203125,4670.41845703125,6040.40966796875,6765.17333984375
Mungwi,2002,6965.921875,7056.5439453125,7012.32470703125,6836.38037109375,6184.02392578125,5644.34033203125,4826.58447265625,4205.05224609375,3788.7421875,4099.49365234375,4861.59912109375,5874.43115234375
Choma,2002,6338.431640625,6448.76123046875,5674.30126953125,4924.4091796875,4794.27685546875,4244.91064453125,3591.167724609375,3077.01025390625,2862.379638671875,3358.93359375,5740.40185546875,6563.998046875
Gwembe,2002,5832.1455078125,6222.775390625,5896.71875,5256.80859375,5307.6171875,4747.5419921875,3994.392333984375,3304.627685546875,2906.2587890625,3179.819580078125,5141.8935546875,6238.85546875
Itezhi-Tezhi,2002,6418.04150390625,6123.43896484375,4898.4052734375,4372.43408203125,4351.9912109375,3645.334716796875,3054.72265625,2714.7470703125,2555.821533203125,3080.257568359375,5605.48583984375,6564.44580078125
Kalomo,2002,6443.1171875,6096.62255859375,5152.078125,4399.74755859375,4331.31298828125,3811.56396484375,3208.63623046875,2808.244873046875,2644.1162109375,3104.264892578125,4644.40185546875,6070.9443359375
Kazungula,2002,6534.2578125,6090.1318359375,5191.78369140625,4355.2275390625,4216.017578125,3612.14697265625,3178.954345703125,2861.009765625,2728.154296875,3101.363525390625,4564.50634765625,6095.12744140625
Livingstone,2002,6277.544921875,5846.44677734375,5007.18310546875,4232.7421875,4006.964599609375,3361.74267578125,3014.67041015625,2789.2568359375,2658.866455078125,2990.40966796875,4562.05517578125,6071.22900390625
Mazabuka,2002,6373.6865234375,6509.8623046875,5556.2626953125,4988.0498046875,4464.86767578125,3705.380615234375,3200.324462890625,2955.9208984375,2830.481201171875,3439.015380859375,4951.28662109375,6499.14453125
