district,year,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_8,pre_9,pre_10,pre_11,pre_12,tmp_1,tmp_2,tmp_3,tmp_4,tmp_5,tmp_6,tmp_7,tmp_8,tmp_9,tmp_10,tmp_11,tmp_12
Chibombo,2001,259.8013916015625,298.151123046875,182.69668579101563,44.05390167236328,0.9736412763595581,0.0158732570707798,0.12768062949180603,0.07058826088905334,2.963019609451294,12.693709373474121,128.91468811035156,211.9547576904297,23.16883087158203,22.78754997253418,23.056474685668945,22.10626220703125,19.427505493164063,17.530534744262695,16.1761417388916,19.974809646606445,23.39847755432129,25.329315185546875,24.08501625061035,23.138681411743164
Kabwe,2001,277.4020690917969,284.02044677734375,205.13946533203125,48.61856460571289,0.45686230063438416,0.010367484763264656,0.036674413830041885,0.11222480982542038,2.519638776779175,11.927658081054688,134.3944854736328,236.02928161621094,22.939321517944336,22.6059627532959,22.844505310058594,21.800777435302734,19.30596160888672,17.753015518188477,16.118186950683594,19.911466598510742,23.257049560546875,25.084518432617188,23.76044464111328,22.853403091430664
Kapiri Mposhi,2001,288.0228271484375,279.1853332519531,231.7672576904297,55.999176025390625,0.23803211748600006,0.13127702474594116,0.2250257283449173,0.15726007521152496,3.133141040802002,11.797252655029297,158.6112060546875,257.3280944824219,22.896526336669922,22.664953231811523,22.85427474975586,21.93475914001465,19.352262496948242,17.40522575378418,16.127676010131836,19.93877601623535,23.239627838134766,25.013399124145508,23.76593017578125,22.860342025756836
Mkushi,2001,292.78033447265625,280.736572265625,238.54722595214844,51.619632720947266,0.5904371738433838,1.4811078310012817,1.3129550218582153,0.35246267914772034,3.7749361991882324,8.286866188049316,176.70516967773438,252.8406219482422,23.001953125,22.823244094848633,23.090360641479492,22.276748657226563,19.855222702026367,17.975135803222656,16.914236068725586,20.155336380004883,23.310604095458984,25.02964210510254,24.189109802246094,23.219757080078125
Mumbwa,2001,231.74749755859375,304.343505859375,176.80589294433594,37.97807312011719,1.2058298587799072,0.04323188215494156,0.15234096348285675,0.023030927404761314,4.8140549659729,15.210567474365234,130.45858764648438,225.04428100585938,23.600624084472656,23.183452606201172,23.312400817871094,22.54314422607422,19.61395263671875,16.86577796936035,15.998797416687012,20.19228744506836,23.786043167114258,25.69903564453125,24.2955379486084,23.316791534423828
Serenje,2001,337.1959533691406,263.5020751953125,227.2001495361328,51.76890182495117,1.8902697563171387,3.0051629543304443,0.08277736604213715,0.1434883326292038,1.1366811990737915,6.113318920135498,189.05947875976563,282.1475830078125,22.405263900756836,22.425983428955078,22.818458557128906,22.114299774169922,19.82280731201172,17.743610382080078,17.029800415039063,19.69060707092285,22.692068099975586,24.312946319580078,23.70869255065918,22.777677536010742
Chililabombwe,2001,387.8315734863281,267.470458984375,281.93316650390625,77.92692565917969,0.0022813715040683746,0.99315345287323,0,0.2977186143398285,6.474895000457764,10.602289199829102,189.39695739746094,330.0533752441406,21.711408615112305,21.709123611450195,21.911405563354492,21.11368751525879,18.413686752319336,15.713688850402832,15.013687133789063,18.6091251373291,21.509124755859375,23.31140899658203,22.211406707763672,21.415966033935547
Chingola,2001,384.85858154296875,268.35040283203125,286.5193786621094,79.92412567138672,0.09266187995672226,0.8129799365997314,0,0.29804015159606934,6.0475873947143555,11.131879806518555,190.90402221679688,333.6545715332031,21.869070053100586,21.782072067260742,21.984033584594727,21.207860946655273,18.444692611694336,15.788429260253906,14.9812593460083,18.659940719604492,21.562639236450195,23.471771240234375,22.328033447265625,21.61995506286621
Kalulushi,2001,377.97100830078125,280.1145935058594,289.75372314453125,83.82698822021484,0.23414309322834015,0.6317138075828552,0,0.30000001192092896,6.002429485321045,11.53414249420166,192.1415557861328,328.3492736816406,22.068286895751953,22.002429962158203,22.202430725097656,21.402429580688477,18.636571884155273,15.936572074890137,15.07071590423584,18.80242919921875,21.736572265625,23.702428817749023,22.60243034362793,22.002429962158203
Kitwe,2001,372.81451416015625,281.2909240722656,288.62646484375,80.55989074707031,0.30143216252326965,0.5023869276046753,0,0.29952260851860046,6.202864646911621,11.595226287841797,190.12242126464844,318.8377380371094,22.199522018432617,22.199522018432617,22.399999618530273,21.600954055786133,18.901432037353516,16.202863693237305,15.403818130493164,19.002864837646484,22.00238609313965,23.90047836303711,22.800477981567383,22.199522018432617
Luanshya,2001,354.67474365234375,292.15203857421875,283.77294921875,75.9444808959961,0.2258511185646057,0.4951246380805969,0.008612862788140774,0.38313233852386475,4.712637424468994,11.678473472595215,194.01710510253906,307.87890625,22.455568313598633,22.389476776123047,22.589662551879883,21.798646926879883,19.124670028686523,16.73265838623047,15.866936683654785,19.524045944213867,22.58133888244629,24.3886661529541,23.147871017456055,22.398090362548828
Lufwanyama,2001,364.07269287109375,271.5954895019531,284.4071960449219,78.80891418457031,0.2617902457714081,0.3246808648109436,0,0.19580118358135223,3.9146711826324463,12.415703773498535,186.87815856933594,323.6521301269531,22.359373092651367,22.23753547668457,22.361597061157227,21.60643768310547,18.7861385345459,16.216901779174805,15.363667488098145,19.158220291137695,22.165992736816406,24.079696655273438,22.821321487426758,22.1529598236084
Masaiti,2001,324.4298095703125,289.61309814453125,273.3655700683594,68.16566467285156,0.19989871978759766,1.0768736600875854,0.172465980052948,0.46309763193130493,5.570251941680908,12.82622241973877,186.75868225097656,297.0393371582031,22.13017463684082,22.10818099975586,22.313207626342773,21.59589385986328,19.17996597290039,17.027713775634766,16.155838012695313,19.67441749572754,22.61875343322754,24.237852096557617,23.04092025756836,22.221057891845703
