variables,test_R2,demean_test_R2,anomaly_test_R2,test_r2,demean_test_r2,anomaly_test_r2
rcf_ndvi_tmp,0.8123534262491057,0.4269994145252524,0.7427406510827852,0.8201657830618186,0.4840402973299937,0.7591157826509846
rcf_ndvi,0.8064758143913193,0.4060478694076906,0.7339793185738952,0.813937134971679,0.464924386812742,0.7492852728462678
rcf,0.8033947048940913,0.39319222462207026,0.7389611678870982,0.8110354635192876,0.45091675809874354,0.7507367740035916
