variables,test_R2,test_r2,demean_test_R2,demean_test_r2,anomaly_test_R2,anomaly_test_r2
rcf_ndvi_tmp,0.8463389771334946,0.852370798070322,0.46545486057916025,0.4898341567201209,0.581847383544252,0.6087735319639609
rcf_ndvi,0.8376479383927854,0.8440718056678167,0.44910831307584037,0.4783379562947531,0.5856735043629724,0.6105384269838936
rcf,0.8319725833636726,0.8375115466078499,0.4224364474196046,0.45233417499592704,0.583136436498073,0.6072573334413092
